# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.357
metadata : {}


# id : NWRW1800000040.357.1.1
MB ‘택시법 거부권 행사’ 시사

MB	MB/SL
‘택시법	‘/SS+택시/NNG+법/NNG
거부권	거부/NNG+권/XSN
행사’	행사/NNG+’/SS
시사	시사/NNG


# id : NWRW1800000040.357.2.1
세종시 첫방문, 공무회의 주재

세종시	세종시/NNP
첫방문,	첫/MMN+방문/NNG+,/SP
공무회의	공무/NNG+회의/NNG
주재	주재/NNG


# id : NWRW1800000040.357.3.1
김황식 총리 등 반대뜻 밝힌뒤

김황식	김황식/NNP
총리	총리/NNG
등	등/NNB
반대뜻	반대/NNG+뜻/NNG
밝힌뒤	밝히/VV+ㄴ/ETM+뒤/NNG


# id : NWRW1800000040.357.4.1
“국무위원들 결정 존중하겠다”

“국무위원들	“/SS+국무/NNG+위원/NNG+들/XSN
결정	결정/NNG
존중하겠다”	존중/NNG+하/XSV+겠/EP+다/EF+”/SS


# id : NWRW1800000040.357.5.1
이명박 대통령이 택시를 대중교통으로 인정하는 ‘대중교통 육성 및 이용촉진법’ 개정안(이른바 택시법)에 대해 거부권을 행사할 것으로 보인다.

이명박	이명박/NNP
대통령이	대통령/NNG+이/JKS
택시를	택시/NNG+를/JKO
대중교통으로	대중교통/NNG+으로/JKB
인정하는	인정/NNG+하/XSV+는/ETM
‘대중교통	‘/SS+대중교통/NNG
육성	육성/NNG
및	및/MAG
이용촉진법’	이용/NNG+촉진법/NNG+’/SS
개정안(이른바	개정안/NNG+(/SS+이른바/MAG
택시법)에	택시/NNG+법/NNG+)/SS+에/JKB
대해	대하/VV+아/EC
거부권을	거부/NNG+권/XSN+을/JKO
행사할	행사/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.357.6.1
이 대통령은 15일 세종시 정부세종청사에서 열린 국무회의를 주재한 자리에서 “국무위원들이 대중교통육성법과 관련해 국가의 미래를 위한다는 관점에서 논의해주기 바란다.

이	이/NNP
대통령은	대통령/NNG+은/JX
15일	15/SN+일/NNB
세종시	세종시/NNP
정부세종청사에서	정부세종청사/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
국무회의를	국무/NNG+회의/NNG+를/JKO
주재한	주재/NNG+하/XSV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
“국무위원들이	“/SS+국무/NNG+위원/NNG+들/XSN+이/JKS
대중교통육성법과	대중교통/NNG+육성법/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
국가의	국가/NNG+의/JKG
미래를	미래/NNG+를/JKO
위한다는	위하/VV+ㄴ다는/ETM
관점에서	관점/NNG+에서/JKB
논의해주기	논의/NNG+하/XSV+아/EC+주/VX+기/ETN
바란다.	바라/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.357.6.2
대통령으로서 국무위원들의 결정을 존중하겠다”고 말했다고 박정하 청와대 대변인이 정했다.

대통령으로서	대통령/NNG+으로서/JKB
국무위원들의	국무/NNG+위원/NNG+들/XSN+의/JKG
결정을	결정/NNG+을/JKO
존중하겠다”고	존중/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
박정하	박정하/NNP
청와대	청와대/NNP
대변인이	대변인/NNG+이/JKS
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.357.6.3
이 발언은 김황식 국무총리와 권도엽 국토해양부 장관 등이 택시법의 부당함을 설명한 뒤 나온 것으로, 거부권 행사를 강력히 시사한 셈이다.

이	이/MMD
발언은	발언/NNG+은/JX
김황식	김황식/NNP
국무총리와	국무총리/NNG+와/JC
권도엽	권도엽/NNP
국토해양부	국토/NNG+해양부/NNG
장관	장관/NNG
등이	등/NNB+이/JKS
택시법의	택시/NNG+법/NNG+의/JKG
부당함을	부당/NNG+하/XSA+ㅁ/ETN+을/JKO
설명한	설명/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
나온	나오/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
거부권	거부/NNG+권/XSN
행사를	행사/NNG+를/JKO
강력히	강력히/MAG
시사한	시사/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.357.7.1
김황식 총리는 국무회의에서 택시법에 대한 부처 의견을 듣는 순서를 마련했고, 국무위원들의 반대 의견이 잇따랐다.

김황식	김황식/NNP
총리는	총리/NNG+는/JX
국무회의에서	국무/NNG+회의/NNG+에서/JKB
택시법에	택시/NNG+법/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부처	부처/NNG
의견을	의견/NNG+을/JKO
듣는	듣/VV+는/ETM
순서를	순서/NNG+를/JKO
마련했고,	마련/NNG+하/XSV+았/EP+고/EC+,/SP
