# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.14
metadata : {}


# id : NWRW1800000041.14.1.1
대기업 진출로 기로에 선 가산단지 도심형 아웃렛 ‘터줏대감들’

대기업	대/XPN+기업/NNG
진출로	진출/NNG+로/JKB
기로에	기로/NNG+에/JKB
선	서/VV+ㄴ/ETM
가산단지	가산단지/NNP
도심형	도심/NNG+형/XSN
아웃렛	아웃렛/NNG
‘터줏대감들’	‘/SS+터줏대감/NNG+들/XSN+’/SS


# id : NWRW1800000041.14.2.1
부제1해외 진출로 돌파구 마련할 것

부제1해외	부제/NNG+1/SN+해외/NNG
진출로	진출/NNG+로/JKB
돌파구	돌파구/NNG
마련할	마련/NNG+하/XSV+ㄹ/ETM
것	것/NNB


# id : NWRW1800000041.14.3.1
부제2백화점처럼 브랜드화로 역공

부제2백화점처럼	부제/NNG+2/SN+백화점/NNG+처럼/JKB
브랜드화로	브랜드/NNG+화/XSN+로/JKB
역공	역공/NNG


# id : NWRW1800000041.14.4.1
《 전반적인 소비경기 침체 속에서도 지속적으로 성장하는 유통채널이 바로 아웃렛이다.

《	《/SS
전반적인	전반/NNG+적/XSN+이/VCP+ㄴ/ETM
소비경기	소비/NNG+경기/NNG
침체	침체/NNG
속에서도	속/NNG+에서/JKB+도/JX
지속적으로	지속/NNG+적/XSN+으로/JKB
성장하는	성장/NNG+하/XSV+는/ETM
유통채널이	유통/NNG+채널/NNG+이/JKS
바로	바로/MAG
아웃렛이다.	아웃렛/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.14.4.2
아웃렛은 저렴한 가격과 폭넓은 제품 구색을 기반으로 소비자들의 사랑을 받고 있다.

아웃렛은	아웃렛/NNG+은/JX
저렴한	저렴하/VA+ㄴ/ETM
가격과	가격/NNG+과/JC
폭넓은	폭넓/VA+은/ETM
제품	제품/NNG
구색을	구색/NNG+을/JKO
기반으로	기반/NNG+으로/JKB
소비자들의	소비자/NNG+들/XSN+의/JKG
사랑을	사랑/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.14.4.3
현재 국내 아웃렛 시장 규모는 업계 추산으로 약 8조4000억 원대(지난해 말 기준)에 이른다.

현재	현재/MAG
국내	국내/NNG
아웃렛	아웃렛/NNG
시장	시장/NNG
규모는	규모/NNG+는/JX
업계	업계/NNG
추산으로	추산/NNG+으로/JKB
약	약/MMA
8조4000억	8/SN+조/NR+4000/SN+억/NR
원대(지난해	원/NNB+대/XSN+(/SS+지난해/NNG
말	말/NNB
기준)에	기준/NNG+)/SS+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.14.4.4
최근 롯데, 신세계 등 대기업들이 아웃렛 시장에 대거 진출하고 있지만 사실 이 업계의 숨은 강자는 대도시 안의 도심형 아웃렛들이다.

최근	최근/NNG
롯데,	롯데/NNP+,/SP
신세계	신세계/NNP
등	등/NNB
대기업들이	대/XPN+기업/NNG+들/XSN+이/JKS
아웃렛	아웃렛/NNG
시장에	시장/NNG+에/JKB
대거	대거/MAG
진출하고	진출/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
사실	사실/MAG
이	이/MMD
업계의	업계/NNG+의/JKG
숨은	숨/VV+은/ETM
강자는	강자/NNG+는/JX
대도시	대/XPN+도시/NNG
안의	안/NNG+의/JKG
도심형	도심/NNG+형/XSN
아웃렛들이다.	아웃렛/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000041.14.4.5
현재 8조4000억 원 규모의 아웃렛 시장에서 이들은 7조 원 규모를 차지하고 있다.

현재	현재/MAG
8조4000억	8/SN+조/NR+4000/SN+억/NR
원	원/NNB
규모의	규모/NNG+의/JKG
아웃렛	아웃렛/NNG
시장에서	시장/NNG+에서/JKB
이들은	이/NP+들/XSN+은/JX
7조	7/SN+조/NR
규모를	규모/NNG+를/JKO
차지하고	차지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.14.4.6
이 때문에 교외의 프리미엄 아웃렛에 집중하던 대기업들도 도심형 아웃렛 분야로 눈길을 돌리는 중이다.

이	이/NP
때문에	때문/NNB+에/JKB
교외의	교외/NNG+의/JKG
프리미엄	프리미엄/NNG
아웃렛에	아웃렛/NNG+에/JKB
