# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.162
metadata : {}


# id : NWRW1800000033.162.1.1
‘학교폭력 근절’ 난리인데… 전교조 단체협상에 ‘학생지도 기피가능’

‘학교폭력	‘/SS+학교/NNG+폭력/NNG
근절’	근절/NNG+’/SS
난리인데…	난리/NNG+이/VCP+ㄴ데/EF+…/SE
전교조	전교조/NNP
단체협상에	단체/NNG+협상/NNG+에/JKB
‘학생지도	‘/SS+학생/NNG+지도/NNG
기피가능’	기피/NNG+가능/NNG+’/SS


# id : NWRW1800000033.162.2.1
학교폭력을 근절하기 위해 교사의 생활지도가 중요하다는 지적이 나오는 가운데 전국교직원노동조합이 시도교육청과 맺은 단체협약에 생활지도를 기피할 수 있는 내용이 담겨 있어 논란이 예상된다.

학교폭력을	학교/NNG+폭력/NNG+을/JKO
근절하기	근절/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
교사의	교사/NNG+의/JKG
생활지도가	생활/NNG+지도/NNG+가/JKS
중요하다는	중요/NNG+하/XSA+다는/ETM
지적이	지적/NNG+이/JKS
나오는	나오/VV+는/ETM
가운데	가운데/NNG
전국교직원노동조합이	전국교직원노동조합/NNP+이/JKS
시도교육청과	시도/NNG+교육청/NNG+과/JKB
맺은	맺/VV+은/ETM
단체협약에	단체/NNG+협약/NNG+에/JKB
생활지도를	생활/NNG+지도/NNG+를/JKO
기피할	기피/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
내용이	내용/NNG+이/JKS
담겨	담기/VV+어/EC
있어	있/VX+어/EC
논란이	논란/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.162.3.1
전교조 전북지부가 지난해 전북도교육청과 맺은 단체협약 35조 ‘교원의 업무 경감’에는 “학교 내에 학급일지, 학급경영록, 학생 생활지도 일지를 비치하지 않는다”는 조항이 들어있다.

전교조	전교조/NNP
전북지부가	전북/NNP+지부/NNG+가/JKS
지난해	지난해/NNG
전북도교육청과	전북도교육청/NNP+과/JKB
맺은	맺/VV+은/ETM
단체협약	단체/NNG+협약/NNG
35조	35/SN+조/NNB
‘교원의	‘/SS+교원/NNG+의/JKG
업무	업무/NNG
경감’에는	경감/NNG+’/SS+에/JKB+는/JX
“학교	“/SS+학교/NNG
내에	내/NNB+에/JKB
학급일지,	학급/NNG+일지/NNG+,/SP
학급경영록,	학급/NNG+경영록/NNG+,/SP
학생	학생/NNG
생활지도	생활/NNG+지도/NNG
일지를	일지/NNG+를/JKO
비치하지	비치/NNG+하/XSV+지/EC
않는다”는	않/VX+는다/EF+”/SS+는/ETM
조항이	조항/NNG+이/JKS
들어있다.	들/VV+어/EC+있/VX+다/EF+./SF


# id : NWRW1800000033.162.3.2
또 “교원 업무 경감 차원에서 폐지한 각종 제도가 유사한 제도로 존속하지 않도록 한다”는 표현까지 있다.

또	또/MAG
“교원	“/SS+교원/NNG
업무	업무/NNG
경감	경감/NNG
차원에서	차원/NNG+에서/JKB
폐지한	폐지/NNG+하/XSV+ㄴ/ETM
각종	각종/NNG
제도가	제도/NNG+가/JKS
유사한	유사/NNG+하/XSA+ㄴ/ETM
제도로	제도/NNG+로/JKB
존속하지	존속/NNG+하/XSV+지/EC
않도록	않/VX+도록/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
표현까지	표현/NNG+까지/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.162.3.3
이는 정부가 최근 발표한 학교폭력 근절 종합대책과 충돌할 가능성이 높다.

이는	이/NP+는/JX
정부가	정부/NNG+가/JKS
최근	최근/MAG
발표한	발표/NNG+하/XSV+ㄴ/ETM
학교폭력	학교/NNG+폭력/NNG
근절	근절/NNG
종합대책과	종합/NNG+대책/NNG+과/JKB
충돌할	충돌/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000033.162.3.4
정부 대책에 따르면 올해부터 담임교사는 학생 생활지도 내용을 개인별로 기록해 관리하고 다음 학년 담임교사에게 인계해야 한다.

정부	정부/NNG
대책에	대책/NNG+에/JKB
따르면	따르/VV+면/EC
올해부터	올해/NNG+부터/JX
담임교사는	담임/NNG+교사/NNG+는/JX
학생	학생/NNG
생활지도	생활/NNG+지도/NNG
내용을	내용/NNG+을/JKO
개인별로	개인/NNG+별/XSN+로/JKB
기록해	기록/NNG+하/XSV+아/EC
관리하고	관리/NNG+하/XSV+고/EC
다음	다음/NNG
학년	학년/NNG
담임교사에게	담임/NNG+교사/NNG+에게/JKB
인계해야	인계/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.162.4.1
교사가 근무를 기피할 수 있도록 한 조항도 학생 생활지도를 강조하는 정부 방침과 어긋난다는 지적이 나온다.

교사가	교사/NNG+가/JKS
근무를	근무/NNG+를/JKO
기피할	기피/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한	하/VV+ㄴ/ETM
조항도	조항/NNG+도/JX
학생	학생/NNG
생활지도를	생활/NNG+지도/NNG+를/JKO
강조하는	강조/NNG+하/XSV+는/ETM
정부	정부/NNG
방침과	방침/NNG+과/JKB
어긋난다는	어긋나/VV+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.162.4.2
전교조와 단체협약을 맺은 교육청은 현재 서울 부산 광주 경기 강원 전북 전남 등 7곳.

전교조와	전교조/NNP+와/JKB
단체협약을	단체/NNG+협약/NNG+을/JKO
맺은	맺/VV+은/ETM
교육청은	교육청/NNG+은/JX
현재	현재/MAG
서울	서울/NNP
부산	부산/NNP
