# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.202
metadata : {}


# id : NWRW1800000049.202.1.1
학-석사 5년 ‘전문대학원’ 생긴다

학-석사	학-석사/NNG
5년	5/SN+년/NNB
‘전문대학원’	‘/SS+전문/NNG+대학원/NNG+’/SS
생긴다	생기/VV+ㄴ다/EF


# id : NWRW1800000049.202.2.1
교육부 “행정-공학 등 엘리트 양성”… 한국형 ‘그랑제콜’ 제도 도입기로

교육부	교육부/NNG
“행정-공학	“/SS+행정/NNG+-/SO+공학/NNG
등	등/NNB
엘리트	엘리트/NNG
양성”…	양성/NNG+”/SS+…/SE
한국형	한국/NNP+형/XSN
‘그랑제콜’	‘/SS+그랑제콜/NNG+’/SS
제도	제도/NNG
도입기로	도입/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000049.202.3.1
프랑스 고등교육기관인 ‘그랑제콜’처럼 우리나라에도 학사와 석사 과정이 통합된 전문대학원이 도입된다.

프랑스	프랑스/NNP
고등교육기관인	고등/NNG+교육/NNG+기관/NNG+이/VCP+ㄴ/ETM
‘그랑제콜’처럼	‘/SS+그랑제콜/NNG+’/SS+처럼/JKB
우리나라에도	우리나라/NNG+에/JKB+도/JX
학사와	학사/NNG+와/JC
석사	석사/NNG
과정이	과정/NNG+이/JKS
통합된	통합/NNG+되/XSV+ㄴ/ETM
전문대학원이	전문/NNG+대학원/NNG+이/JKS
도입된다.	도입/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.202.3.2
또 대학구조개혁평가에서 우수 등급을 받은 대학은 지금보다 쉽게 학부 정원을 줄여 석·박사 과정을 늘릴 수 있게 된다.

또	또/MAG
대학구조개혁평가에서	대학/NNG+구조/NNG+개혁/NNG+평가/NNG+에서/JKB
우수	우수/NNG
등급을	등급/NNG+을/JKO
받은	받/VV+은/ETM
대학은	대학/NNG+은/JX
지금보다	지금/NNG+보다/JKB
쉽게	쉽/VA+게/EC
학부	학부/NNG
정원을	정원/NNG+을/JKO
줄여	줄이/VV+어/EC
석·박사	석·박사/NNG
과정을	과정/NNG+을/JKO
늘릴	늘리/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.202.4.1
교육부는 변화하는 산업 환경에 맞춰 대학의 연구 역량을 키우고 경쟁력을 강화하기 위해 이 같은 내용을 담은 대학원 제도 개선 방안을 28일 발표했다.

교육부는	교육부/NNG+는/JX
변화하는	변화/NNG+하/XSV+는/ETM
산업	산업/NNG
환경에	환경/NNG+에/JKB
맞춰	맞추/VV+어/EC
대학의	대학/NNG+의/JKG
연구	연구/NNG
역량을	역량/NNG+을/JKO
키우고	키우/VV+고/EC
경쟁력을	경쟁력/NNG+을/JKO
강화하기	강화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
이	이/NP
같은	같/VA+은/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
대학원	대학원/NNG
제도	제도/NNG
개선	개선/NNG
방안을	방안/NNG+을/JKO
28일	28/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.202.5.1
우선 일반대학원과 마찬가지로 전문대학원에도 학·석사 통합과정 제도를 도입하기로 했다.

우선	우선/MAG
일반대학원과	일반/NNG+대학원/NNG+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
전문대학원에도	전문/NNG+대학원/NNG+에/JKB+도/JX
학·석사	학·석사/NNG
통합과정	통합/NNG+과정/NNG
제도를	제도/NNG+를/JKO
도입하기로	도입/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.202.5.2
대학원 종류는 연구·교수 인력 양성을 위한 일반대학원, 전문 분야의 실무 인력 양성을 위한 전문대학원, 직장인 대상의 특수대학원 등 세 가지로 나뉜다.

대학원	대학원/NNG
종류는	종류/NNG+는/JX
연구·교수	연구/NNG+·/SP+교수/NNG
인력	인력/NNG
양성을	양성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
일반대학원,	일반/NNG+대학원/NNG+,/SP
전문	전문/NNG
분야의	분야/NNG+의/JKG
실무	실무/NNG
전문대학원,	전문/NNG+대학원/NNG+,/SP
직장인	직장인/NNG
대상의	대상/NNG+의/JKG
특수대학원	특수/NNG+대학원/NNG
등	등/NNB
세	세/MMN
가지로	가지/NNB+로/JKB
나뉜다.	나뉘/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.202.5.3
이 중 일반대학원에 이미 도입된 학·석사 통합과정을 전문대학원에까지 확대 적용하겠다는 것.

이	이/MMD
중	중/NNB
일반대학원에	일반/NNG+대학원/NNG+에/JKB
이미	이미/MAG
도입된	도입/NNG+되/XSV+ㄴ/ETM
학·석사	학·석사/NNG
통합과정을	통합/NNG+과정/NNG+을/JKO
전문대학원에까지	전문/NNG+대학원/NNG+에/JKB+까지/JX
확대	확대/NNG
적용하겠다는	적용/NNG+하/XSV+겠/EP+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000049.202.5.4
현재 전문대학원은 201곳으로 입학 정원은 1만6000명 수준이다.

현재	현재/MAG
전문대학원은	전문/NNG+대학원/NNG+은/JX
201곳으로	201/SN+곳/NNG+으로/JKB
입학	입학/NNG
정원은	정원/NNG+은/JX
1만6000명	1/SN+만/NR+6000/SN+명/NNB
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.202.6.1
통·번역 전문가가 되려는 학생은 지금까지는 어문학 전공으로 4년간 학사 과정을 마친 뒤 2년 과정의 통·번역 전문대학원에 다녔다.

통·번역	통·번역/NNG
전문가가	전문가/NNG+가/JKC
되려는	되/VV+려는/ETM
학생은	학생/NNG+은/JX
지금까지는	지금/NNG+까지/JX+는/JX
어문학	어문학/NNG
전공으로	전공/NNG+으로/JKB
4년간	4/SN+년/NNB+간/XSN
학사	학사/NNG
과정을	과정/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
2년	2/SN+년/NNB
과정의	과정/NNG+의/JKG
전문대학원에	전문/NNG+대학원/NNG+에/JKB
다녔다.	다니/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.202.6.2
하지만 앞으로는 어문학 학사 과정과 통·번역 전문대학원을 합친 5년짜리 과정이 생긴다.

하지만	하지만/MAJ
앞으로는	앞/NNG+으로/JKB+는/JX
어문학	어문학/NNG
학사	학사/NNG
과정과	과정/NNG+과/JC
통·번역	통·번역/NNG
전문대학원을	전문/NNG+대학원/NNG+을/JKO
합친	합치/VV+ㄴ/ETM
5년짜리	5/SN+년/NNB+짜리/XSN
과정이	과정/NNG+이/JKS
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.202.6.3
이는 프랑스에서 정치, 행정, 경영, 공학 등 전문 직업 분야에서 최고 수준의 인력을 양성하는 5년 과정의 그랑제콜과 유사한 형태다.

이는	이/NP+는/JX
프랑스에서	프랑스/NNP+에서/JKB
정치,	정치/NNG+,/SP
행정,	행정/NNG+,/SP
경영,	경영/NNG+,/SP
공학	공학/NNG
등	등/NNB
전문	전문/NNG
직업	직업/NNG
분야에서	분야/NNG+에서/JKB
최고	최고/NNG
수준의	수준/NNG+의/JKG
인력을	인력/NNG+을/JKO
양성하는	양성/NNG+하/XSV+는/ETM
5년	5/SN+년/NNB
과정의	과정/NNG+의/JKG
그랑제콜과	그랑제콜/NNG+과/JKB
유사한	유사/NNG+하/XSA+ㄴ/ETM
형태다.	형태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.202.7.1
또 지금까지는 전문대학원을 설치하려면 교육부의 승인을 받아야 했지만 앞으로는 각 대학이 정해진 정원 내에서 자유롭게 설치, 운영할 수 있다.

또	또/MAG
지금까지는	지금/NNG+까지/JX+는/JX
전문대학원을	전문/NNG+대학원/NNG+을/JKO
설치하려면	설치/NNG+하/XSV+려면/EC
교육부의	교육부/NNG+의/JKG
승인을	승인/NNG+을/JKO
받아야	받/VV+아야/EC
했지만	하/VX+았/EP+지만/EC
앞으로는	앞/NNG+으로/JKB+는/JX
각	각/MMD
대학이	대학/NNG+이/JKS
정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
정원	정원/NNG
내에서	내/NNB+에서/JKB
자유롭게	자유/NNG+롭/XSA+게/EC
설치,	설치/NNG+,/SP
운영할	운영/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.202.7.2
하지만 별도 관리되고 있는 법학전문대학원과 의·치·한의학전문대학원은 제도 개선 대상에서 제외된다.

하지만	하지만/MAJ
별도	별도/NNG
관리되고	관리/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
법학전문대학원과	법학/NNG+전문/NNG+대학원/NNG+과/JC
의·치·한의학전문대학원은	의·치·한의학/NNG+전문/NNG+대학원/NNG+은/JX
제도	제도/NNG
개선	개선/NNG
대상에서	대상/NNG+에서/JKB
제외된다.	제외/NNG+되/XSV+ㄴ다/EF+./SF


