# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.135
metadata : {}


# id : NWRW1800000041.135.1.1
[임희윤 기자의 싱글노트]아픔과 작별하며… 난 오늘도 산다

[임희윤	[/SS+임희윤/NNP
기자의	기자/NNG+의/JKG
싱글노트]아픔과	싱글/NNG+노트/NNG+]/SS+아픔/NNG+과/JKB
작별하며…	작별/NNG+하/XSV+며/EC+…/SE
난	나/NP+ㄴ/JX
오늘도	오늘/NNG+도/JX
산다	살/VV+ㄴ다/EF


# id : NWRW1800000041.135.2.1
2014년 5월 18일 일요일 맑음.

2014년	2014/SN+년/NNB
5월	5/SN+월/NNB
18일	18/SN+일/NNB
일요일	일요일/NNG
맑음.	맑음/NNG+./SF


# id : NWRW1800000041.135.2.2
안녕.

안녕.	안녕/IC+./SF


# id : NWRW1800000041.135.2.3
#108 Emmylou Harris & Mark Knopfler ‘If This Is Goodbye’(2006년)

#108	#/SW+108/SN
Emmylou	Emmylou/SL
Harris	Harris/SL
&	&/SW
Mark	Mark/SL
Knopfler	Knopfler/SL
‘If	‘/SS+If/SL
This	This/SL
Is	Is/SL
Goodbye’(2006년)	Goodbye/SL+’/SS+(/SS+2006/SN+년/NNB+)/SS


# id : NWRW1800000041.135.3.1
떠난 사람의 동사(動詞)는 과거형이지만 산 사람의 동사는 늘 현재형이다.

떠난	떠나/VV+ㄴ/ETM
사람의	사람/NNG+의/JKG
동사(動詞)는	동사/NNG+(/SS+動詞/SH+)/SS+는/JX
과거형이지만	과거/NNG+형/XSN+이/VCP+지만/EC
산	살/VV+ㄴ/ETM
동사는	동사/NNG+는/JX
늘	늘/MAG
현재형이다.	현재/NNG+형/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000041.135.3.2
나는 오늘도 산다.

나는	나/NP+는/JX
오늘도	오늘/NNG+도/JX
산다.	살/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.135.4.1
더욱이 지금 난 감히 ‘흥청대는 풍악’의 중심에 있다.

더욱이	더욱이/MAG
지금	지금/MAG
난	나/NP+ㄴ/JX
감히	감히/MAG
‘흥청대는	‘/SS+흥청대/VV+는/ETM
풍악’의	풍악/NNG+’/SS+의/JKG
중심에	중심/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.135.4.2
어제(17일)부터 이틀간 서울 송파구 올림픽공원에서 열리는 서울재즈페스티벌.

어제(17일)부터	어제/NNG+(/SS+17/SN+일/NNB+)/SS+부터/JX
이틀간	이틀/NNG+간/XSN
서울	서울/NNP
송파구	송파구/NNP
올림픽공원에서	올림픽공원/NNP+에서/JKB
열리는	열리/VV+는/ETM
서울재즈페스티벌.	서울/NNP+재즈/NNG+페스티벌/NNG+./SF


# id : NWRW1800000041.135.4.3
국내외의 좋은 음악인이 많이 출연했다.

국내외의	국내외/NNG+의/JKG
좋은	좋/VA+은/ETM
음악인이	음악인/NNG+이/JKS
많이	많이/MAG
출연했다.	출연/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.135.4.4
그중엔 잭 디조넷이나 조슈아 레드먼처럼 무게 있는 재즈 음악인도 있지만, ‘재즈 축제’라기엔 흥행을 염두에 둔 팝 음악인의 핵심 시간대 출연이 너무 많은 점은, 좀, 그렇다.

그중엔	그중/NNG+에/JKB+ㄴ/JX
잭	잭/NNP
디조넷이나	디조넷/NNP+이나/JC
조슈아	조슈아/NNP
레드먼처럼	레드먼/NNP+처럼/JKB
무게	무게/NNG
있는	있/VA+는/ETM
재즈	재즈/NNG
음악인도	음악인/NNG+도/JX
있지만,	있/VA+지만/EC+,/SP
‘재즈	‘/SS+재즈/NNG
축제’라기엔	축제/NNG+’/SS+이/VCP+라기/ETN+에/JKB+ㄴ/JX
흥행을	흥행/NNG+을/JKO
염두에	염두/NNG+에/JKB
둔	두/VV+ㄴ/ETM
팝	팝/NNG
음악인의	음악인/NNG+의/JKG
핵심	핵심/NNG
시간대	시간대/NNG
출연이	출연/NNG+이/JKS
너무	너무/MAG
많은	많/VA+은/ETM
점은,	점/NNG+은/JX+,/SP
좀,	좀/MAG+,/SP
그렇다.	그렇/VA+다/EF+./SF


# id : NWRW1800000041.135.5.1
아일랜드의 포크 싱어송라이터 데이미언 라이스를 이태 연속 헤드라이너(가장 황금시간대 출연진)로 배치한 점도 그랬다.

아일랜드의	아일랜드/NNP+의/JKG
포크	포크/NNG
싱어송라이터	싱어송라이터/NNG
데이미언	데이미언/NNP
라이스를	라이스/NNP+를/JKO
이태	이태/NNG
연속	연속/NNG
헤드라이너(가장	헤드라이너/NNG+(/SS+가장/MAG
황금시간대	황금/NNG+시간대/NNG
출연진)로	출연진/NNG+)/SS+로/JKB
배치한	배치/NNG+하/XSV+ㄴ/ETM
점도	점/NNG+도/JX
그랬다.	그렇/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.135.5.2
물론 통기타 한 대와 목소리 하나로 심금을 흔든 그의 무대는 여전했지만.

물론	물론/MAG
통기타	통기타/NNG
한	한/MMN
대와	대/NNB+와/JC
목소리	목소리/NNG
하나로	하나/NR+로/JKB
심금을	심금/NNG+을/JKO
흔든	흔들/VV+ㄴ/ETM
그의	그/NP+의/JKG
무대는	무대/NNG+는/JX
여전했지만.	여전하/VA+았/EP+지만/EC+./SF


# id : NWRW1800000041.135.5.3
축제가 끝나고 귀가한, 조금 허한 마음으로 TV를 틀었을 때, 마크 노플러의 2009년 공연 실황과 마주한 건 행운이었다.

축제가	축제/NNG+가/JKS
끝나고	끝나/VV+고/EC
귀가한,	귀가/NNG+하/XSV+ㄴ/ETM+,/SP
조금	조금/MAG
허한	허하/VA+ㄴ/ETM
마음으로	마음/NNG+으로/JKB
TV를	TV/SL+를/JKO
틀었을	틀/VV+었/EP+을/ETM
때,	때/NNG+,/SP
마크	마크/NNP
노플러의	노플러/NNP+의/JKG
2009년	2009/SN+년/NNB
공연	공연/NNG
실황과	실황/NNG+과/JKB
마주한	마주/MAG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
행운이었다.	행운/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.135.5.4
절반은.

