# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.17
metadata : {}


# id : NWRW1800000022.17.1.1
'MB검찰 진용' 구축… 公安강화·지역안배도;● 고위간부 53명 人事 배경

'MB검찰	'/SS+MB/SL+검찰/NNG
진용'	진용/NNG+'/SS
구축…	구축/NNG+…/SE
公安강화·지역안배도;●	公安/SH+강화/NNG+·/SP+지역/NNG+안배/NNG+도/JX+;/SW+●/SW
고위간부	고위/NNG+간부/NNG
53명	53/SN+명/NNB
人事	人事/SH
배경	배경/NNG


# id : NWRW1800000022.17.2.1
13일 단행된 검찰 검사장급 이상 고위급 인사에서 대검의 주요 간부 대부분이 지방으로 자리를 옮긴 것에 대해, 임채진 검찰총장에 대한 정권 핵심부의 평가가 부정적인 데 따른 것이라는 분석이 나온다.

13일	13/SN+일/NNB
단행된	단행/NNG+되/XSV+ㄴ/ETM
검찰	검찰/NNG
검사장급	검사장급/NNG
이상	이상/NNG
고위급	고위급/NNG
인사에서	인사/NNG+에서/JKB
대검의	대검/NNG+의/JKG
주요	주요/NNG
간부	간부/NNG
대부분이	대/XPN+부분/NNG+이/JKS
지방으로	지방/NNG+으로/JKB
자리를	자리/NNG+를/JKO
옮긴	옮기/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대해,	대하/VV+아/EC+,/SP
임채진	임채진/NNP
검찰총장에	검찰/NNG+총장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정권	정권/NNG
핵심부의	핵심부/NNG+의/JKG
평가가	평가/NNG+가/JKS
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.17.2.2
검찰총장의 임기를 존중할 수밖에 없기 때문에, 대신 그 참모들을 후진(後進) 배치하고 현 정권이 미는 인사들을 전진 배치함으로써 '이명박 검찰진용'을 구축했다는 것이다.

검찰총장의	검찰/NNG+총장/NNG+의/JKG
임기를	임기/NNG+를/JKO
존중할	존중/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없기	없/VA+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
대신	대신/NNG
그	그/MMD
참모들을	참모/NNG+들/XSN+을/JKO
후진(後進)	후진/NNG+(/SS+後進/SH+)/SS
배치하고	배치/NNG+하/XSV+고/EC
현	현/MMD
정권이	정권/NNG+이/JKS
미는	밀/VV+는/ETM
인사들을	인사/NNG+들/XSN+을/JKO
전진	전진/NNG
배치함으로써	배치/NNG+하/XSV+ㅁ/ETN+으로써/JKB
'이명박	'/SS+이명박/NNP
검찰진용'을	검찰/NNG+진용/NNG+'/SS+을/JKO
구축했다는	구축/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.17.3.1
권재진 대검차장이 일선 수사에서 한발짝 떨어진 서울고검장으로 이동하고, 박용석 중수부장과 박한철 공안부장은 각각 부산과 대구지방검사장으로 발령 났다.

권재진	권재진/NNP
대검차장이	대검/NNG+차장/NNG+이/JKS
일선	일선/NNG
수사에서	수사/NNG+에서/JKB
한발짝	한/MMN+발짝/NNB
떨어진	떨어지/VV+ㄴ/ETM
서울고검장으로	서울고검장/NNG+으로/JKB
이동하고,	이동/NNG+하/XSV+고/EC+,/SP
박용석	박용석/NNP
중수부장과	중수부장/NNG+과/JC
