# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.450
metadata : {}


# id : NWRW1800000028.450.1.1
‘MB 늑장인사’ 여당도 답답

‘MB	‘/SS+MB/SL
늑장인사’	늑장/NNG+인사/NNG+’/SS
여당도	여당/NNG+도/JX
답답	답답/XR


# id : NWRW1800000028.450.2.1
김무성 한나라당 원내대표가 21일 감사원장 등 장기 공백 상태인 정부 주요부처 수장들에 대한 조속한 인사를 촉구하고 나섰다.

김무성	김무성/NNP
한나라당	한나라당/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
21일	21/SN+일/NNB
감사원장	감사원장/NNG
등	등/NNB
장기	장기/NNG
공백	공백/NNG
상태인	상태/NNG+이/VCP+ㄴ/ETM
정부	정부/NNG
주요부처	주요/NNG+부처/NNG
수장들에	수장/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
조속한	조속하/VA+ㄴ/ETM
인사를	인사/NNG+를/JKO
촉구하고	촉구/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.450.3.1
김 원내대표는 이날 원내대책회의에서 “3달째 감사원장직이 공백이다.

김	김/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
원내대책회의에서	원내/NNG+대책/NNG+회의/NNG+에서/JKB
“3달째	“/SS+3/SN+달/NNB+째/XSN
감사원장직이	감사원장/NNG+직/NNG+이/JKS
공백이다.	공백/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.450.3.2
업무공백에 대한 우려의 여론이 있다”며 “대통령께서는 올해 안으로 감사원장을 임명을 해주시기를 바란다”고 말했다.

업무공백에	업무/NNG+공백/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우려의	우려/NNG+의/JKG
여론이	여론/NNG+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“대통령께서는	“/SS+대통령/NNG+께서/JKS+는/JX
올해	올해/NNG
안으로	안/NNG+으로/JKB
감사원장을	감사원장/NNG+을/JKO
임명을	임명/NNG+을/JKO
해주시기를	하/VV+아/EC+주/VX+시/EP+기/ETN+를/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.450.3.3
이어 “문화체육관광부 장관, 지식경제부 장관도 교체 예정에 있는 부처로, 부처 공무원들의 안정적 업무가 어렵다는 여론임을 감안해서 빨리 임명을 해주시기를 바란다”고 밝혔다.

이어	이어/MAG
“문화체육관광부	“/SS+문화/NNG+체육/NNG+관광부/NNG
장관,	장관/NNG+,/SP
지식경제부	지식/NNG+경제부/NNG
장관도	장관/NNG+도/JX
교체	교체/NNG
예정에	예정/NNG+에/JKB
있는	있/VA+는/ETM
부처로,	부처/NNG+로/JKB+,/SP
부처	부처/NNG
공무원들의	공무원/NNG+들/XSN+의/JKG
안정적	안정/NNG+적/XSN
업무가	업무/NNG+가/JKS
어렵다는	어렵/VA+다는/ETM
여론임을	여론/NNG+이/VCP+ㅁ/ETN+을/JKO
감안해서	감안/NNG+하/XSV+아서/EC
빨리	빨리/MAG
임명을	임명/NNG+을/JKO
해주시기를	하/VV+아/EC+주/VX+시/EP+기/ETN+를/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.450.3.4
6달째 공석인 국민권익위원장, 3달째 자리가 빈 감사원장 등의 인사가 미뤄진 데 따른 당 안팎의 우려를 표출한 것으로 보인다.

6달째	6/SN+달/NNB+째/XSN
공석인	공석/NNG+이/VCP+ㄴ/ETM
국민권익위원장,	국민/NNG+권익/NNG+위원장/NNG+,/SP
3달째	3/SN+달/NNB+째/XSN
자리가	자리/NNG+가/JKS
빈	비/VV+ㄴ/ETM
감사원장	감사원장/NNG
등의	등/NNB+의/JKG
인사가	인사/NNG+가/JKS
미뤄진	미루/VV+어/EC+지/VX+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
당	당/NNG
안팎의	안팎/NNG+의/JKG
우려를	우려/NNG+를/JKO
표출한	표출/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.450.3.5
김 원내대표는 <한겨레>와 통화에서 “주요 부처 장관들을 장기 공백 상태에 두는 것은 국정운영을 책임진 정부로서 바람직하지 않고, 공직 사회에서도 불만이 터져나오고 있다”며 “한나라당 안에도 신속한 개각을 요구하는 목소리가 많다”고 말했다.

김	김/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
통화에서	통화/NNG+에서/JKB
“주요	“/SS+주요/NNG
부처	부처/NNG
장관들을	장관/NNG+들/XSN+을/JKO
장기	장기/NNG
공백	공백/NNG
상태에	상태/NNG+에/JKB
두는	두/VV+는/ETM
것은	것/NNB+은/JX
국정운영을	국정/NNG+운영/NNG+을/JKO
책임진	책임지/VV+ㄴ/ETM
정부로서	정부/NNG+로서/JKB
바람직하지	바람직하/VA+지/EC
않고,	않/VX+고/EC+,/SP
공직	공직/NNG
사회에서도	사회/NNG+에서/JKB+도/JX
불만이	불만/NNG+이/JKS
터져나오고	터지/VV+어/EC+나오/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“한나라당	“/SS+한나라당/NNP
안에도	안/NNG+에/JKB+도/JX
신속한	신속/NNG+하/XSA+ㄴ/ETM
개각을	개각/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
목소리가	목소리/NNG+가/JKS
많다”고	많/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.450.4.1
친박근혜 진영의 한 의원은 “이런 어정쩡한 상황을 빨리 끝내야 한다”고 말했다.

친박근혜	친/XPN+박근혜/NNP
진영의	진영/NNG+의/JKG
한	한/MMN
의원은	의원/NNG+은/JX
“이런	“/SS+이런/MMD
어정쩡한	어정쩡/MAG+하/XSA+ㄴ/ETM
상황을	상황/NNG+을/JKO
빨리	빨리/MAG
끝내야	끝내/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.450.5.1
오래 뜸들이다 여러 차례 나눠 하는 이명박 대통령의 이른바 ‘찔끔이식 변비인사 스타일’ 때문에 ‘개각’을 유용한 국면전환 카드로 활용하지 못한다는 불만도 나왔다.

오래	오래/MAG
뜸들이다	뜸/NNG+들이/VV+다/EC
여러	여러/MMN
차례	차례/NNG
나눠	나누/VV+어/EC
하는	하/VV+는/ETM
이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
이른바	이른바/MAG
‘찔끔이식	‘/SS+찔끔이식/NNG
변비인사	변비/NNG+인사/NNG
스타일’	스타일/NNG+’/SS
때문에	때문/NNB+에/JKB
‘개각’을	‘/SS+개각/NNG+’/SS+을/JKO
유용한	유용/NNG+하/XSA+ㄴ/ETM
국면전환	국면/NNG+전환/NNG
카드로	카드/NNG+로/JKB
활용하지	활용/NNG+하/XSV+지/EC
못한다는	못하/VX+ㄴ다는/ETM
불만도	불만/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.450.5.2
한 핵심 당직자는 “대통령이 적절한 타이밍에 개각을 통해 막힌 정국을 풀어야 한다”며 “지금처럼 말만 무성한 건 바람직하지 않다”고 말했다.

한	한/MMN
핵심	핵심/NNG
당직자는	당직자/NNG+는/JX
“대통령이	“/SS+대통령/NNG+이/JKS
적절한	적절하/VA+ㄴ/ETM
타이밍에	타이밍/NNG+에/JKB
개각을	개각/NNG+을/JKO
통해	통하/VV+아/EC
막힌	막히/VV+ㄴ/ETM
정국을	정국/NNG+을/JKO
풀어야	풀/VV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
