# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.360
metadata : {}


# id : NWRW1800000054.360.1.1
北爆說 등 안보불안 루머 확산… 정부 "근거 없는 얘기"

北爆說	北爆說/SH
등	등/NNB
안보불안	안보/NNG+불안/NNG
루머	루머/NNG
확산…	확산/NNG+…/SE
정부	정부/NNG
"근거	"/SS+근거/NNG
없는	없/VA+는/ETM
얘기"	얘기/NNG+"/SS


# id : NWRW1800000054.360.2.1
10일 통일부 정례 브리핑과 고위 당국자 비공개 간담회에서는 '미국의 북한 선제공격' 전망과 관련한 질문이 쏟아졌다.

10일	10/SN+일/NNB
통일부	통일부/NNG
정례	정례/NNG
브리핑과	브리핑/NNG+과/JC
고위	고위/NNG
당국자	당국자/NNG
비공개	비/XPN+공개/NNG
간담회에서는	간담회/NNG+에서/JKB+는/JX
'미국의	'/SS+미국/NNP+의/JKG
북한	북한/NNP
선제공격'	선제공격/NNG+'/SS
전망과	전망/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
질문이	질문/NNG+이/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.360.2.2
국방부 브리핑에서도 비슷한 질문이 나왔다.

국방부	국방부/NNG
브리핑에서도	브리핑/NNG+에서/JKB+도/JX
비슷한	비슷하/VA+ㄴ/ETM
질문이	질문/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.360.2.3
최근 들어 경제계와 증권가 등에 한반도에 전쟁이 임박했다는 내용의 '안보 지라시(사설정보지)'들이 급속도로 퍼지면서, 일부 외국계 기업들이 '피난 계획'을 마련하는 등 불안감이 확산되고 있는 것과 관련된 내용이었다.

최근	최근/MAG
들어	들/VV+어/EC
경제계와	경제/NNG+계/XSN+와/JC
증권가	증권가/NNG
등에	등/NNB+에/JKB
한반도에	한반도/NNP+에/JKB
전쟁이	전쟁/NNG+이/JKS
임박했다는	임박/NNG+하/XSV+았/EP+다는/ETM
내용의	내용/NNG+의/JKG
'안보	'/SS+안보/NNG
