# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.160
metadata : {}


# id : NWRW1800000029.160.1.1
亞3국과 390억 달러 수출계약… 미국인 일자리 13만 개 창출

亞3국과	亞/SH+3국/NNG+과/JC
390억	390/SN+억/NR
달러	달러/NNB
수출계약…	수출/NNG+계약/NNG+…/SE
미국인	미국인/NNG
일자리	일자리/NNG
13만	13/SN+만/NR
개	개/NNB
창출	창출/NNG


# id : NWRW1800000029.160.2.1
9일 동안 호주 인도네시아 등 아시아태평양 지역을 순방한 버락 오바마 대통령은 미국 물건을 아시아 지역에 파는 ‘비즈니스맨’으로 뛰었다.

9일	9/SN+일/NNB
동안	동안/NNG
호주	호주/NNP
인도네시아	인도네시아/NNP
등	등/NNB
아시아태평양	아시아/NNP+태평양/NNP
지역을	지역/NNG+을/JKO
순방한	순방/NNG+하/XSV+ㄴ/ETM
버락	버락/NNP
오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
미국	미국/NNP
물건을	물건/NNG+을/JKO
아시아	아시아/NNP
지역에	지역/NNG+에/JKB
파는	팔/VV+는/ETM
‘비즈니스맨’으로	‘/SS+비즈니스맨/NNG+’/SS+으로/JKB
뛰었다.	뛰/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.160.3.1
2014년까지 미국의 수출을 두 배로 늘리겠다는 오바마 대통령의 야심 찬 수출계획은 이번 아태 지역 순방에서도 드러났다.

2014년까지	2014/SN+년/NNB+까지/JX
미국의	미국/NNP+의/JKG
수출을	수출/NNG+을/JKO
두	두/MMN
배로	배/NNG+로/JKB
늘리겠다는	늘리/VV+겠/EP+다는/ETM
오바마	오바마/NNP
대통령의	대통령/NNG+의/JKG
야심	야심/NNG
찬	차/VV+ㄴ/ETM
수출계획은	수출/NNG+계획/NNG+은/JX
이번	이번/NNG
아태	아태/NNP
지역	지역/NNG
순방에서도	순방/NNG+에서/JKB+도/JX
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.160.3.2
오바마 대통령이 인도네시아와 싱가포르 브루나이 등 3개 나라와 맺은 수출계약 규모는 390억 달러.

오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
인도네시아와	인도네시아/NNP+와/JC
싱가포르	싱가포르/NNP
브루나이	브루나이/NNP
등	등/NNB
3개	3/SN+개/NNB
나라와	나라/NNG+와/JKB
맺은	맺/VV+은/ETM
수출계약	수출/NNG+계약/NNG
규모는	규모/NNG+는/JX
390억	390/SN+억/NR
달러.	달러/NNB+./SF


# id : NWRW1800000029.160.3.3
백악관은 미국인 일자리를 13만 개 창출할 수 있는 규모라고 밝혔다.

백악관은	백악관/NNP+은/JX
미국인	미국인/NNG
일자리를	일자리/NNG+를/JKO
13만	13/SN+만/NR
개	개/NNB
창출할	창출/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
규모라고	규모/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.160.4.1
오바마 대통령은 미 보잉사가 인도네시아에서 가장 큰 국내선을 운영하는 라이언에어사에 보잉 737기 230대를 팔기로 계약을 했다고 밝혔다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
미	미/NNP
보잉사가	보잉사/NNP+가/JKS
인도네시아에서	인도네시아/NNP+에서/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
국내선을	국내선/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
라이언에어사에	라이언에어사/NNP+에/JKB
보잉	보잉/NNP
737기	737기/NNG
230대를	230/SN+대/NNB+를/JKO
팔기로	팔/VV+기/ETN+로/JKB
계약을	계약/NNG+을/JKO
했다고	하/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.160.4.2
모두 217억 달러로 지금까지 보잉사가 맺었던 상업용 비행기 수출에서 가장 큰 규모다.

모두	모두/MAG
217억	217/SN+억/NR
달러로	달러/NNB+로/JKB
지금까지	지금/NNG+까지/JX
보잉사가	보잉사/NNP+가/JKS
맺었던	맺/VV+었/EP+던/ETM
상업용	상업/NNG+용/XSN
비행기	비행기/NNG
수출에서	수출/NNG+에서/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.160.4.3
미국에서 11만 개의 일자리를 창출할 수 있고 43개 주에서 부품을 공급하게 된다.

미국에서	미국/NNP+에서/JKB
11만	11/SN+만/NR
개의	개/NNB+의/JKG
일자리를	일자리/NNG+를/JKO
창출할	창출/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
43개	43/SN+개/NNB
주에서	주/NNG+에서/JKB
부품을	부품/NNG+을/JKO
공급하게	공급/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.160.4.4
미국과 인도네시아 간 교역에서 사상 최대의 거래라고 백악관은 설명했다.

미국과	미국/NNP+과/JC
인도네시아	인도네시아/NNP
간	간/NNB
교역에서	교역/NNG+에서/JKB
사상	사상/NNG
최대의	최대/NNG+의/JKG
거래라고	거래/NNG+이/VCP+라고/EC
백악관은	백악관/NNP+은/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.160.4.5
이번 계약에는 앞으로 보잉 상업용 비행기 150대(140억 달러 규모)를 더 팔 수 있는 옵션도 들어 있다.

이번	이번/NNG
계약에는	계약/NNG+에/JKB+는/JX
앞으로	앞/NNG+으로/JKB
보잉	보잉/NNP
상업용	상업/NNG+용/XSN
비행기	비행기/NNG
150대(140억	150/SN+대/NNB+(/SS+140/SN+억/NR
달러	달러/NNB
규모)를	규모/NNG+)/SS+를/JKO
더	더/MAG
팔	팔/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
옵션도	옵션/NNG+도/JX
들어	들/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.160.5.1
보잉사는 오바마 대통령의 아시아 방문을 통해 싱가포르에 보잉 777기를 수출하는 계약도 성사시켰다.

보잉사는	보잉사/NNP+는/JX
오바마	오바마/NNP
대통령의	대통령/NNG+의/JKG
아시아	아시아/NNP
방문을	방문/NNG+을/JKO
통해	통하/VV+아/EC
싱가포르에	싱가포르/NNP+에/JKB
보잉	보잉/NNP
777기를	777기/NNP+를/JKO
수출하는	수출/NNG+하/XSV+는/ETM
계약도	계약/NNG+도/JX
성사시켰다.	성사/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.160.5.2
보잉 777기 8대를 24억 달러에 싱가포르에어라인에 팔기로 한 것이다.

보잉	보잉/NNP
777기	777기/NNP
8대를	8/SN+대/NNB+를/JKO
24억	24/SN+억/NR
달러에	달러/NNB+에/JKB
싱가포르에어라인에	싱가포르에어라인/NNP+에/JKB
팔기로	팔/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.160.5.3
미국 내 1만1000개의 대기업과 중소기업이 부품을 생산하고 조립작업에 참여한다.

미국	미국/NNP
내	내/NNB
1만1000개의	1/SN+만/NR+1000/SN+개/NNB+의/JKG
대기업과	대/XPN+기업/NNG+과/JC
