# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.207
metadata : {}


# id : NWRW1800000046.207.1.1
[2015 K리그가 온다] (4) 국내파 골잡이들 명예 회복… 포항 김승대 도전장

[2015	[/SS+2015/SN
K리그가	K/SL+리그/NNG+가/JKS
온다]	오/VV+ㄴ다/EF+]/SS
(4)	(/SS+4/SN+)/SS
국내파	국내파/NNG
골잡이들	골잡이/NNG+들/XSN
명예	명예/NNG
회복…	회복/NNG+…/SE
포항	포항/NNP
김승대	김승대/NNP
도전장	도전장/NNG


# id : NWRW1800000046.207.2.1
"쏜다, 토종 득점왕"

"쏜다,	"/SS+쏘/VV+ㄴ다/EF+,/SP
토종	토종/NNG
득점왕"	득점왕/NNG+"/SS


# id : NWRW1800000046.207.3.1
7일 개막하는 올 시즌 K리그는 어느 때보다 '외풍(外風)'이 거셀 전망이다.

7일	7/SN+일/NNB
개막하는	개막/NNG+하/XSV+는/ETM
올	올/NNG
시즌	시즌/NNG
K리그는	K/SL+리그/NNG+는/JX
어느	어느/MMD
때보다	때/NNG+보다/JKB
'외풍(外風)'이	'/SS+외풍/NNG+(/SS+外風/SH+)/SS+'/SS+이/JKS
거셀	거세/VA+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.207.3.2
오랜만에 국내로 'U턴'한 에두와 에닝요(이상 전북), 최근 우라와 레즈(일본)와 벌인 AFC(아시아축구연맹) 챔피언스리그 경기에서 골을 신고한 레오(수원)까지 쟁쟁한 외국인 공격수들이 리그 득점왕 판도를 흔들 것으로 보인다.

오랜만에	오랜만/NNG+에/JKB
국내로	국내/NNG+로/JKB
'U턴'한	'/SS+U/SL+턴/NNG+'/SS+하/XSV+ㄴ/ETM
에두와	에두/NNP+와/JC
에닝요(이상	에닝요/NNP+(/SS+이상/NNG
전북),	전북/NNP+)/SS+,/SP
최근	최근/MAG
우라와	우라와/NNP
레즈(일본)와	레즈/NNP+(/SS+일본/NNP+)/SS+와/JKB
벌인	벌이/VV+ㄴ/ETM
AFC(아시아축구연맹)	AFC/SL+(/SS+아시아축구연맹/NNP+)/SS
챔피언스리그	챔피언스리그/NNG
경기에서	경기/NNG+에서/JKB
