# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.202
metadata : {}


# id : NWRW1800000038.202.1.1
최태원회장 "모든 점을 반성한다" 목이 멘 최후진술

최태원회장	최태원/NNP+회장/NNG
"모든	"/SS+모든/MMN
점을	점/NNG+을/JKO
반성한다"	반성/NNG+하/XSV+ㄴ다/EF+"/SS
목이	목/NNG+이/JKS
멘	메/VV+ㄴ/ETM
최후진술	최후/NNG+진술/NNG


# id : NWRW1800000038.202.2.1
횡령혐의 항소심 결심 공판… 檢, 1심보다 2년 많은 6년 구형

횡령혐의	횡령/NNG+혐의/NNG
항소심	항소심/NNG
결심	결심/NNG
공판…	공판/NNG+…/SE
檢,	檢/SH+,/SP
1심보다	1심/NNG+보다/JKB
2년	2/SN+년/NNB
많은	많/VA+은/ETM
6년	6/SN+년/NNB
구형	구형/NNG


# id : NWRW1800000038.202.3.1
계열사 자금 수백억원을 횡령한 혐의로 1심에서 징역 4년을 선고받은 SK그룹 최태원(53) 회장에게 검찰이 항소심에서 징역 6년을 구형했다.

계열사	계열사/NNG
자금	자금/NNG
수백억원을	수백억/NR+원/NNB+을/JKO
횡령한	횡령/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
1심에서	1심/NNG+에서/JKB
징역	징역/NNG
4년을	4/SN+년/NNB+을/JKO
선고받은	선고/NNG+받/XSV+은/ETM
SK그룹	SK그룹/NNP
최태원(53)	최태원/NNP+(/SS+53/SN+)/SS
회장에게	회장/NNG+에게/JKB
검찰이	검찰/NNG+이/JKS
항소심에서	항소심/NNG+에서/JKB
6년을	6/SN+년/NNB+을/JKO
구형했다.	구형/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.202.3.2
검찰은 1심에서는 징역 4년을 구형했었다.

검찰은	검찰/NNG+은/JX
1심에서는	1심/NNG+에서/JKB+는/JX
징역	징역/NNG
4년을	4/SN+년/NNB+을/JKO
구형했었다.	구형/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000038.202.3.3
검찰은 횡령에 가담한 혐의로 함께 기소돼 1심에서 무죄를 받은 최재원(50) SK그룹 부회장에게는 1심과 똑같은 징역 5년을, 김준홍(47) 전 베넥스인베스트먼트 대표에게는 징역 4년을 각각 구형했다.

검찰은	검찰/NNG+은/JX
횡령에	횡령/NNG+에/JKB
가담한	가담/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
함께	함께/MAG
기소돼	기소/NNG+되/XSV+어/EC
1심에서	1심/NNG+에서/JKB
무죄를	무죄/NNG+를/JKO
받은	받/VV+은/ETM
최재원(50)	최재원/NNP+(/SS+50/SN+)/SS
SK그룹	SK그룹/NNP
부회장에게는	부회장/NNG+에게/JKB+는/JX
1심과	1심/NNG+과/JKB
똑같은	똑같/VA+은/ETM
징역	징역/NNG
5년을,	5/SN+년/NNB+을/JKO+,/SP
