# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.22
metadata : {}


# id : NWRW1800000046.22.1.1
"영국은 해체의 길로 가고있다"

"영국은	"/SS+영국/NNP+은/JX
해체의	해체/NNG+의/JKG
길로	길/NNG+로/JKB
가고있다"	가/VV+고/EC+있/VX+다/EF+"/SS


# id : NWRW1800000046.22.2.1
스코틀랜드독립당 총선 약진에… NYT 등 주요 언론들 우려 표시

스코틀랜드독립당	스코틀랜드독립당/NNP
총선	총선/NNG
약진에…	약진/NNG+에/JKB+…/SE
NYT	NYT/SL
등	등/NNB
주요	주요/NNG
언론들	언론/NNG+들/XSN
우려	우려/NNG
표시	표시/NNG


# id : NWRW1800000046.22.3.1
"다음 총선이 예정된 2020년에 영국이라는 나라로 선거를 치를 수 있을지 의심스러워졌다."(일간 인디펜던트 사설)

"다음	"/SS+다음/NNG
총선이	총선/NNG+이/JKS
예정된	예정/NNG+되/XSV+ㄴ/ETM
2020년에	2020/SN+년/NNB+에/JKB
영국이라는	영국/NNP+이/VCP+라는/ETM
나라로	나라/NNG+로/JKB
선거를	선거/NNG+를/JKO
치를	치르/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
의심스러워졌다."(일간	의심/NNG+스럽/XSA+어/EC+지/VX+었/EP+다/EF+./SF+"/SS+(/SS+일간/NNG
인디펜던트	인디펜던트/NNP
사설)	사설/NNG+)/SS


# id : NWRW1800000046.22.4.1
지난 7일의 영국 총선 결과 스코틀랜드독립당(SNP)이 보수·노동 양당에 이어 확고한 원내 제3당이 됨에 따라 스코틀랜드에서 분리·독립을 갈망하는 목소리가 다시 커지고 있다.

지난	지나/VV+ㄴ/ETM
7일의	7/SN+일/NNB+의/JKG
영국	영국/NNP
총선	총선/NNG
결과	결과/NNG
스코틀랜드독립당(SNP)이	스코틀랜드독립당/NNP+(/SS+SNP/SL+)/SS+이/JKS
보수·노동	보수/NNP+·/SP+노동/NNP
양당에	양당/NNG+에/JKB
이어	잇/VV+어/EC
확고한	확고하/VA+ㄴ/ETM
원내	원내/NNG
제3당이	제/XPN+3/SN+당/NNG+이/JKC
됨에	되/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
스코틀랜드에서	스코틀랜드/NNP+에서/JKB
분리·독립을	분리/NNG+·/SP+독립/NNG+을/JKO
갈망하는	갈망/NNG+하/XSV+는/ETM
목소리가	목소리/NNG+가/JKS
다시	다시/MAG
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.22.4.2
SNP는 스코틀랜드의 59개 지역구 중 56석을 휩쓸었다.

SNP는	SNP/SL+는/JX
스코틀랜드의	스코틀랜드/NNP+의/JKG
59개	59/SN+개/NNB
지역구	지역구/NNG
중	중/NNB
56석을	56/SN+석/NNB+을/JKO
휩쓸었다.	휩쓸/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.22.4.3
1935년 총선에 처음 얼굴을 내민 이후 2010년까지 19차례 선거에서 11석(1974년)을 얻었던 게 최대 성과였던 것을 감안하면, 올해 얻은 의석은 예상을 크게 뛰어넘는 것이다.

1935년	1935/SN+년/NNB
총선에	총선/NNG+에/JKB
처음	처음/NNG
얼굴을	얼굴/NNG+을/JKO
내민	내밀/VV+ㄴ/ETM
이후	이후/NNG
2010년까지	2010/SN+년/NNB+까지/JX
19차례	19/SN+차례/NNG
선거에서	선거/NNG+에서/JKB
11석(1974년)을	11/SN+석/NNB+(/SS+1974/SN+년/NNB+)/SS+을/JKO
얻었던	얻/VV+었/EP+던/ETM
게	거/NNB+이/JKS
최대	최대/NNG
성과였던	성과/NNG+이/VCP+었/EP+던/ETM
것을	것/NNB+을/JKO
감안하면,	감안/NNG+하/XSV+면/EC+,/SP
올해	올해/NNG
얻은	얻/VV+은/ETM
의석은	의석/NNG+은/JX
예상을	예상/NNG+을/JKO
크게	크/VA+게/EC
뛰어넘는	뛰어넘/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.22.4.4
그만큼 독립 열망이 최고조라는 뜻이다.

그만큼	그만큼/MAG
독립	독립/NNG
열망이	열망/NNG+이/JKS
최고조라는	최/XPN+고조/NNG+이/VCP+라는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.22.4.5
한껏 고무된 니콜라 스터전 SNP 당수는 "독립에 속도를 내겠다"고 강조했다.

한껏	한껏/MAG
고무된	고무/NNG+되/XSV+ㄴ/ETM
니콜라	니콜라/NNP
스터전	스터전/NNP
SNP	SNP/SL
당수는	당수/NNG+는/JX
"독립에	"/SS+독립/NNG+에/JKB
속도를	속도/NNG+를/JKO
내겠다"고	내/VV+겠/EP+다/EF+"/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.22.5.1
영국 언론은 스코틀랜드가 떨어져 나갈 경우 영국의 대외적 위상이 추락할 것이라고 우려한다.

영국	영국/NNP
언론은	언론/NNG+은/JX
스코틀랜드가	스코틀랜드/NNP+가/JKS
떨어져	떨어지/VV+어/EC
나갈	나가/VV+ㄹ/ETM
경우	경우/NNG
영국의	영국/NNP+의/JKG
대외적	대외/NNG+적/XSN
위상이	위상/NNG+이/JKS
추락할	추락/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
우려한다.	우려/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.22.5.2
다른 지방정부인 웨일스나 북아일랜드의 독립까지도 불러올 수 있어, 영국이 네 나라로 해체되는 극단적 시나리오까지 언급되고 있다.

다른	다른/MMD
지방정부인	지방/NNG+정부/NNG+이/VCP+ㄴ/ETM
웨일스나	웨일스/NNP+나/JC
북아일랜드의	북아일랜드/NNP+의/JKG
독립까지도	독립/NNG+까지/JX+도/JX
불러올	불러오/VV+ㄹ/ETM
수	수/NNB
있어,	있/VA+어/EC+,/SP
영국이	영국/NNP+이/JKS
네	네/MMN
나라로	나라/NNG+로/JKB
해체되는	해체/NNG+되/XSV+는/ETM
극단적	극단/NNG+적/XSN
시나리오까지	시나리오/NNG+까지/JX
언급되고	언급/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.22.5.3
