# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.23
metadata : {}


# id : NWRW1800000044.23.1.1
온라인 국외 직접구매 크게 늘어나

온라인	온라인/NNG
국외	국외/NNG
직접구매	직접/NNG+구매/NNG
크게	크/VA+게/EC
늘어나	늘어나/VV+아/EF


# id : NWRW1800000044.23.2.1
[한겨레] 4월까지 4억7877만달러…56% 증가

[한겨레]	[/SS+한겨레/NNP+]/SS
4월까지	4/SN+월/NNB+까지/JX
4억7877만달러…56%	4/SN+억/NR+7877/SN+만/NR+달러/NNB+…/SE+56/SN+%/SW
증가	증가/NNG


# id : NWRW1800000044.23.3.1
미국·중국·독일 순…의류·신발 많아

미국·중국·독일	미국/NNP+·/SP+중국/NNP+·/SP+독일/NNP
순…의류·신발	순/NNB+…/SE+의류/NNG+·/SP+신발/NNG
많아	많/VA+아/EF


# id : NWRW1800000044.23.4.1
구매연령 20·30대가 전체 74% 차지

구매연령	구매/NNG+연령/NNG
20·30대가	20/SN+·/SP+30/SN+대/NNB+가/JKS
전체	전체/NNG
74%	74/SN+%/SW
차지	차지/NNG


# id : NWRW1800000044.23.5.1
올해 4월까지 온라인을 통한 해외 직접 구매(해외 직구)가 지난해 같은 기간에 비해 50% 이상 증가한 것으로 나타났다.

올해	올해/NNG
4월까지	4/SN+월/NNB+까지/JX
온라인을	온라인/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
해외	해외/NNG
직접	직접/NNG
구매(해외	구매/NNG+(/SS+해외/NNG
직구)가	직구/NNG+)/SS+가/JKS
지난해	지난해/NNG
같은	같/VA+은/ETM
기간에	기간/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
50%	50/SN+%/SW
이상	이상/NNG
증가한	증가/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.23.6.1
관세청은 올해 1월~4월 해외 직구 금액과 건수를 집계해보니 4억7877만달러(496만건)로 지난해 같은 기간에 비해 56% 증가했다고 20일 밝혔다.

관세청은	관세청/NNG+은/JX
올해	올해/NNG
1월~4월	1/SN+월/NNB+~/SO+4/SN+월/NNB
해외	해외/NNG
직구	직구/NNG
금액과	금액/NNG+과/JC
건수를	건수/NNG+를/JKO
집계해보니	집계/NNG+하/XSV+아/EC+보/VX+니/EC
4억7877만달러(496만건)로	4/SN+억/NR+7877/SN+만/NR+달러/NNB+(/SS+496/SN+만/NR+건/NNB+)/SS+로/JKB
지난해	지난해/NNG
같은	같/VA+은/ETM
기간에	기간/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
56%	56/SN+%/SW
증가했다고	증가/NNG+하/XSV+았/EP+다고/EC
20일	20/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.23.6.2
2012년 7억720만달러를 기록한 해외 직구 금액은 2013년 10억달러를 돌파했다.

2012년	2012/SN+년/NNB
7억720만달러를	7/SN+억/NR+720/SN+만/NR+달러/NNB+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
해외	해외/NNG
직구	직구/NNG
