# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.45
metadata : {}


# id : NWRW1800000049.45.1.1
“아시아 과학기술의 현주소-미래 몸으로 느꼈어요”

“아시아	“/SS+아시아/NNP
과학기술의	과학/NNG+기술/NNG+의/JKG
현주소-미래	현주소/NNG+-/SO+미래/NNG
몸으로	몸/NNG+으로/JKB
느꼈어요”	느끼/VV+었/EP+어요/EF+”/SS


# id : NWRW1800000049.45.2.1
학생과학발명품경진대회 수상자들… 홍콩-싱가포르 6일간 과학 탐방 지진-태풍 등 체험하며 원리 찾아

학생과학발명품경진대회	학생/NNG+과학/NNG+발명품/NNG+경진/NNG+대회/NNG
수상자들…	수상자/NNG+들/XSN+…/SE
홍콩-싱가포르	홍콩/NNP+-/SO+싱가포르/NNP
6일간	6/SN+일/NNB+간/XSN
과학	과학/NNG
탐방	탐방/NNG
지진-태풍	지진/NNG+-/SO+태풍/NNG
등	등/NNB
체험하며	체험/NNG+하/XSV+며/EC
원리	원리/NNG
찾아	찾/VV+아/EF


# id : NWRW1800000049.45.3.1
지난달 30일 홍콩 침사추이(尖沙咀) 지역 홍콩과학박물관.

지난달	지난달/NNG
30일	30/SN+일/NNB
홍콩	홍콩/NNP
침사추이(尖沙咀)	침사추이/NNP+(/SS+尖沙咀/SH+)/SS
지역	지역/NNG
홍콩과학박물관.	홍콩과학박물관/NNP+./SF


# id : NWRW1800000049.45.3.2
나란히 솟은 두 개의 원통형 투명 용기 안에 각각 파란색과 분홍색 액체가 채워져 있었다.

나란히	나란히/MAG
솟은	솟/VV+은/ETM
두	두/MMN
개의	개/NNB+의/JKG
원통형	원통/NNG+형/XSN
투명	투명/NNG
용기	용기/NNG
안에	안/NNG+에/JKB
각각	각각/MAG
파란색과	파란색/NNG+과/JC
분홍색	분홍색/NNG
액체가	액체/NNG+가/JKS
채워져	채우/VV+어/EC+지/VX+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.45.3.3
충남 천안불당초 6학년 허지연 양이 원통 밑에 달린 손잡이와 페달을 손과 발로 힘껏 누르자 커다란 공기방울이 액체를 통과해 상승했다.

충남	충남/NNP
천안불당초	천안불당초/NNP
6학년	6/SN+학년/NNG
허지연	허지연/NNP
양이	양/NNB+이/JKS
원통	원통/NNG
밑에	밑/NNG+에/JKB
달린	달리/VV+ㄴ/ETM
손잡이와	손잡이/NNG+와/JC
페달을	페달/NNG+을/JKO
손과	손/NNG+과/JC
발로	발/NNG+로/JKB
힘껏	힘껏/MAG
누르자	누르/VV+자/EC
커다란	커다랗/VA+ㄴ/ETM
공기방울이	공기/NNG+방울/NNG+이/JKS
액체를	액체/NNG+를/JKO
통과해	통과/NNG+하/XSV+아/EC
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.45.4.1
“작은 공기방울보다 큰 공기방울이 더 빠르게 올라갑니다.

“작은	“/SS+작/VA+은/ETM
공기방울보다	공기/NNG+방울/NNG+보다/JKB
큰	크/VA+ㄴ/ETM
공기방울이	공기/NNG+방울/NNG+이/JKS
더	더/MAG
빠르게	빠르/VA+게/EC
올라갑니다.	올라가/VV+ㅂ니다/EF+./SF


# id : NWRW1800000049.45.4.2
부력이 크기 때문이죠.”

부력이	부력/NNG+이/JKS
크기	크/VA+기/ETN
때문이죠.”	때문/NNB+이/VCP+죠/EF+./SF+”/SS


# id : NWRW1800000049.45.4.3
안내원의 설명에 허 양은 원리를 알았다는 듯이 고개를 끄덕였다.

안내원의	안내원/NNG+의/JKG
설명에	설명/NNG+에/JKB
허	허/NNP
양은	양/NNB+은/JX
원리를	원리/NNG+를/JKO
알았다는	알/VV+았/EP+다는/ETM
듯이	듯이/NNB
고개를	고개/NNG+를/JKO
끄덕였다.	끄덕이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.45.5.1
제38회 전국학생과학발명품 경진대회(동아일보·미래창조과학부 주최)에서 대통령상, 국무총리상, 최우수상을 수상한 학생과 교사들이 지난달 30일부터 이달 4일까지 홍콩과 싱가포르를 방문했다.

제38회	제/XPN+38/SN+회/NNB
전국학생과학발명품	전국/NNG+학생/NNG+과학/NNG+발명품/NNG
경진대회(동아일보·미래창조과학부	경진/NNG+대회/NNG+(/SS+동아일보/NNP+·/SP+미래/NNG+창조/NNG+과학부/NNG
주최)에서	주최/NNG+)/SS+에서/JKB
대통령상,	대통령상/NNG+,/SP
국무총리상,	국무총리상/NNG+,/SP
최우수상을	최우수상/NNG+을/JKO
수상한	수상/NNG+하/XSV+ㄴ/ETM
학생과	학생/NNG+과/JC
교사들이	교사/NNG+들/XSN+이/JKS
지난달	지난달/NNG
30일부터	30/SN+일/NNB+부터/JX
이달	이달/NNG
4일까지	4/SN+일/NNB+까지/JX
홍콩과	홍콩/NNP+과/JC
싱가포르를	싱가포르/NNP+를/JKO
방문했다.	방문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.45.5.2
학생들은 홍콩과학박물관, 싱가포르과학관, 싱가포르국립대 등을 찾아 아시아 과학기술의 현주소와 미래를 체험했다.

학생들은	학생/NNG+들/XSN+은/JX
홍콩과학박물관,	홍콩과학박물관/NNP+,/SP
싱가포르과학관,	싱가포르과학관/NNP+,/SP
싱가포르국립대	싱가포르국립대/NNP
등을	등/NNB+을/JKO
찾아	찾/VV+아/EC
아시아	아시아/NNP
과학기술의	과학/NNG+기술/NNG+의/JKG
현주소와	현주소/NNG+와/JC
미래를	미래/NNG+를/JKO
체험했다.	체험/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.45.5.3
이번 연수는 ‘자원이 없는 한국이 살아갈 방법은 과학기술밖에 없다’는 신념으로 1979년 1회 대회부터 단독 후원을 해온 한국야쿠르트의 지원으로 진행됐다.

이번	이번/NNG
연수는	연수/NNG+는/JX
‘자원이	‘/SS+자원/NNG+이/JKS
없는	없/VA+는/ETM
한국이	한국/NNP+이/JKS
살아갈	살아가/VV+ㄹ/ETM
방법은	방법/NNG+은/JX
과학기술밖에	과학/NNG+기술/NNG+밖에/JX
없다’는	없/VA+다/EF+’/SS+는/ETM
신념으로	신념/NNG+으로/JKB
1979년	1979/SN+년/NNB
1회	1/SN+회/NNB
대회부터	대회/NNG+부터/JX
단독	단독/NNG
후원을	후원/NNG+을/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
한국야쿠르트의	한국야쿠르트/NNP+의/JKG
지원으로	지원/NNG+으로/JKB
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.45.6.1
4일 오전 찾은 싱가포르과학관은 600종 이상의 전시물을 보유하고 있으며 세계 10대 과학관 중 하나로 꼽힌다.

4일	4/SN+일/NNB
오전	오전/NNG
찾은	찾/VV+은/ETM
싱가포르과학관은	싱가포르과학관/NNP+은/JX
600종	600/SN+종/NNG
이상의	이상/NNG+의/JKG
전시물을	전시물/NNG+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
세계	세계/NNG
10대	10/SN+대/NNG
과학관	과학관/NNG
중	중/NNB
하나로	하나/NR+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.45.6.2
방과후학교 프로그램 등을 운영해 맞벌이 부부들에게 인기를 끌고 있다.

방과후학교	방과/NNG+후/NNG+학교/NNG
프로그램	프로그램/NNG
등을	등/NNB+을/JKO
운영해	운영/NNG+하/XSV+아/EC
맞벌이	맞벌이/NNG
부부들에게	부부/NNG+들/XSN+에게/JKB
인기를	인기/NNG+를/JKO
끌고	끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.45.6.3
한국 학생들은 최근 일어난 경주 지진 등의 영향으로 지진과 태풍 등 자연재해의 원리를 공부하고 체험하는 시설에 큰 관심을 보였다.

한국	한국/NNP
학생들은	학생/NNG+들/XSN+은/JX
최근	최근/NNG
일어난	일어나/VV+ㄴ/ETM
경주	경주/NNP
지진	지진/NNG
등의	등/NNB+의/JKG
영향으로	영향/NNG+으로/JKB
지진과	지진/NNG+과/JC
태풍	태풍/NNG
등	등/NNB
자연재해의	자연재해/NNG+의/JKG
원리를	원리/NNG+를/JKO
공부하고	공부/NNG+하/XSV+고/EC
체험하는	체험/NNG+하/XSV+는/ETM
시설에	시설/NNG+에/JKB
큰	크/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.45.7.1
