# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.281
metadata : {}


# id : NWRW1800000054.281.1.1
굴비 엮이듯 끌려간 선수들… 평창도 이러면 큰일

굴비	굴비/NNG
엮이듯	엮이/VV+듯/EC
끌려간	끌려가/VV+ㄴ/ETM
선수들…	선수/NNG+들/XSN+…/SE
평창도	평창/NNP+도/JX
이러면	이러/VV+면/EC
큰일	큰일/NNG


# id : NWRW1800000054.281.2.1
캐나다 월드컵 스키장 정전 사태… 스노캣에 로프 묶어 출발선으로

캐나다	캐나다/NNP
월드컵	월드컵/NNG
스키장	스키장/NNG
정전	정전/NNG
사태…	사태/NNG+…/SE
스노캣에	스노캣/NNG+에/JKB
로프	로프/NNG
묶어	묶/VV+어/EC
출발선으로	출발선/NNG+으로/JKB


# id : NWRW1800000054.281.3.1
FIS(국제스키연맹) 월드컵에 출전한 알파인스키 여자 선수들이 20~30명씩 스노캣(눈을 다지는 기계)에 굴비처럼 엮여 해발고도 2300m 지점까지 끌려 올라갔다.

FIS(국제스키연맹)	FIS/SL+(/SS+국제스키연맹/NNP+)/SS
월드컵에	월드컵/NNG+에/JKB
출전한	출전/NNG+하/XSV+ㄴ/ETM
알파인스키	알파인/NNG+스키/NNG
여자	여자/NNG
선수들이	선수/NNG+들/XSN+이/JKS
20~30명씩	20/SN+~/SO+30/SN+명/NNB+씩/XSN
스노캣(눈을	스노캣/NNG+(/SS+눈/NNG+을/JKO
다지는	다지/VV+는/ETM
기계)에	기계/NNG+)/SS+에/JKB
굴비처럼	굴비/NNG+처럼/JKB
엮여	엮이/VV+어/EC
해발고도	해발/NNG+고도/NNG
2300m	2300/SN+m/SW
지점까지	지점/NNG+까지/JX
끌려	끌리/VV+어/EC
올라갔다.	올라가/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.281.3.2
이들을 보러 온 관광객과 일반 스키어들이 탄 리프트와 곤돌라는 멈춘 상태였다.

이들을	이/NP+들/XSN+을/JKO
보러	보/VV+러/EC
온	오/VV+ㄴ/ETM
관광객과	관광객/NNG+과/JC
일반	일반/NNG
스키어들이	스키어/NNG+들/XSN+이/JKS
탄	타/VV+ㄴ/ETM
리프트와	리프트/NNG+와/JC
곤돌라는	곤돌라/NNG+는/JX
멈춘	멈추/VV+ㄴ/ETM
상태였다.	상태/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.281.3.3
2일(현지 시각) FIS 알파인스키 활강 월드컵이 열린 캐나다 앨버타주 레이크 루이스 스키장에서 벌어진 일이다.

2일(현지	2/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
FIS	FIS/SL
알파인스키	알파인/NNG+스키/NNG
활강	활강/NNG
월드컵이	월드컵/NNG+이/JKS
열린	열리/VV+ㄴ/ETM
캐나다	캐나다/NNP
앨버타주	앨버타주/NNP
레이크	레이크/NNP
루이스	루이스/NNP
스키장에서	스키장/NNG+에서/JKB
벌어진	벌어지/VV+ㄴ/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.281.4.1
사건은 이날 아침 스키장 변전소에 불이 나 정전이 되면서 시작됐다.

사건은	사건/NNG+은/JX
이날	이날/NNG
아침	아침/NNG
스키장	스키장/NNG
변전소에	변전소/NNG+에/JKB
불이	불/NNG+이/JKS
나	나/VV+아/EC
정전이	정전/NNG+이/JKS
되면서	되/VV+면서/EC
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.281.4.2
스키장 측은 일반 관광객과 스키어들을 집으로 돌려보내기 시작했다.

스키장	스키장/NNG
측은	측/NNB+은/JX
일반	일반/NNG
관광객과	관광객/NNG+과/JC
