# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.84
metadata : {}


# id : NWRW1800000022.84.1.1
獨 '키몬다' 청산 가능성

獨	獨/SH
'키몬다'	'/SS+키몬다/NNP+'/SS
청산	청산/NNG
가능성	가능/NNG+성/XSN


# id : NWRW1800000022.84.2.1
지난 1월 파산보호 신청을 한 독일의 메모리 반도체 업체 키몬다가 투자자를 찾지 못해 청산 절차를 밟을 가능성이 높아지고 있다고 해외 주요 언론들이 보도했다.

지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
파산보호	파산/NNG+보호/NNG
신청을	신청/NNG+을/JKO
한	하/VV+ㄴ/ETM
독일의	독일/NNP+의/JKG
메모리	메모리/NNG
반도체	반도체/NNG
업체	업체/NNG
키몬다가	키몬다/NNP+가/JKS
투자자를	투자자/NNG+를/JKO
찾지	찾/VV+지/EC
못해	못하/VX+아/EC
청산	청산/NNG
절차를	절차/NNG+를/JKO
밟을	밟/VV+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높아지고	높아지/VV+고/EC
있다고	있/VX+다고/EC
해외	해외/NNG
주요	주요/NNG
언론들이	언론/NNG+들/XSN+이/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.84.3.1
14일 로이터·AFP 등 외신에 따르면, 이 회사의 파산관재인 미하엘 야페는 "여러 투자자들이 관심을 표명했으나 구속력 있는 인수 제안은 없다"며 "당초 우려대로 이달 안에 최종적인 해결방안을 찾기는 힘들 것"이라고 말했다.

14일	14/SN+일/NNB
로이터·AFP	로이터/NNP+·/SP+AFP/SL
등	등/NNB
외신에	외신/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
이	이/MMD
회사의	회사/NNG+의/JKG
파산관재인	파산/NNG+관재인/NNG
미하엘	미하엘/NNP
야페는	야페/NNP+는/JX
"여러	"/SS+여러/MMN
투자자들이	투자자/NNG+들/XSN+이/JKS
관심을	관심/NNG+을/JKO
표명했으나	표명/NNG+하/XSV+았/EP+으나/EC
구속력	구속력/NNG
있는	있/VA+는/ETM
인수	인수/NNG
제안은	제안/NNG+은/JX
없다"며	없/VA+다/EF+"/SS+며/EC
"당초	"/SS+당초/NNG
우려대로	우려/NNG+대로/JX
이달	이달/NNG
안에	안/NNG+에/JKB
최종적인	최종/NNG+적/XSN+이/VCP+ㄴ/ETM
해결방안을	해결/NNG+방안/NNG+을/JKO
찾기는	찾/VV+기/ETN+는/JX
힘들	힘들/VA+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.84.4.1
세계 5위 D램 반도체 업체인 키몬다는 올 1월 23일 법원에 파산보호신청을 하면서 청산 보류 기한을 이달 31일로 제시했다.

세계	세계/NNG
5위	5/SN+위/NNB
D램	D/SL+램/NNG
반도체	반도체/NNG
업체인	업체/NNG+이/VCP+ㄴ/ETM
키몬다는	키몬다/NNP+는/JX
올	올/NNG
1월	1/SN+월/NNB
23일	23/SN+일/NNB
법원에	법원/NNG+에/JKB
파산보호신청을	파산/NNG+보호/NNG+신청/NNG+을/JKO
하면서	하/VV+면서/EC
청산	청산/NNG
보류	보류/NNG
기한을	기한/NNG+을/JKO
이달	이달/NNG
31일로	31/SN+일/NNB+로/JKB
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.84.4.2
뮌헨 법원은 이달 안에 회사 매각과 관련한 가시적인 성과가 없을 경우 청산 개시 여부를 결정할 예정이다.

뮌헨	뮌헨/NNP
법원은	법원/NNG+은/JX
이달	이달/NNG
안에	안/NNG+에/JKB
회사	회사/NNG
매각과	매각/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
가시적인	가시/NNG+적/XSN+이/VCP+ㄴ/ETM
성과가	성과/NNG+가/JKS
없을	없/VA+을/ETM
경우	경우/NNG
청산	청산/NNG
개시	개시/NNG
여부를	여부/NNG+를/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.84.5.1
키몬다는 반도체 가격 폭락 여파로 최근 2년 동안 20억유로(약 3조9000조원)가 넘는 누적적자를 기록했으며, 현재 공장 가동은 사실상 중단 상태다.

키몬다는	키몬다/NNP+는/JX
반도체	반도체/NNG
가격	가격/NNG
폭락	폭락/NNG
여파로	여파/NNG+로/JKB
최근	최근/MAG
2년	2/SN+년/NNB
동안	동안/NNG
20억유로(약	20/SN+억/NR+유로/NNB+(/SS+약/MMA
3조9000조원)가	3/SN+조/NR+9000/SN+조/NR+원/NNB+)/SS+가/JKS
넘는	넘/VV+는/ETM
누적적자를	누적/NNG+적자/NNG+를/JKO
기록했으며,	기록/NNG+하/XSV+았/EP+으며/EC+,/SP
현재	현재/MAG
공장	공장/NNG
가동은	가동/NNG+은/JX
사실상	사실/NNG+상/XSN
중단	중단/NNG
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.84.5.2
키몬다는 독일 정부가 파격적으로 지원하지 않는 한 현실적으로 투자자를 찾기 힘들다.

키몬다는	키몬다/NNP+는/JX
독일	독일/NNP
정부가	정부/NNG+가/JKS
파격적으로	파격/NNG+적/XSN+으로/JKB
지원하지	지원/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
한	한/NNG
현실적으로	현실/NNG+적/XSN+으로/JKB
투자자를	투자자/NNG+를/JKO
찾기	찾/VV+기/ETN
힘들다.	힘들/VA+다/EF+./SF


