# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.193
metadata : {}


# id : NWRW1800000024.193.1.1
전기료·가스비 올려 ‘에너지 절약’ 강제

전기료·가스비	전기료/NNG+·/SP+가스비/NNG
올려	올리/VV+어/EC
‘에너지	‘/SS+에너지/NNG
절약’	절약/NNG+’/SS
강제	강제/NNG


# id : NWRW1800000024.193.2.1
정부가 전기·가스요금을 단계적으로 인상하는 에너지 절약 대책을 내놓았다.

정부가	정부/NNG+가/JKS
전기·가스요금을	전기/NNG+·/SP+가스/NNG+요금/NNG+을/JKO
단계적으로	단계/NNG+적/XSN+으로/JKB
인상하는	인상/NNG+하/XSV+는/ETM
에너지	에너지/NNG
절약	절약/NNG
대책을	대책/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.193.2.2
또 기름값이나 석탄 같은 연료 시세가 오르면 전기료 등 에너지 요금도 함께 올리는 연동제를 도입할 방침이다.

또	또/MAG
기름값이나	기름값/NNG+이나/JC
석탄	석탄/NNG
같은	같/VA+은/ETM
연료	연료/NNG
시세가	시세/NNG+가/JKS
오르면	오르/VV+면/EC
전기료	전기료/NNG
등	등/NNB
에너지	에너지/NNG
요금도	요금/NNG+도/JX
함께	함께/MAG
올리는	올리/VV+는/ETM
연동제를	연동/NNG+제/XSN+를/JKO
도입할	도입/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.193.2.3
이에 따라 그동안 국내 물가 안정을 위해 억제되어 온 전기·가스요금이 올해 하반기부터 본격 인상될 것으로보인다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
그동안	그동안/NNG
국내	국내/NNG
물가	물가/NNG
안정을	안정/NNG+을/JKO
위해	위하/VV+아/EC
억제되어	억제/NNG+되/XSV+어/EC
온	오/VX+ㄴ/ETM
전기·가스요금이	전기/NNG+·/SP+가스/NNG+요금/NNG+이/JKS
올해	올해/NNG
하반기부터	하반기/NNG+부터/JX
본격	본격/NNG
인상될	인상/NNG+되/XSV+ㄹ/ETM
것으로보인다.	것/NNB+으로/JKB+보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.193.3.1
지식경제부는 4일 이명박 대통령 주재로 열린 비상경제대책회의에서 ‘고유가 대응을 위한 에너지 수요관리대책’을 보고했다.

지식경제부는	지식/NNG+경제부/NNG+는/JX
4일	4/SN+일/NNB
이명박	이명박/NNP
대통령	대통령/NNG
주재로	주재/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
비상경제대책회의에서	비상/NNG+경제/NNG+대책/NNG+회의/NNG+에서/JKB
‘고유가	‘/SS+고/XPN+유가/NNG
대응을	대응/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
에너지	에너지/NNG
수요관리대책’을	수요/NNG+관리/NNG+대책/NNG+’/SS+을/JKO
보고했다.	보고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.193.3.2
대책의 얼개는 에너지 가격 인상을 통해 에너지 소비를 묶고 에너지 절약에 따른 인센티브를 강화하는 것이다.

대책의	대책/NNG+의/JKG
얼개는	얼개/NNG+는/JX
에너지	에너지/NNG
가격	가격/NNG
인상을	인상/NNG+을/JKO
통해	통하/VV+아/EC
소비를	소비/NNG+를/JKO
묶고	묶/VV+고/EC
절약에	절약/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
인센티브를	인센티브/NNG+를/JKO
강화하는	강화/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.193.3.3
또 자동차 연비 기준을 2015년부터 선진국 수준으로 강화하는 방안도 포함됐다.

또	또/MAG
자동차	자동차/NNG
연비	연비/NNG
기준을	기준/NNG+을/JKO
2015년부터	2015/SN+년/NNB+부터/JX
선진국	선진국/NNG
수준으로	수준/NNG+으로/JKB
강화하는	강화/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.193.4.1
정부는 고유가 위험이 아직 남아 있고 국내 에너지 소비가 빠른 속도로 증가함에 따라 기존의 공급 중심 에너지정책에서 수요관리 중심으로 전환할 필요성이 있어 이런 대책을 추진한다고 밝혔다.

정부는	정부/NNG+는/JX
고유가	고/XPN+유가/NNG
위험이	위험/NNG+이/JKS
아직	아직/MAG
남아	남/VV+아/EC
있고	있/VX+고/EC
국내	국내/NNG
에너지	에너지/NNG
소비가	소비/NNG+가/JKS
빠른	빠르/VA+ㄴ/ETM
속도로	속도/NNG+로/JKB
증가함에	증가/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
기존의	기존/NNG+의/JKG
공급	공급/NNG
중심	중심/NNG
에너지정책에서	에너지/NNG+정책/NNG+에서/JKB
수요관리	수요/NNG+관리/NNG
중심으로	중심/NNG+으로/JKB
전환할	전환/NNG+하/XSV+ㄹ/ETM
필요성이	필요/NNG+성/XSN+이/JKS
있어	있/VA+어/EC
이런	이런/MMD
대책을	대책/NNG+을/JKO
추진한다고	추진/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.193.4.2
2006년 기준으로 우리나라의 1인당 에너지 소비는 0.389toe(석유환산톤)로 0.380toe인 일본과 비슷하고 0.852toe인 미국 등 선진국보다는 훨씬 적은 수준이다.

2006년	2006/SN+년/NNB
기준으로	기준/NNG+으로/JKB
우리나라의	우리나라/NNG+의/JKG
1인당	1/SN+인/NNG+당/XSN
에너지	에너지/NNG
소비는	소비/NNG+는/JX
0.389toe(석유환산톤)로	0/SN+./SP+389/SN+toe/SW+(/SS+석유/NNG+환산/NNG+톤/NNB+)/SS+로/JKB
0.380toe인	0/SN+./SP+380/SN+toe/SW+이/VCP+ㄴ/ETM
일본과	일본/NNP+과/JKB
비슷하고	비슷하/VA+고/EC
0.852toe인	0/SN+./SP+852/SN+toe/SW+이/VCP+ㄴ/ETM
미국	미국/NNP
등	등/NNB
선진국보다는	선진국/NNG+보다/JKB+는/JX
훨씬	훨씬/MAG
적은	적/VA+은/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.193.4.3
하지만 연평균 에너지 소비 증가율은 3.9%로 소비가 감소하고 있는 다른 나라들에 비해 매우 높은 편이다.

하지만	하지만/MAJ
연평균	연평균/NNG
에너지	에너지/NNG
소비	소비/NNG
증가율은	증가/NNG+율/XSN+은/JX
