# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.14
metadata : {}


# id : NWRW1800000049.14.1.1
日 아베노믹스 추락하자 ‘100엔숍’만 날개 달아

日	日/SH
아베노믹스	아베노믹스/NNG
추락하자	추락/NNG+하/XSV+자/EC
‘100엔숍’만	‘/SS+100/SN+엔/NNB+숍/NNG+’/SS+만/JX
날개	날개/NNG
달아	달/VV+아/EC


# id : NWRW1800000049.14.2.1
소비자들 “경기 불확실” 지갑 닫자… 할인점들 공격적으로 점포 늘려 콧대 높던 유니클로도 가격 내려… 엔고 겹친 대기업들은 투자 꺼

소비자들	소비자/NNG+들/XSN
“경기	“/SS+경기/NNG
불확실”	불확실/NNG+”/SS
지갑	지갑/NNG
닫자…	닫/VV+자/EC+…/SE
할인점들	할인점/NNG+들/XSN
공격적으로	공격/NNG+적/XSN+으로/JKB
점포	점포/NNG
늘려	늘리/VV+어/EC
콧대	콧대/NNG
높던	높/VA+던/ETM
유니클로도	유니클로/NNP+도/JX
가격	가격/NNG
내려…	내리/VV+어/EC+…/SE
엔고	엔고/NNG
겹친	겹치/VV+ㄴ/ETM
대기업들은	대/XPN+기업/NNG+들/XSN+은/JX
투자	투자/NNG
꺼	끄/VV+어/EC


# id : NWRW1800000049.14.3.1
엔고와 주가 하락으로 아베노믹스가 위기에 빠지고 일본의 경기 회복에 회의적인 시각이 확산되면서 대기업들이 투자를 꺼리고 있다.

엔고와	엔고/NNG+와/JC
주가	주가/NNG
하락으로	하락/NNG+으로/JKB
아베노믹스가	아베노믹스/NNG+가/JKS
위기에	위기/NNG+에/JKB
빠지고	빠지/VV+고/EC
일본의	일본/NNP+의/JKG
경기	경기/NNG
회복에	회복/NNG+에/JKB
회의적인	회의/NNG+적/XSN+이/VCP+ㄴ/ETM
시각이	시각/NNG+이/JKS
확산되면서	확산/NNG+되/XSV+면서/EC
대기업들이	대/XPN+기업/NNG+들/XSN+이/JKS
투자를	투자/NNG+를/JKO
꺼리고	꺼리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.14.3.2
반면 저가로 승부하는 100엔숍 등 할인매장만 공격적인 투자에 나서고 있다.

반면	반면/NNG
저가로	저가/NNG+로/JKB
승부하는	승부/NNG+하/XSV+는/ETM
100엔숍	100/SN+엔/NNB+숍/NNG
등	등/NNB
할인매장만	할인/NNG+매장/NNG+만/JX
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
투자에	투자/NNG+에/JKB
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.14.4.1
5일 니혼게이자이신문에 따르면 100엔숍 업계 2위인 세리아는 올해 점포 150개를 추가로 내기로 했다.

5일	5/SN+일/NNB
니혼게이자이신문에	니혼게이자이신문/NNP+에/JKB
따르면	따르/VV+면/EC
100엔숍	100/SN+엔/NNB+숍/NNG
업계	업계/NNG
2위인	2/SN+위/NNB+이/VCP+ㄴ/ETM
세리아는	세리아/NNP+는/JX
올해	올해/NNG
점포	점포/NNG
150개를	150/SN+개/NNB+를/JKO
추가로	추가/NNG+로/JKB
내기로	내/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.14.4.2
지난해보다 20개 많은 것으로 점포 추가 개점으로 매출과 순이익이 각각 10% 늘어날 것으로 기대하고 있다.

지난해보다	지난해/NNG+보다/JKB
20개	20/SN+개/NNB
많은	많/VA+은/ETM
것으로	것/NNB+으로/JKB
점포	점포/NNG
추가	추가/NNG
개점으로	개점/NNG+으로/JKB
매출과	매출/NNG+과/JC
순이익이	순이익/NNG+이/JKS
각각	각각/MAG
10%	10/SN+%/SW
늘어날	늘어나/VV+ㄹ/ETM
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.14.5.1
대형 유통체인 다이에의 할인전문점인 빅에이는 도쿄(東京)를 포함한 수도권을 중심으로 약 200개인 매장을 연내에 300개로 늘리기로 했다.

대형	대형/NNG
유통체인	유통/NNG+체인/NNG
다이에의	다이에/NNP+의/JKG
할인전문점인	할인/NNG+전문점/NNG+이/VCP+ㄴ/ETM
빅에이는	빅에이/NNP+는/JX
도쿄(東京)를	도쿄/NNP+(/SS+東京/SH+)/SS+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
수도권을	수도/NNG+권/XSN+을/JKO
중심으로	중심/NNG+으로/JKB
약	약/MMA
200개인	200/SN+개/NNB+이/VCP+ㄴ/ETM
매장을	매장/NNG+을/JKO
연내에	연내/NNG+에/JKB
300개로	300/SN+개/NNB+로/JKB
늘리기로	늘리/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.14.5.2
매장 증설 규모로 보면 지난해보다 10배나 많은 것이다.

매장	매장/NNG
증설	증설/NNG
규모로	규모/NNG+로/JKB
보면	보/VV+면/EC
지난해보다	지난해/NNG+보다/JKB
10배나	10/SN+배/NNG+나/JX
많은	많/VA+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.14.5.3
회사 측은 앞으로 3년 동안 매년 100개씩 늘리겠다는 계획도 세웠다.

회사	회사/NNG
측은	측/NNB+은/JX
앞으로	앞/NNG+으로/JKB
3년	3/SN+년/NNB
동안	동안/NNG
매년	매년/MAG
100개씩	100/SN+개/NNB+씩/XSN
늘리겠다는	늘리/VV+겠/EP+다는/ETM
계획도	계획/NNG+도/JX
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.14.5.4
이 회사 미우라 히로시(三浦弘) 사장은 “지난해 가을부터 소비자들이 제품 값에 더욱 민감하게 반응하고 있다”고 말했다.

이	이/MMD
회사	회사/NNG
미우라	미우라/NNP
히로시(三浦弘)	히로시/NNP+(/SS+三浦弘/SH+)/SS
사장은	사장/NNG+은/JX
“지난해	“/SS+지난해/NNG
가을부터	가을/NNG+부터/JX
소비자들이	소비자/NNG+들/XSN+이/JKS
제품	제품/NNG
값에	값/NNG+에/JKB
더욱	더욱/MAG
민감하게	민감/NNG+하/XSA+게/EC
반응하고	반응/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.14.6.1
소비자가 지갑을 닫는 모습은 패션의류 분야에서도 피부로 느낄 수 있다.

소비자가	소비자/NNG+가/JKS
지갑을	지갑/NNG+을/JKO
닫는	닫/VV+는/ETM
모습은	모습/NNG+은/JX
패션의류	패션/NNG+의류/NNG
분야에서도	분야/NNG+에서/JKB+도/JX
피부로	피부/NNG+로/JKB
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.14.6.2
업계 2위인 시마무라는 ‘상품 평균가격 900엔(약 9700원) 이하’ 원칙을 지키면서 3월 매출이 전년 동기 대비 12% 증가했다.

업계	업계/NNG
2위인	2/SN+위/NNB+이/VCP+ㄴ/ETM
시마무라는	시마무라/NNP+는/JX
‘상품	‘/SS+상품/NNG
평균가격	평균/NNG+가격/NNG
900엔(약	900/SN+엔/NNB+(/SS+약/MMA
9700원)	9700/SN+원/NNB+)/SS
이하’	이하/NNG+’/SS
원칙을	원칙/NNG+을/JKO
지키면서	지키/VV+면서/EC
3월	3/SN+월/NNB
매출이	매출/NNG+이/JKS
전년	전년/NNG
동기	동기/NNG
대비	대비/NNG
12%	12/SN+%/SW
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.14.6.3
반면 2014, 2015년 잇달아 가격을 5∼10% 올린 업계 1위 유니클로는 백기를 들고 2월부터 일부 품목의 값을 인하했다.

반면	반면/NNG
2014,	2014/SN+,/SP
2015년	2015/SN+년/NNB
잇달아	잇달/VV+아/EC
가격을	가격/NNG+을/JKO
5∼10%	5/SN+∼/SO+10/SN+%/SW
올린	올리/VV+ㄴ/ETM
업계	업계/NNG
1위	1/SN+위/NNB
유니클로는	유니클로/NNP+는/JX
백기를	백기/NNG+를/JKO
들고	들/VV+고/EC
2월부터	2/SN+월/NNB+부터/JX
일부	일부/NNG
품목의	품목/NNG+의/JKG
값을	값/NNG+을/JKO
인하했다.	인하/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.14.6.4
시마무라는 내친김에 3년간 270개 매장을 개설할 방침이다.

시마무라는	시마무라/NNP+는/JX
내친김에	내친김/NNG+에/JKB
