# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.69
metadata : {}


# id : NWRW1800000037.69.1.1
1억이하 연대보증 빚 절반 탕감… 8만명 혜택

1억이하	1/SN+억/NR+이하/NNG
연대보증	연대/NNG+보증/NNG
빚	빚/NNG
절반	절반/NNG
탕감…	탕감/NNG+…/SE
8만명	8/SN+만/NR+명/NNB
혜택	혜택/NNG


# id : NWRW1800000037.69.2.1
5월 중순부터 행복기금에 조정신청… 1억 이상도 혜택 주는 방안 추진 7월부터 제2금융권 연대보증 폐지… 사업자-법인 보증은 제한적 허용 보증 빚 120만명 패자부활 길 열려

5월	5/SN+월/NNB
중순부터	중순/NNG+부터/JX
행복기금에	행복/NNG+기금/NNG+에/JKB
조정신청…	조정/NNG+신청/NNG+…/SE
1억	1/SN+억/NR
이상도	이상/NNG+도/JX
혜택	혜택/NNG
주는	주/VV+는/ETM
방안	방안/NNG
추진	추진/NNG
7월부터	7/SN+월/NNB+부터/JX
제2금융권	제/XPN+2/SN+금융/NNG+권/XSN
연대보증	연대/NNG+보증/NNG
폐지…	폐지/NNG+…/SE
사업자-법인	사업자/NNG+-/SO+법인/NNG
보증은	보증/NNG+은/JX
제한적	제한/NNG+적/XSN
허용	허용/NNG
보증	보증/NNG
빚	빚/NNG
120만명	120/SN+만/NR+명/NNB
패자부활	패자/NNG+부활/NNG
길	길/NNG
열려	열리/VV+어/EF


# id : NWRW1800000037.69.3.1
주 채무자가 6개월 이상 연체한 1억 원 이하의 빚을 떠안은 연대보증인이 국민행복기금에 채무조정을 신청하면 빚을 절반까지 탕감받을 수 있다.

주	주/MMA
채무자가	채무자/NNG+가/JKS
6개월	6/SN+개월/NNB
이상	이상/NNG
연체한	연체/NNG+하/XSV+ㄴ/ETM
1억	1/SN+억/NR
원	원/NNB
이하의	이하/NNG+의/JKG
빚을	빚/NNG+을/JKO
떠안은	떠안/VV+은/ETM
연대보증인이	연대/NNG+보증인/NNG+이/JKS
국민행복기금에	국민행복기금/NNP+에/JKB
채무조정을	채무/NNG+조정/NNG+을/JKO
신청하면	신청/NNG+하/XSV+면/EC
절반까지	절반/NNG+까지/JX
탕감받을	탕감/NNG+받/XSV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.69.3.2
신규 연대보증은 7월부터 폐지된다.

신규	신규/NNG
연대보증은	연대/NNG+보증/NNG+은/JX
7월부터	7/SN+월/NNB+부터/JX
폐지된다.	폐지/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.69.4.1
