# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.63
metadata : {}


# id : NWRW1800000026.63.1.1
동아건설, 12년만에 주택사업 재개

동아건설,	동아건설/NNP+,/SP
12년만에	12/SN+년/NNB+만/NNB+에/JKB
주택사업	주택/NNG+사업/NNG
재개	재개/NNG


# id : NWRW1800000026.63.2.1
동아건설이 12년 만에 주택사업을 다시 시작한다.

동아건설이	동아건설/NNP+이/JKS
12년	12/SN+년/NNB
만에	만/NNB+에/JKB
주택사업을	주택/NNG+사업/NNG+을/JKO
다시	다시/MAG
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.63.3.1
주택 사업 분야의 새로운 BI(Brand Identity)를 '더 프라임'(The PRIME)으로 정하고 오는 4월 분양하는 서울 용산 주상복합 아파트부터 사용한다고 22일 밝혔다.

주택	주택/NNG
사업	사업/NNG
분야의	분야/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
BI(Brand	BI/SL+(/SS+Brand/SL
Identity)를	Identity/SL+)/SS+를/JKO
'더	'/SS+더/NNP
프라임'(The	프라임/NNP+'/SS+(/SS+The/SL
PRIME)으로	PRIME/SL+)/SS+으로/JKB
정하고	정하/VV+고/EC
오는	오/VV+는/ETM
4월	4/SN+월/NNB
분양하는	분양/NNG+하/XSV+는/ETM
서울	서울/NNP
용산	용산/NNP
주상복합	주상/NNG+복합/NNG
아파트부터	아파트/NNG+부터/JX
사용한다고	사용/NNG+하/XSV+ㄴ다고/EC
22일	22/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.63.3.2
동아건설은 1998년 경기도 용인 수지에서 '솔레시티'라는 브랜드로 아파트를 처음이자 마지막으로 분양한 이후 주택사업을 중단했다.

동아건설은	동아건설/NNP+은/JX
1998년	1998/SN+년/NNB
경기도	경기도/NNP
용인	용인/NNP
수지에서	수지/NNP+에서/JKB
'솔레시티'라는	'/SS+솔레시티/NNP+'/SS+이/VCP+라는/ETM
브랜드로	브랜드/NNG+로/JKB
아파트를	아파트/NNG+를/JKO
처음이자	처음/NNG+이/VCP+자/EC
마지막으로	마지막/NNG+으로/JKB
분양한	분양/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
주택사업을	주택/NNG+사업/NNG+을/JKO
중단했다.	중단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.63.4.1
동아건설은 22일 새 주택 브랜드 '더 프라임'을 발표하고 주택 사업 재개를 선언했다.

동아건설은	동아건설/NNP+은/JX
22일	22/SN+일/NNB
새	새/MMA
주택	주택/NNG
브랜드	브랜드/NNG
'더	'/SS+더/NNP
프라임'을	프라임/NNP+'/SS+을/JKO
발표하고	발표/NNG+하/XSV+고/EC
사업	사업/NNG
재개를	재개/NNG+를/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.63.4.2
'더 프라임'은 모기업 프라임그룹 이름의 '최상'이라는 뜻과 우리말의 '더욱'을 합친 것이다.

'더	'/SS+더/NNP
프라임'은	프라임/NNP+'/SS+은/JX
모기업	모기업/NNG
프라임그룹	프라임그룹/NNP
이름의	이름/NNG+의/JKG
'최상'이라는	'/SS+최상/NNG+'/SS+이/VCP+라는/ETM
뜻과	뜻/NNG+과/JKB
우리말의	우리말/NNG+의/JKG
'더욱'을	'/SS+더욱/MAG+'/SS+을/JKO
합친	합치/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.63.4.3
새 브랜드가 처음 적용되는 '용산 더 프라임'은 용산구 원효로 1가 일대에 들어서며 지상 38층 규모 아파트 3개 동과 오피스빌딩 1개 동 등 총 4개 동으로 건립되고 모두 559가구로 구성된다.

새	새/MMA
브랜드가	브랜드/NNG+가/JKS
처음	처음/NNG
적용되는	적용/NNG+되/XSV+는/ETM
'용산	'/SS+용산/NNP
더	더/NNP
프라임'은	프라임/NNP+'/SS+은/JX
용산구	용산구/NNP
원효로	원효로/NNP
1가	1가/NNG
일대에	일대/NNG+에/JKB
들어서며	들어서/VV+며/EC
지상	지상/NNG
38층	38/SN+층/NNG
규모	규모/NNG
아파트	아파트/NNG
3개	3/SN+개/NNB
동과	동/NNG+과/JC
오피스빌딩	오피스/NNG+빌딩/NNG
1개	1/SN+개/NNB
동	동/NNB
등	등/NNB
총	총/MMA
4개	4/SN+개/NNB
동으로	동/NNB+으로/JKB
건립되고	건립/NNG+되/XSV+고/EC
모두	모두/MAG
559가구로	559/SN+가구/NNG+로/JKB
구성된다.	구성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.63.5.1
동아건설은 2001년 부도 처리됐으나 2008년 프라임그룹에 인수됐다.

동아건설은	동아건설/NNP+은/JX
2001년	2001/SN+년/NNB
부도	부도/NNG
처리됐으나	처리/NNG+되/XSV+었/EP+으나/EC
2008년	2008/SN+년/NNB
프라임그룹에	프라임그룹/NNP+에/JKB
인수됐다.	인수/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.63.5.2
박영식 동아건설 사장은 "공공공사 위주의 사업구조에서 벗어나 더 프라임 브랜드로 민간 주택사업 분야에도 적극적으로 진출할 것"이라고 말했다.

박영식	박영식/NNP
동아건설	동아건설/NNP
사장은	사장/NNG+은/JX
"공공공사	"/SS+공공/NNG+공사/NNG
위주의	위주/NNG+의/JKG
사업구조에서	사업/NNG+구조/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
더	더/NNP
프라임	프라임/NNP
브랜드로	브랜드/NNG+로/JKB
민간	민간/NNG
주택사업	주택/NNG+사업/NNG
분야에도	분야/NNG+에/JKB+도/JX
적극적으로	적극/NNG+적/XSN+으로/JKB
진출할	진출/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


