# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.8
metadata : {}


# id : NWRW1800000028.8.1.1
“요한복음은 2천년전 불온집단의 신앙고백”

“요한복음은	“/SS+요한복음/NNP+은/JX
2천년전	2/SN+천/NR+년/NNB+전/NNG
불온집단의	불온/NNG+집단/NNG+의/JKG
신앙고백”	신앙/NNG+고백/NNG+”/SS


# id : NWRW1800000028.8.2.1
“태초에 말씀이 있었다.”

“태초에	“/SS+태초/NNG+에/JKB
말씀이	말씀/NNG+이/JKS
있었다.”	있/VA+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000028.8.2.2
이 무미건조한 세 마디 선언으로 시작하는 <요한복음>은 예수의 행적을 기록한 신약성서의 ‘4대 복음서’ 가운데 가장 이질적인 문서에 속한다.

이	이/MMD
무미건조한	무미건조/NNG+하/XSA+ㄴ/ETM
세	세/MMN
마디	마디/NNG
선언으로	선언/NNG+으로/JKB
시작하는	시작/NNG+하/XSV+는/ETM
<요한복음>은	</SS+요한복음/NNP+>/SS+은/JX
예수의	예수/NNP+의/JKG
행적을	행적/NNG+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
신약성서의	신약/NNG+성서/NNG+의/JKG
‘4대	‘/SS+4/SN+대/NNG
복음서’	복음서/NNG+’/SS
가운데	가운데/NNG
가장	가장/MAG
이질적인	이질/NNG+적/XSN+이/VCP+ㄴ/ETM
문서에	문서/NNG+에/JKB
속한다.	속하/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.8.2.3
비의적 상징과 알레고리들이 가득할 뿐 아니라, 철학적 사유의 심원함에서 어느 복음서도 <요한복음>에 견줄 만한 수준엔 이르지 못한 탓이다.

비의적	비의/NNG+적/XSN
상징과	상징/NNG+과/JC
알레고리들이	알레고리/NNG+들/XSN+이/JKS
가득할	가득/MAG+하/XSA+ㄹ/ETM
뿐	뿐/NNB
아니라,	아니/VCN+라/EC+,/SP
철학적	철학/NNG+적/XSN
사유의	사유/NNG+의/JKG
심원함에서	심원하/VA+ㅁ/ETN+에서/JKB
어느	어느/MMD
복음서도	복음서/NNG+도/JX
<요한복음>에	</SS+요한복음/NNP+>/SS+에/JKB
견줄	견주/VV+ㄹ/ETM
