# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.211
metadata : {}


# id : NWRW1800000052.211.1.1
“진범 제보에 되레 경찰이 증거 요구”

“진범	“/SS+진범/NNG
제보에	제보/NNG+에/JKB
되레	되레/MAG
경찰이	경찰/NNG+이/JKS
증거	증거/NNG
요구”	요구/NNG+”/SS


# id : NWRW1800000052.211.2.1
‘나라슈퍼 3인조’ 재심 청구 3차 심문

‘나라슈퍼	‘/SS+나라슈퍼/NNP
3인조’	3/SN+인/NNG+조/NNG+’/SS
재심	재심/NNG
청구	청구/NNG
3차	3/SN+차/NNB
심문	심문/NNG


# id : NWRW1800000052.211.3.1
바뀐 진실 첫 제보자, 당시 상황 증언

바뀐	바뀌/VV+ㄴ/ETM
진실	진실/NNG
첫	첫/MMN
제보자,	제보자/NNG+,/SP
당시	당시/NNG
상황	상황/NNG
증언	증언/NNG


# id : NWRW1800000052.211.4.1
경찰도 출석 “현상금 노린 제보 판단”

경찰도	경찰/NNG+도/JX
출석	출석/NNG
“현상금	“/SS+현상금/NNG
노린	노리/VV+ㄴ/ETM
제보	제보/NNG
판단”	판단/NNG+”/SS


# id : NWRW1800000052.211.5.1
전북 완주군 삼례 ‘나라슈퍼 3인조 강도치사 사건’ 재심 여부를 결정하기 위한 법정에 이 사건의 뒤바뀐 진실을 경찰에 처음 알렸던 제보자가 증인으로 나와 당시 상황을 증언했다.

전북	전북/NNP
완주군	완주군/NNP
삼례	삼례/NNP
‘나라슈퍼	‘/SS+나라슈퍼/NNP
3인조	3/SN+인/NNG+조/NNG
강도치사	강도/NNG+치사/NNG
사건’	사건/NNG+’/SS
재심	재심/NNG
여부를	여부/NNG+를/JKO
결정하기	결정/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
법정에	법정/NNG+에/JKB
이	이/MMD
사건의	사건/NNG+의/JKG
뒤바뀐	뒤바뀌/VV+ㄴ/ETM
진실을	진실/NNG+을/JKO
경찰에	경찰/NNG+에/JKB
처음	처음/NNG
알렸던	알리/VV+었/EP+던/ETM
제보자가	제보자/NNG+가/JKS
증인으로	증인/NNG+으로/JKB
나와	나오/VV+아/EC
당시	당시/NNG
상황을	상황/NNG+을/JKO
증언했다.	증언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.211.6.1
3일 오전 10시 전주지법 1호 법정에서 열린 이 사건의 재심 청구 3차 심문에 출석한 이아무개(36)씨는 “‘삼례 3인조’는 이 사건의 진범이 아니다.

3일	3/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
전주지법	전주지법/NNP
1호	1/SN+호/NNB
법정에서	법정/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
이	이/MMD
사건의	사건/NNG+의/JKG
재심	재심/NNG
청구	청구/NNG
3차	3/SN+차/NNB
심문에	심문/NNG+에/JKB
