# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.128
metadata : {}


# id : NWRW1800000022.128.1.1
[조선데스크] 뒤바뀐 벼랑 끝 전술

[조선데스크]	[/SS+조선/NNP+데스크/NNG+]/SS
뒤바뀐	뒤바뀌/VV+ㄴ/ETM
벼랑	벼랑/NNG
끝	끝/NNG
전술	전술/NNG


# id : NWRW1800000022.128.2.1
옛날 속담에 쥐도 코너에 몰리면 고양이를 문다는 말이 있다.

옛날	옛날/NNG
속담에	속담/NNG+에/JKB
쥐도	쥐/NNG+도/JX
코너에	코너/NNG+에/JKB
몰리면	몰리/VV+면/EC
고양이를	고양이/NNG+를/JKO
문다는	물/VV+ㄴ다는/ETM
말이	말/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.128.2.2
하지만 쥐가 고양이를 문다고 해서 상황은 달라질 수 없다.

하지만	하지만/MAJ
쥐가	쥐/NNG+가/JKS
고양이를	고양이/NNG+를/JKO
문다고	물/VV+ㄴ다고/EC
해서	하/VV+아서/EC
상황은	상황/NNG+은/JX
달라질	달라지/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000022.128.2.3
고양이와 쥐는 상대가 되지 않기 때문이다.

고양이와	고양이/NNG+와/JC
쥐는	쥐/NNG+는/JX
상대가	상대/NNG+가/JKC
되지	되/VV+지/EC
않기	않/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.128.2.4
벼랑 끝 전술이라는 것은 힘이 있어 상대방을 제압할 때 가능한 전술이다.

벼랑	벼랑/NNG
끝	끝/NNG
전술이라는	전술/NNG+이/VCP+라는/ETM
것은	것/NNB+은/JX
힘이	힘/NNG+이/JKS
있어	있/VA+어/EC
상대방을	상대방/NNG+을/JKO
제압할	제압/NNG+하/XSV+ㄹ/ETM
때	때/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
전술이다.	전술/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.128.3.1
요즘 북한의 미사일 발사를 보면 마치 북한이 고양이고 국제사회가 쥐가 된 느낌이다.

요즘	요즘/NNG
북한의	북한/NNP+의/JKG
미사일	미사일/NNG
발사를	발사/NNG+를/JKO
보면	보/VV+면/EC
마치	마치/MAG
북한이	북한/NNP+이/JKS
고양이고	고양이/NNG+이/VCP+고/EC
국제사회가	국제/NNG+사회/NNG+가/JKS
쥐가	쥐/NNG+가/JKC
된	되/VV+ㄴ/ETM
느낌이다.	느낌/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.128.3.2
세계에서 마지막 두 번째의 한심한 경제력에 전깃불은 고사하고 인민들은 하루 두 끼 풀죽도 먹기 어려운 힘없는 나라가 벼랑 끝 전술을 쓴다는 것은 여간 코미디가 아니다.

세계에서	세계/NNG+에서/JKB
마지막	마지막/NNG
두	두/MMN
번째의	번/NNB+째/XSN+의/JKG
한심한	한심하/VA+ㄴ/ETM
경제력에	경제력/NNG+에/JKB
전깃불은	전깃불/NNG+은/JX
고사하고	고사하/VV+고/EC
인민들은	인민/NNG+들/XSN+은/JX
하루	하루/NNG
끼	끼/NNG
풀죽도	풀죽/NNG+도/JX
먹기	먹/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
힘없는	힘없/VA+는/ETM
나라가	나라/NNG+가/JKS
벼랑	벼랑/NNG
끝	끝/NNG
전술을	전술/NNG+을/JKO
쓴다는	쓰/VV+ㄴ다는/ETM
것은	것/NNB+은/JX
여간	여간/MAG
코미디가	코미디/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000022.128.4.1
1994년 제네바 핵합의가 이뤄질 수 있었던 것은 당시 클린턴 전 대통령의 영변 핵기지 폭격 불사 의지가 있었기 때문이다.

1994년	1994/SN+년/NNB
제네바	제네바/NNP
핵합의가	핵/NNG+합의/NNG+가/JKS
이뤄질	이뤄지/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
것은	것/NNB+은/JX
당시	당시/NNG
클린턴	클린턴/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
영변	영변/NNP
핵기지	핵/NNG+기지/NNG
폭격	폭격/NNG
불사	불사/NNG
의지가	의지/NNG+가/JKS
있었기	있/VA+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.128.4.2
핵기지가 폭파되고 북한의 반격 기미가 있을 경우 선제공격한다면 북한은 미국의 화력을 막아낼 방법이 없었다.

핵기지가	핵/NNG+기지/NNG+가/JKS
폭파되고	폭파/NNG+되/XSV+고/EC
북한의	북한/NNP+의/JKG
반격	반격/NNG
기미가	기미/NNG+가/JKS
있을	있/VA+을/ETM
경우	경우/NNG
선제공격한다면	선제공격/NNG+하/XSV+ㄴ다면/EC
북한은	북한/NNP+은/JX
미국의	미국/NNP+의/JKG
화력을	화력/NNG+을/JKO
막아낼	막/VV+아/EC+내/VX+ㄹ/ETM
방법이	방법/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.128.4.3
현실을 정확하게 파악한 김정일은 무조건 미국에 굴복하고 핵동결에 합의했다.

현실을	현실/NNG+을/JKO
정확하게	정확/NNG+하/XSA+게/EC
파악한	파악/NNG+하/XSV+ㄴ/ETM
김정일은	김정일/NNP+은/JX
무조건	무/XPN+조건/NNG
미국에	미국/NNP+에/JKB
굴복하고	굴복/NNG+하/XSV+고/EC
핵동결에	핵/NNG+동결/NNG+에/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.128.4.4
당시 영변의 핵과학자들은 이 소식을 듣고 "우리가 항복했다"며 울분을 감추지 못했다고 한다.

당시	당시/NNG
영변의	영변/NNP+의/JKG
핵과학자들은	핵/NNG+과학자/NNG+들/XSN+은/JX
이	이/MMD
소식을	소식/NNG+을/JKO
듣고	듣/VV+고/EC
"우리가	"/SS+우리/NP+가/JKS
항복했다"며	항복/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
울분을	울분/NNG+을/JKO
감추지	감추/VV+지/EC
못했다고	못하/VX+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.128.5.1
그동안 북한은 미국과 핵합의를 한 이후 뒤에서 꾸준하게 핵과 미사일을 개발해왔다.

그동안	그동안/NNG
북한은	북한/NNP+은/JX
미국과	미국/NNP+과/JKB
핵합의를	핵/NNG+합의/NNG+를/JKO
한	하/VV+ㄴ/ETM
이후	이후/NNG
뒤에서	뒤/NNG+에서/JKB
꾸준하게	꾸준하/VA+게/EC
핵과	핵/NNG+과/JC
미사일을	미사일/NNG+을/JKO
개발해왔다.	개발/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.128.5.2
국제사회의 환경이 자신에게 유리하도록 변화될 때를 기다린 것이다.

국제사회의	국제/NNG+사회/NNG+의/JKG
환경이	환경/NNG+이/JKS
