# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.188
metadata : {}


# id : NWRW1800000024.188.1.1
‘전세기 띄워’ 베트남 기업인들 제주로 제주로

‘전세기	‘/SS+전세기/NNG
띄워’	띄우/VV+어/EC+’/SS
베트남	베트남/NNP
기업인들	기업인/NNG+들/XSN
제주로	제주/NNP+로/JKB


# id : NWRW1800000024.188.2.1
“베트남이 고속성장을 이루고 있는 데에는 한국 기업의 공이 크다.

“베트남이	“/SS+베트남/NNP+이/JKS
고속성장을	고속/NNG+성장/NNG+을/JKO
이루고	이루/VV+고/EC
있는	있/VX+는/ETM
데에는	데/NNB+에/JKB+는/JX
한국	한국/NNP
기업의	기업/NNG+의/JKG
공이	공/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000024.188.2.2
우리가 무엇을 해주면 좋을지 말해 달라.”

우리가	우리/NP+가/JKS
무엇을	무엇/NP+을/JKO
해주면	하/VV+아/EC+주/VX+면/EC
좋을지	좋/VA+을지/EF
말해	말/NNG+하/XSV+아/EC
달라.”	달/VX+라/EF+./SF+”/SS


# id : NWRW1800000024.188.3.1
지난 31일 ‘한-아세안 시이오(CEO) 서밋’이 열린 제주 국제컨벤션센터 4층 회의실.

지난	지나/VV+ㄴ/ETM
31일	31/SN+일/NNB
‘한-아세안	‘/SS+한/NNP+-/SO+아세안/NNP
시이오(CEO)	시이오/NNG+(/SS+CEO/SL+)/SS
서밋’이	서밋/NNG+’/SS+이/JKS
열린	열리/VV+ㄴ/ETM
제주	제주/NNP
국제컨벤션센터	국제컨벤션센터/NNP
4층	4/SN+층/NNG
회의실.	회의실/NNG+./SF


# id : NWRW1800000024.188.3.2
응우옌떤중 베트남 총리는 박삼구 금호아시아나그룹 회장 등 한국 기업인 10명과 연 간담회에서 한국에 대한 ‘각별한’ 애정을 드러냈다.

응우옌떤중	응우옌떤중/NNP
베트남	베트남/NNP
총리는	총리/NNG+는/JX
박삼구	박삼구/NNP
금호아시아나그룹	금호아시아나그룹/NNP
회장	회장/NNG
등	등/NNB
한국	한국/NNP
기업인	기업인/NNG
10명과	10/SN+명/NNB+과/JKB
연	열/VV+ㄴ/ETM
간담회에서	간담회/NNG+에서/JKB
한국에	한국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
‘각별한’	‘/SS+각별/NNG+하/XSA+ㄴ/ETM+’/SS
애정을	애정/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.188.4.1
기다렸다는 듯이, 기업인들도 민원을 쏟아냈다.

기다렸다는	기다리/VV+었/EP+다는/ETM
듯이,	듯이/NNB+,/SP
기업인들도	기업인/NNG+들/XSN+도/JX
민원을	민원/NNG+을/JKO
쏟아냈다.	쏟/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.188.4.2
하나은행 최종석 부행장은 “베트남에선 한 해 2곳만 외국계 은행의 지점 설립을 인가해주는데, 더 늘려 달라”고 말했다.

하나은행	하나은행/NNP
최종석	최종석/NNP
부행장은	부행장/NNG+은/JX
“베트남에선	“/SS+베트남/NNP+에서/JKB+ㄴ/JX
한	한/MMN
해	해/NNB
2곳만	2/SN+곳/NNG+만/JX
외국계	외국/NNG+계/XSN
은행의	은행/NNG+의/JKG
지점	지점/NNG
설립을	설립/NNG+을/JKO
인가해주는데,	인가/NNG+하/XSV+아/EC+주/VX+는데/EC+,/SP
