# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.51
metadata : {}


# id : NWRW1800000041.51.1.1
‘터키의 이한열’ 끝내 사망… 反정부시위 다시 불길

‘터키의	‘/SS+터키/NNP+의/JKG
이한열’	이한열/NNP+’/SS
끝내	끝내/MAG
사망…	사망/NNG+…/SE
反정부시위	反/SH+정부/NNG+시위/NNG
다시	다시/MAG
불길	불길/NNG


# id : NWRW1800000041.51.2.1
최루탄 머리 맞고 9개월 혼수상태… ‘터키 민주화시위 상징’으로 떠올라

최루탄	최루탄/NNG
머리	머리/NNG
맞고	맞/VV+고/EC
9개월	9/SN+개월/NNB
혼수상태…	혼수상태/NNG+…/SE
‘터키	‘/SS+터키/NNP
민주화시위	민주/NNG+화/XSN+시위/NNG
상징’으로	상징/NNG+’/SS+으로/JKB
떠올라	떠오르/VV+아/EF


# id : NWRW1800000041.51.3.1
“파시스트 정부, 살인자 에르도안(터키 총리)!”

“파시스트	“/SS+파시스트/NNG
정부,	정부/NNG+,/SP
살인자	살인자/NNG
에르도안(터키	에르도안/NNP+(/SS+터키/NNP
총리)!”	총리/NNG+)/SS+!/SF+”/SS


# id : NWRW1800000041.51.4.1
11일 오후 터키 이스탄불 시민들이 붉은 천으로 감싼 관 하나를 어깨에 짊어지고 거리로 나섰다.

11일	11/SN+일/NNB
오후	오후/NNG
터키	터키/NNP
이스탄불	이스탄불/NNP
시민들이	시민/NNG+들/XSN+이/JKS
붉은	붉/VA+은/ETM
천으로	천/NNG+으로/JKB
감싼	감싸/VV+ㄴ/ETM
관	관/NNG
하나를	하나/NR+를/JKO
어깨에	어깨/NNG+에/JKB
짊어지고	짊어지/VV+고/EC
거리로	거리/NNG+로/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.51.4.2
차가운 비를 맞으며 15세 소년의 마지막 가는 길을 배웅하는 시민들의 슬픔은 분노로 변해 레제프 타이이프 에르도안 터키 총리에게로 향했다.

차가운	차갑/VA+ㄴ/ETM
비를	비/NNG+를/JKO
맞으며	맞/VV+으며/EC
15세	15/SN+세/NNB
소년의	소년/NNG+의/JKG
마지막	마지막/NNG
가는	가/VV+는/ETM
길을	길/NNG+을/JKO
배웅하는	배웅/NNG+하/XSV+는/ETM
시민들의	시민/NNG+들/XSN+의/JKG
슬픔은	슬픔/NNG+은/JX
분노로	분노/NNG+로/JKB
변해	변하/VV+아/EC
레제프	레제프/NNP
타이이프	타이이프/NNP
에르도안	에르도안/NNP
터키	터키/NNP
총리에게로	총리/NNG+에게/JKB+로/JKB
향했다.	향하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.51.4.3
