# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.208
metadata : {}


# id : NWRW1800000049.208.1.1
대낮 버스로 1시간 ‘공포의 납치’ 10대 여학생 성폭행한 뒤 끌고가

대낮	대낮/NNG
버스로	버스/NNG+로/JKB
1시간	1/SN+시간/NNB
‘공포의	‘/SS+공포/NNG+의/JKG
납치’	납치/NNG+’/SS
10대	10/SN+대/NNB
여학생	여학생/NNG
성폭행한	성폭행/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
끌고가	끌/VV+고/EC+가/VV+아/EF


# id : NWRW1800000049.208.2.1
20대男, 흉기위협… 서울서 남양주까지… 피해자, 운전기사에 도움 요청해 탈출 범인, 승용차로 도주… 속초서 붙잡혀

20대男,	20/SN+대/NNB+男/SH+,/SP
흉기위협…	흉기/NNG+위협/NNG+…/SE
서울서	서울/NNP+서/JKB
남양주까지…	남양주/NNP+까지/JX+…/SE
피해자,	피해자/NNG+,/SP
운전기사에	운전기사/NNG+에/JKB
도움	도움/NNG
요청해	요청/NNG+하/XSV+아/EC
탈출	탈출/NNG
범인,	범인/NNG+,/SP
승용차로	승용차/NNG+로/JKB
도주…	도주/NNG+…/SE
속초서	속초/NNP+서/JKB
붙잡혀	붙잡히/VV+어/EF


# id : NWRW1800000049.208.3.1
서울 도심 주택가에서 귀가하던 10대 여학생을 흉기로 위협해 성폭행한 뒤 1시간가량 끌고 다닌 20대가 경찰에 붙잡혔다.

서울	서울/NNP
도심	도심/NNG
주택가에서	주택가/NNG+에서/JKB
귀가하던	귀가/NNG+하/XSV+던/ETM
10대	10/SN+대/NNB
여학생을	여학생/NNG+을/JKO
흉기로	흉기/NNG+로/JKB
위협해	위협/NNG+하/XSV+아/EC
성폭행한	성폭행/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
1시간가량	1/SN+시간/NNB+가량/XSN
끌고	끌/VV+고/EC
다닌	다니/VV+ㄴ/ETM
20대가	20/SN+대/NNB+가/JKS
경찰에	경찰/NNG+에/JKB
붙잡혔다.	붙잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.208.4.1
경기 남양주경찰서는 성폭행 및 납치감금 혐의로 최모 씨(24·무직)를 검거해 조사 중이라고 4일 밝혔다.

경기	경기/NNP
남양주경찰서는	남양주경찰서/NNP+는/JX
성폭행	성폭행/NNG
및	및/MAG
납치감금	납치/NNG+감금/NNG
혐의로	혐의/NNG+로/JKB
최모	최/NNP+모/NP
씨(24·무직)를	씨/NNB+(/SS+24/SN+·/SP+무직/NNG+)/SS+를/JKO
검거해	검거/NNG+하/XSV+아/EC
조사	조사/NNG
중이라고	중/NNB+이/VCP+라고/EC
4일	4/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.208.4.2
최 씨는 2일 오후 3시경 서울 중랑구의 한 주택가에서 귀가하던 10대 여학생을 뒤따라가 흉기로 위협해 집 근처 건물 계단에서 성폭행했다.

최	최/NNP
씨는	씨/NNB+는/JX
2일	2/SN+일/NNB
오후	오후/NNG
3시경	3/SN+시/NNB+경/XSN
서울	서울/NNP
중랑구의	중랑구/NNP+의/JKG
한	한/MMN
주택가에서	주택가/NNG+에서/JKB
귀가하던	귀가/NNG+하/XSV+던/ETM
10대	10/SN+대/NNB
여학생을	여학생/NNG+을/JKO
뒤따라가	뒤따라가/VV+아/EC
흉기로	흉기/NNG+로/JKB
위협해	위협/NNG+하/XSV+아/EC
집	집/NNG
근처	근처/NNG
건물	건물/NNG
계단에서	계단/NNG+에서/JKB
성폭행했다.	성폭행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.208.4.3
최 씨는 이어 여학생을 위협해 남양주로 향하는 광역버스에 태운 뒤 남양주시 화도읍까지 이동했다.

최	최/NNP
씨는	씨/NNB+는/JX
이어	이어/MAG
여학생을	여학생/NNG+을/JKO
위협해	위협/NNG+하/XSV+아/EC
남양주로	남양주/NNP+로/JKB
향하는	향하/VV+는/ETM
광역버스에	광역/NNG+버스/NNG+에/JKB
태운	태우/VV+ㄴ/ETM
뒤	뒤/NNG
남양주시	남양주시/NNP
화도읍까지	화도읍/NNP+까지/JX
이동했다.	이동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.208.5.1
최 씨가 자신의 집 근처 정류장에서 여학생을 데리고 내리려는 순간 여학생은 최 씨를 뿌리치고 버스운전사에게 달려가 “살려주세요”라고 소리치며 도움을 요청해 최 씨의 손아귀에서 벗어났다.

최	최/NNP
씨가	씨/NNB+가/JKS
자신의	자신/NNG+의/JKG
집	집/NNG
근처	근처/NNG
정류장에서	정류장/NNG+에서/JKB
여학생을	여학생/NNG+을/JKO
데리고	데리/VV+고/EC
내리려는	내리/VV+려는/ETM
순간	순간/NNG
여학생은	여학생/NNG+은/JX
씨를	씨/NNB+를/JKO
뿌리치고	뿌리치/VV+고/EC
버스운전사에게	버스/NNG+운전사/NNG+에게/JKB
달려가	달려가/VV+아/EC
“살려주세요”라고	“/SS+살리/VV+어/EC+주/VX+시/EP+어요/EF+”/SS+라고/JKQ
소리치며	소리치/VV+며/EC
도움을	도움/NNG+을/JKO
요청해	요청/NNG+하/XSV+아/EC
씨의	씨/NNB+의/JKG
손아귀에서	손아귀/NNG+에서/JKB
벗어났다.	벗어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.208.5.2
이때 최 씨는 그대로 버스에서 내려 달아난 뒤 화도읍 집에서 아버지의 승용차를 끌고 강원 속초까지 도주했다.

이때	이때/NNG
최	최/NNP
씨는	씨/NNB+는/JX
그대로	그대로/MAG
버스에서	버스/NNG+에서/JKB
내려	내리/VV+어/EC
달아난	달아나/VV+ㄴ/ETM
뒤	뒤/NNG
화도읍	화도읍/NNP
집에서	집/NNG+에서/JKB
아버지의	아버지/NNG+의/JKG
승용차를	승용차/NNG+를/JKO
끌고	끌/VV+고/EC
강원	강원/NNP
속초까지	속초/NNP+까지/JX
도주했다.	도주/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.208.6.1
신고를 받고 출동한 경찰은 최 씨가 서울에서 남양주로 향하는 버스 폐쇄회로(CC)TV와 버스에서 내려 도주하는 장면이 담긴 주변 CCTV 영상을 통해 최 씨를 특정하고 검거에 나섰다.

신고를	신고/NNG+를/JKO
받고	받/VV+고/EC
출동한	출동/NNG+하/XSV+ㄴ/ETM
경찰은	경찰/NNG+은/JX
최	최/NNP
씨가	씨/NNB+가/JKS
서울에서	서울/NNP+에서/JKB
남양주로	남양주/NNP+로/JKB
향하는	향하/VV+는/ETM
버스	버스/NNG
폐쇄회로(CC)TV와	폐쇄/NNG+회로/NNG+(/SS+CC/SL+)/SS+TV/SL+와/JC
버스에서	버스/NNG+에서/JKB
내려	내리/VV+어/EC
도주하는	도주/NNG+하/XSV+는/ETM
장면이	장면/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
주변	주변/NNG
CCTV	CCTV/SL
영상을	영상/NNG+을/JKO
통해	통하/VV+아/EC
씨를	씨/NNB+를/JKO
특정하고	특정/NNG+하/XSV+고/EC
검거에	검거/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.208.6.2
공조수사 의뢰를 받은 강원지방경찰청도 최 씨를 뒤쫓았다.

공조수사	공조/NNG+수사/NNG
의뢰를	의뢰/NNG+를/JKO
받은	받/VV+은/ETM
강원지방경찰청도	강원지방경찰청/NNP+도/JX
최	최/NNP
씨를	씨/NNB+를/JKO
뒤쫓았다.	뒤쫓/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.208.6.3
집중 추적을 받던 최 씨는 3일 오후 5시 40분경 속초의 한 도로에서 중앙선을 넘어 반대편 차선에서 신호를 기다리던 승용차와 정면충돌한 뒤 차에서 내려 뛰어 도주하다 경찰에 검거됐다.

집중	집중/NNG
추적을	추적/NNG+을/JKO
받던	받/VV+던/ETM
최	최/NNP
씨는	씨/NNB+는/JX
3일	3/SN+일/NNB
오후	오후/NNG
5시	5/SN+시/NNB
40분경	40/SN+분/NNB+경/XSN
속초의	속초/NNP+의/JKG
한	한/MMN
도로에서	도로/NNG+에서/JKB
중앙선을	중앙선/NNG+을/JKO
넘어	넘/VV+어/EC
반대편	반대편/NNG
차선에서	차선/NNG+에서/JKB
신호를	신호/NNG+를/JKO
기다리던	기다리/VV+던/ETM
승용차와	승용차/NNG+와/JKB
정면충돌한	정면충돌/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
차에서	차/NNG+에서/JKB
내려	내리/VV+어/EC
뛰어	뛰/VV+어/EC
도주하다	도주/NNG+하/XSV+다/EC
경찰에	경찰/NNG+에/JKB
검거됐다.	검거/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.208.7.1
경찰은 최 씨가 범행 현장과는 특별한 연고가 없는 점으로 미뤄 범행을 결심하고 미리 흉기를 준비한 뒤 무작위로 범행대상을 물색한 것으로 보고 있다.

경찰은	경찰/NNG+은/JX
최	최/NNP
씨가	씨/NNB+가/JKS
범행	범행/NNG
현장과는	현장/NNG+과/JKB+는/JX
특별한	특별/NNG+하/XSA+ㄴ/ETM
연고가	연고/NNG+가/JKS
없는	없/VA+는/ETM
점으로	점/NNG+으로/JKB
미뤄	미루/VV+어/EC
범행을	범행/NNG+을/JKO
결심하고	결심/NNG+하/XSV+고/EC
미리	미리/MAG
흉기를	흉기/NNG+를/JKO
준비한	준비/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
무작위로	무/XPN+작위/NNG+로/JKB
범행대상을	범행/NNG+대상/NNG+을/JKO
물색한	물색/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.208.8.1
현재 피해 여학생은 경기지역의 한 상담센터에서 치료를 받고 있다.

현재	현재/MAG
피해	피해/NNG
여학생은	여학생/NNG+은/JX
경기지역의	경기지역/NNP+의/JKG
한	한/MMN
상담센터에서	상담/NNG+센터/NNG+에서/JKB
치료를	치료/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.208.8.2
경찰은 최 씨를 상대로 범행 동기와 경위 등에 대한 조사를 마치는 대로 구속영장을 신청할 방침이다.

경찰은	경찰/NNG+은/JX
최	최/NNP
씨를	씨/NNB+를/JKO
상대로	상대/NNG+로/JKB
범행	범행/NNG
동기와	동기/NNG+와/JC
경위	경위/NNG
등에	등/NNB+에/JKB
