# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.230
metadata : {}


# id : NWRW1800000056.230.1.1
검찰, 전두환 회고록 인세까지 회수 나섰다

검찰,	검찰/NNG+,/SP
전두환	전두환/NNP
회고록	회고록/NNG
인세까지	인세/NNG+까지/JX
회수	회수/NNG
나섰다	나서/VV+었/EP+다/EF


# id : NWRW1800000056.230.2.1
5·18 관련 왜곡된 내용 담은 ‘혼돈의 시대’

5·18	5/SN+·/SP+18/SN
관련	관련/NNG
왜곡된	왜곡/NNG+되/XSV+ㄴ/ETM
내용	내용/NNG
담은	담/VV+은/ETM
‘혼돈의	‘/SS+혼돈/NNG+의/JKG
시대’	시대/NNG+’/SS


# id : NWRW1800000056.230.3.1
법원은 이미 출판 및 배포금지 신청 받아들여

법원은	법원/NNG+은/JX
이미	이미/MAG
출판	출판/NNG
및	및/MAG
배포금지	배포/NNG+금지/NNG
신청	신청/NNG
받아들여	받아들이/VV+어/EF


# id : NWRW1800000056.230.4.1
압류·추심명령 받아들여지면 판매분 인세 회수

압류·추심명령	압류/NNG+·/SP+추심/NNG+명령/NNG
받아들여지면	받아들이/VV+어/EC+지/VX+면/EC
판매분	판매/NNG+분/XSN
인세	인세/NNG
회수	회수/NNG


# id : NWRW1800000056.230.5.1
검찰이 전두환 전 대통령 미납 추징금을 환수하기 최근 펴낸 회고록의 인세 확보에 나섰다.

검찰이	검찰/NNG+이/JKS
전두환	전두환/NNP
전	전/MMD
대통령	대통령/NNG
미납	미납/NNG
추징금을	추징금/NNG+을/JKO
환수하기	환수/NNG+하/XSV+기/ETN
최근	최근/MAG
펴낸	펴내/VV+ㄴ/ETM
회고록의	회고록/NNG+의/JKG
인세	인세/NNG
확보에	확보/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.230.6.1
서울중앙지검 외사부(부장 강지식)은 11일 전 전 대통령 회고록 발간에 따라 출판사에서 받는 인세를 압류하기 위해 전날 법원에 압류 및 추심명령을 신청을 접수했다고 밝혔다.

서울중앙지검	서울중앙지검/NNP
외사부(부장	외사부/NNG+(/SS+부장/NNG
강지식)은	강지식/NNP+)/SS+은/JX
11일	11/SN+일/NNB
전	전/MMD
대통령	대통령/NNG
회고록	회고록/NNG
발간에	발간/NNG+에/JKB
따라	따르/VV+아/EC
출판사에서	출판사/NNG+에서/JKB
받는	받/VV+는/ETM
인세를	인세/NNG+를/JKO
압류하기	압류/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
전날	전날/NNG
법원에	법원/NNG+에/JKB
압류	압류/NNG
및	및/MAG
추심명령을	추심/NNG+명령/NNG+을/JKO
신청을	신청/NNG+을/JKO
접수했다고	접수/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.230.6.2
법원이 이를 받아들이면 전 전 대통령이 회고록 판매로 받게 될 인세는 추징돼 국고로 환수된다.

법원이	법원/NNG+이/JKS
이를	이/NP+를/JKO
받아들이면	받아들이/VV+면/EC
전	전/MMD
대통령이	대통령/NNG+이/JKS
회고록	회고록/NNG
판매로	판매/NNG+로/JKB
받게	받/VV+게/EC
될	되/VV+ㄹ/ETM
인세는	인세/NNG+는/JX
추징돼	추징/NNG+되/XSV+어/EC
국고로	국고/NNG+로/JKB
환수된다.	환수/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.230.7.1
검찰이 이번에 압류를 신청한 전두환 회고록 ‘혼돈의 시대’는 지난 4월 출간됐다.

검찰이	검찰/NNG+이/JKS
이번에	이번/NNG+에/JKB
압류를	압류/NNG+를/JKO
신청한	신청/NNG+하/XSV+ㄴ/ETM
전두환	전두환/NNP
회고록	회고록/NNG
‘혼돈의	‘/SS+혼돈/NNG+의/JKG
시대’는	시대/NNG+’/SS+는/JX
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
출간됐다.	출간/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.230.7.2
전 전 대통령은 이 회고록에서 ‘5·18은 북한군이 개입한 반란이자 폭동’, ‘계엄군은 죽음 앞에 내몰리기 직전까지 결코 시민을 향해 총을 겨누지 않았다’ 등의 왜곡된 주장을 담았다.

전	전/MMD
대통령은	대통령/NNG+은/JX
이	이/MMD
회고록에서	회고록/NNG+에서/JKB
‘5·18은	‘/SS+5/SN+·/SP+18/SN+은/JX
북한군이	북한군/NNG+이/JKS
개입한	개입/NNG+하/XSV+ㄴ/ETM
반란이자	반란/NNG+이/VCP+자/EC
폭동’,	폭동/NNG+’/SS+,/SP
‘계엄군은	‘/SS+계엄군/NNG+은/JX
죽음	죽음/NNG
앞에	앞/NNG+에/JKB
내몰리기	내몰리/VV+기/ETN
직전까지	직전/NNG+까지/JX
결코	결코/MAG
시민을	시민/NNG+을/JKO
향해	향하/VV+아/EC
총을	총/NNG+을/JKO
겨누지	겨누/VV+지/EC
않았다’	않/VX+았/EP+다/EF+’/SS
등의	등/NNB+의/JKG
왜곡된	왜곡/NNG+되/XSV+ㄴ/ETM
주장을	주장/NNG+을/JKO
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.230.7.3
이에 5·18기념재단 등은 전 전 대통령과 아들 재국씨를 상대로 ‘전두환 회고록’ 출판 및 배포금지 가처분신청을 냈고, 법원이 이를 받아들여 유통이 중단된 상태다.

이에	이/NP+에/JKB
5·18기념재단	5·18기념재단/NNP
등은	등/NNB+은/JX
전	전/MMD
대통령과	대통령/NNG+과/JC
아들	아들/NNG
재국씨를	재국/NNP+씨/NNB+를/JKO
상대로	상대/NNG+로/JKB
‘전두환	‘/SS+전두환/NNP
회고록’	회고록/NNG+’/SS
출판	출판/NNG
및	및/MAG
배포금지	배포/NNG+금지/NNG
가처분신청을	가/XPN+처분/NNG+신청/NNG+을/JKO
냈고,	내/VV+었/EP+고/EC+,/SP
법원이	법원/NNG+이/JKS
이를	이/NP+를/JKO
받아들여	받아들이/VV+어/EC
유통이	유통/NNG+이/JKS
중단된	중단/NNG+되/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.230.7.4
재판부는 5·18 왜곡 내용 삭제 없이 회고록을 출판·발행·인쇄·복제·판매·배포·광고하는 것을 금지했고, 이를 어기면 가처분 신청인에게 1회당 500만원씩 지급하도록 명령한 바 있다.

재판부는	재판부/NNG+는/JX
5·18	5/SN+·/SP+18/SN
왜곡	왜곡/NNG
내용	내용/NNG
삭제	삭제/NNG
없이	없이/MAG
회고록을	회고록/NNG+을/JKO
출판·발행·인쇄·복제·판매·배포·광고하는	출판/NNG+·/SP+발행/NNG+·/SP+인쇄/NNG+·/SP+복제/NNG+·/SP+판매/NNG+·/SP+배포/NNG+·/SP+광고/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
금지했고,	금지/NNG+하/XSV+았/EP+고/EC+,/SP
이를	이/NP+를/JKO
어기면	어기/VV+면/EC
가처분	가/XPN+처분/NNG
신청인에게	신청인/NNG+에게/JKB
1회당	1/SN+회/NNB+당/XSN
500만원씩	500/SN+만/NR+원/NNB+씩/XSN
지급하도록	지급/NNG+하/XSV+도록/EC
명령한	명령/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.230.8.1
앞서 검찰은 1996년 12월 전 전 대통령이 특정범죄가중처벌법상 뇌물죄 등으로 추징금 2205억원의 판결을 선고받은 뒤 이듬해 4월 대법원에서 형이 확정되자 추징금 환수에 나섰다.

앞서	앞서/MAG
