# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.91
metadata : {}


# id : NWRW1800000041.91.1.1
명지대, 어학특기자 전형 폐지…학생부-실기 위주 선발

명지대,	명지대/NNP+,/SP
어학특기자	어학/NNG+특기자/NNG
전형	전형/NNG
폐지…학생부-실기	폐지/NNG+…/SE+학생부/NNG+-/SO+실기/NNG
위주	위주/NNG
선발	선발/NNG


# id : NWRW1800000041.91.2.1
[大入수시 필승전략] 명지대학교 입학문의 02-300-1799, 1800 / 홈페이지 ipsi.mju.ac.kr

[大入수시	[/SS+大入/SH+수시/NNG
필승전략]	필승/NNG+전략/NNG+]/SS
명지대학교	명지대학교/NNP
입학문의	입학/NNG+문의/NNG
02-300-1799,	02/SN+-/SO+300/SN+-/SO+1799/SN+,/SP
1800	1800/SN
/	//SP
홈페이지	홈페이지/NNG
ipsi.mju.ac.kr	ipsi/SL+./SP+mju/SL+./SP+ac/SL+./SP+kr/SL


# id : NWRW1800000041.91.3.1
노승종 입학처장명지대는 2015학년도 수시모집에서 적성고사와 세계화인재전형(어학특기자)을 폐지하고 학생부와 실기 위주로 신입생을 선발한다.

노승종	노승종/NNP
입학처장명지대는	입학처장/NNG+명지대/NNP+는/JX
2015학년도	2015/SN+학년도/NNG
수시모집에서	수시/NNG+모집/NNG+에서/JKB
적성고사와	적성/NNG+고사/NNG+와/JC
세계화인재전형(어학특기자)을	세계/NNG+화/XSN+인재/NNG+전형/NNG+(/SS+어학/NNG+특기자/NNG+)/SS+을/JKO
폐지하고	폐지/NNG+하/XSV+고/EC
학생부와	학생부/NNG+와/JC
실기	실기/NNG
위주로	위주/NNG+로/JKB
신입생을	신입/NNG+생/XSN+을/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.91.4.1
학생부 교과면접 우수자 전형을 비롯해 면접고사를 실시하는 특별전형은 학생부 교과 성적과 면접고사를 통해 합격자를 선발한다.

학생부	학생부/NNG
교과면접	교과/NNG+면접/NNG
우수자	우수자/NNG
전형을	전형/NNG+을/JKO
비롯해	비롯하/VV+아/EC
면접고사를	면접/NNG+고사/NNG+를/JKO
실시하는	실시/NNG+하/XSV+는/ETM
특별전형은	특별/NNG+전형/NNG+은/JX
교과	교과/NNG
성적과	성적/NNG+과/JC
통해	통하/VV+아/EC
합격자를	합격자/NNG+를/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.91.4.2
1단계에서는 학생부 교과 성적 순으로 모집인원의 5배수를 선발한다.

1단계에서는	1/SN+단계/NNG+에서/JKB+는/JX
학생부	학생부/NNG
교과	교과/NNG
성적	성적/NNG
순으로	순/NNB+으로/JKB
모집인원의	모집/NNG+인원/NNG+의/JKG
5배수를	5/SN+배수/NNG+를/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.91.4.3
2단계에서는 학생부 교과 60%, 면접 40%를 반영해 최종 합격자를 선발한다.

2단계에서는	2/SN+단계/NNG+에서/JKB+는/JX
학생부	학생부/NNG
교과	교과/NNG
60%,	60/SN+%/SW+,/SP
면접	면접/NNG
40%를	40/SN+%/SW+를/JKO
반영해	반영/NNG+하/XSV+아/EC
최종	최종/NNG
합격자를	합격자/NNG+를/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.91.4.4
수치상으로는 2단계에서 면접고사의 비율이 학생부 교과 비율보다 낮지만 이미 1단계 과정에서 학생부 교과는 한번 심사를 거치므로 결국 면접 성적이 당락을 결정할 것이라는게 학교 측 설명이다.

수치상으로는	수치/NNG+상/XSN+으로/JKB+는/JX
2단계에서	2/SN+단계/NNG+에서/JKB
면접고사의	면접/NNG+고사/NNG+의/JKG
비율이	비율/NNG+이/JKS
학생부	학생부/NNG
교과	교과/NNG
비율보다	비율/NNG+보다/JKB
낮지만	낮/VA+지만/EC
이미	이미/MAG
1단계	1/SN+단계/NNG
과정에서	과정/NNG+에서/JKB
교과는	교과/NNG+는/JX
한번	한번/MAG
심사를	심사/NNG+를/JKO
거치므로	거치/VV+므로/EC
결국	결국/MAG
면접	면접/NNG
성적이	성적/NNG+이/JKS
당락을	당락/NNG+을/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
것이라는게	것/NNB+이/VCP+라는/ETM+거/NNB+이/JKS
학교	학교/NNG
측	측/NNB
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.91.4.5
1단계를 통과한 학생들의 학생부 반영점수 차이는 환산하면 약 5점 내외지만, 면접고사는 최대 20점까지 차이가 날 수 있다.

1단계를	1/SN+단계/NNG+를/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
학생들의	학생/NNG+들/XSN+의/JKG
학생부	학생부/NNG
반영점수	반영/NNG+점수/NNG
차이는	차이/NNG+는/JX
환산하면	환산/NNG+하/XSV+면/EC
약	약/MMA
5점	5/SN+점/NNB
내외지만,	내외/NNG+이/VCP+지만/EC+,/SP
면접고사는	면접/NNG+고사/NNG+는/JX
최대	최대/NNG
20점까지	20/SN+점/NNB+까지/JX
차이가	차이/NNG+가/JKS
날	나/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.91.5.1
면접고사는 성실성, 공동체의식, 기초학업역량, 전공잠재역량 등에 대한 구술면접 형태로 이뤄진다.

면접고사는	면접/NNG+고사/NNG+는/JX
성실성,	성실/NNG+성/XSN+,/SP
공동체의식,	공동체/NNG+의식/NNG+,/SP
기초학업역량,	기초/NNG+학업/NNG+역량/NNG+,/SP
전공잠재역량	전공/NNG+잠재/NNG+역량/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
구술면접	구술/NNG+면접/NNG
형태로	형태/NNG+로/JKB
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.91.5.2
면접위원 2∼4명이 학생 1인당 5분 정도 진행한다.

면접위원	면접/NNG+위원/NNG
2∼4명이	2/SN+∼/SO+4/SN+명/NNB+이/JKS
학생	학생/NNG
1인당	1/SN+인/NNG+당/XSN
5분	5/SN+분/NNB
정도	정도/NNG
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.91.5.3
학과에 지원한 동기, 인성과 기본 소양, 학과와 전공에 관련된 기초지식 등에 대한 질문이 나올 것으로 예상된다.

학과에	학과/NNG+에/JKB
지원한	지원/NNG+하/XSV+ㄴ/ETM
동기,	동기/NNG+,/SP
인성과	인성/NNG+과/JC
기본	기본/NNG
소양,	소양/NNG+,/SP
학과와	학과/NNG+와/JC
전공에	전공/NNG+에/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
기초지식	기초/NNG+지식/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
질문이	질문/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.91.5.4
노승종 입학처장은 “다른 학생들과 자신을 차별화할 생각을 표현한다면 좋은 결과를 예상할 수 있을 것”이라고 조언했다.

노승종	노승종/NNP
입학처장은	입학처장/NNG+은/JX
“다른	“/SS+다른/MMD
학생들과	학생/NNG+들/XSN+과/JC
자신을	자신/NNG+을/JKO
차별화할	차별/NNG+화/XSN+하/XSV+ㄹ/ETM
생각을	생각/NNG+을/JKO
표현한다면	표현/NNG+하/XSV+ㄴ다면/EC
좋은	좋/VA+은/ETM
결과를	결과/NNG+를/JKO
예상할	예상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.91.5.5
학교 입시 홈페이지 자료실에 전형 및 학과별 면접고사 기출문항이 올라와 있으니 이를 참조해 연습해도 좋다

학교	학교/NNG
입시	입시/NNG
홈페이지	홈페이지/NNG
자료실에	자료실/NNG+에/JKB
전형	전형/NNG
및	및/MAG
학과별	학과/NNG+별/XSN
면접고사	면접/NNG+고사/NNG
기출문항이	기출/NNG+문항/NNG+이/JKS
올라와	올라오/VV+아/EC
있으니	있/VX+으니/EC
이를	이/NP+를/JKO
참조해	참조/NNG+하/XSV+아/EC
연습해도	연습/NNG+하/XSV+아도/EC
좋다	좋/VA+다/EF


# id : NWRW1800000041.91.6.1
학생부 종합 우수자 전형은 기존의 정량평가로는 평가할 수 없었던 잠재능력과 소질, 가능성 등을 다각적으로 평가한다.

학생부	학생부/NNG
종합	종합/NNG
우수자	우수자/NNG
전형은	전형/NNG+은/JX
기존의	기존/NNG+의/JKG
