# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.64
metadata : {}


# id : NWRW1800000044.64.1.1
뉴욕타임스, ‘인민군 공격 제보’ 홍윤희씨 소개

뉴욕타임스,	뉴욕타임스/NNP+,/SP
‘인민군	‘/SS+인민군/NNG
공격	공격/NNG
제보’	제보/NNG+’/SS
홍윤희씨	홍윤희/NNP+씨/NNB
소개	소개/NNG


# id : NWRW1800000044.64.2.1
[한겨레] 한국전쟁때 정보주고 간첩몰려

[한겨레]	[/SS+한겨레/NNP+]/SS
한국전쟁때	한국/NNP+전쟁/NNG+때/NNG
정보주고	정보/NNG+주/VV+고/EC
간첩몰려	간첩/NNG+몰리/VV+어/EF


# id : NWRW1800000044.64.3.1
억울한 옥살이…작년 무죄선고

억울한	억울/NNG+하/XSA+ㄴ/ETM
옥살이…작년	옥살이/NNG+…/SE+작년/NNG
무죄선고	무죄/NNG+선고/NNG


# id : NWRW1800000044.64.4.1
미국 <뉴욕 타임스>가 4일(현지시각) 한국전쟁 초기 북한 인민군의 총공격 계획을 국군에 제보했다가 오히려 간첩으로 몰려 옥살이를 한 재미동포 홍윤희(83·사진)씨의 사연을 1면에 보도해 눈길을 끌었다.

미국	미국/NNP
<뉴욕	</SS+뉴욕/NNP
타임스>가	타임스/NNP+>/SS+가/JKS
4일(현지시각)	4/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
한국전쟁	한국/NNP+전쟁/NNG
초기	초기/NNG
북한	북한/NNP
인민군의	인민군/NNG+의/JKG
총공격	총공격/NNG
계획을	계획/NNG+을/JKO
국군에	국군/NNG+에/JKB
제보했다가	제보/NNG+하/XSV+았/EP+다가/EC
오히려	오히려/MAG
간첩으로	간첩/NNG+으로/JKB
몰려	몰리/VV+어/EC
옥살이를	옥살이/NNG+를/JKO
한	하/VV+ㄴ/ETM
재미동포	재미/NNG+동포/NNG
홍윤희(83·사진)씨의	홍윤희/NNP+(/SS+83/SN+·/SP+사진/NNG+)/SS+씨/NNB+의/JKG
사연을	사연/NNG+을/JKO
1면에	1/SN+면/NNG+에/JKB
보도해	보도/NNG+하/XSV+아/EC
눈길을	눈길/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.64.5.1
1950년 전쟁 발발 당시 국군 병장이던 홍씨는 북한군이 서울을 점령할 때 빠져나오지 못해 목숨을 구하고자 인민군에 입대했다.

1950년	1950/SN+년/NNB
전쟁	전쟁/NNG
발발	발발/NNG
당시	당시/NNG
국군	국군/NNG
