# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.2
metadata : {}


# id : NWRW1800000037.2.1.1
차이나머니, 국내 패션 이어 화장품까지 넘본다

차이나머니,	차이나머니/NNG+,/SP
국내	국내/NNG
패션	패션/NNG
이어	잇/VV+어/EC
화장품까지	화장품/NNG+까지/JX
넘본다	넘보/VV+ㄴ다/EF


# id : NWRW1800000037.2.2.1
■ 투자은행 -M&A업계에 제휴문의 쇄도

■	■/SW
투자은행	투자/NNG+은행/NNG
-M&A업계에	-/SO+M/SL+&/SW+A/SL+업계/NNG+에/JKB
제휴문의	제휴/NNG+문의/NNG
쇄도	쇄도/NNG


# id : NWRW1800000037.2.3.1
국내 패션 및 화장품 브랜드에 대한 ‘차이나 머니’의 관심이 뜨겁다.

국내	국내/NNG
패션	패션/NNG
및	및/MAG
화장품	화장품/NNG
브랜드에	브랜드/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘차이나	‘/SS+차이나/NNP
머니’의	머니/NNG+’/SS+의/JKG
관심이	관심/NNG+이/JKS
뜨겁다.	뜨겁/VA+다/EF+./SF


# id : NWRW1800000037.2.3.2
막대한 자본과 거대한 중국 내 유통망은 갖고 있지만 자체 브랜드가 부족한 중국 기업들이 한국 브랜드를 탐내고 있는 것이다.

막대한	막대하/VA+ㄴ/ETM
자본과	자본/NNG+과/JC
거대한	거대/NNG+하/XSA+ㄴ/ETM
중국	중국/NNP
내	내/NNB
유통망은	유통망/NNG+은/JX
갖고	갖/VV+고/EC
있지만	있/VX+지만/EC
자체	자체/NNG
브랜드가	브랜드/NNG+가/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
기업들이	기업/NNG+들/XSN+이/JKS
한국	한국/NNP
브랜드를	브랜드/NNG+를/JKO
탐내고	탐내/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.2.4.1
지난해 하반기(7∼12월)부터 차이나 머니의 한국 패션 브랜드 인수가 본격적으로 이뤄졌다.

지난해	지난해/NNG
하반기(7∼12월)부터	하반기/NNG+(/SS+7/SN+∼/SO+12/SN+월/NNB+)/SS+부터/JX
차이나	차이나/NNP
머니의	머니/NNG+의/JKG
한국	한국/NNP
