# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.22
metadata : {}


# id : NWRW1800000053.22.1.1
“대형마트 규제후 개인슈퍼 대형화 등 유통지형 변화”

“대형마트	“/SS+대형/NNG+마트/NNG
규제후	규제/NNG+후/NNG
개인슈퍼	개인/NNG+슈퍼/NNG
대형화	대형/NNG+화/XSN
등	등/NNB
유통지형	유통/NNG+지형/NNG
변화”	변화/NNG+”/SS


# id : NWRW1800000053.22.2.1
유통산업발전법 개정방향 토론회 개인슈퍼, 점포 줄고 매출은 급증… 소형슈퍼는 편의점으로 대체 추세 대형마트 규제 집착 현실성 떨어져

유통산업발전법	유통/NNG+산업/NNG+발전법/NNG
개정방향	개정/NNG+방향/NNG
토론회	토론회/NNG
개인슈퍼,	개인/NNG+슈퍼/NNG+,/SP
점포	점포/NNG
줄고	줄/VV+고/EC
매출은	매출/NNG+은/JX
급증…	급증/NNG+…/SE
소형슈퍼는	소형/NNG+슈퍼/NNG+는/JX
편의점으로	편의점/NNG+으로/JKB
대체	대체/NNG
추세	추세/NNG
대형마트	대형/NNG+마트/NNG
규제	규제/NNG
집착	집착/NNG
현실성	현실/NNG+성/XSN
떨어져	떨어지/VV+어/EF


# id : NWRW1800000053.22.3.1
대형마트 의무 휴업, 대기업슈퍼마켓(SSM) 출점 제한 등의 유통업 규제가 개인 슈퍼마켓의 대형화나 드러그스토어 전문점 확산의 결과를 낳은 것으로 나타났다.

대형마트	대형/NNG+마트/NNG
의무	의무/NNG
휴업,	휴업/NNG+,/SP
대기업슈퍼마켓(SSM)	대/XPN+기업/NNG+슈퍼마켓/NNG+(/SS+SSM/SL+)/SS
출점	출점/NNG
제한	제한/NNG
등의	등/NNB+의/JKG
유통업	유통업/NNG
규제가	규제/NNG+가/JKS
개인	개인/NNG
슈퍼마켓의	슈퍼마켓/NNG+의/JKG
대형화나	대형/NNG+화/XSN+나/JC
드러그스토어	드러그스토어/NNG
전문점	전문점/NNG
확산의	확산/NNG+의/JKG
결과를	결과/NNG+를/JKO
낳은	낳/VV+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.22.3.2
