# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.245
metadata : {}


# id : NWRW1800000046.245.1.1
[동서남북] '선거 없는 해' 대통령들의 誤解

[동서남북]	[/SS+동서남북/NNG+]/SS
'선거	'/SS+선거/NNG
없는	없/VA+는/ETM
해'	해/NNG+'/SS
대통령들의	대통령/NNG+들/XSN+의/JKG
誤解	誤解/SH


# id : NWRW1800000046.245.2.1
박근혜 대통령이 정부 부처들로부터 업무보고를 받고 있다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
정부	정부/NNG
부처들로부터	부처/NNG+들/XSN+로부터/JKB
업무보고를	업무/NNG+보고/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.245.2.2
각종 '개혁' 지시와 정책을 신문 지면이 넘칠 정도로 내놓는다.

각종	각종/NNG
'개혁'	'/SS+개혁/NNG+'/SS
지시와	지시/NNG+와/JC
정책을	정책/NNG+을/JKO
신문	신문/NNG
지면이	지면/NNG+이/JKS
넘칠	넘치/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
내놓는다.	내놓/VV+는다/EF+./SF


# id : NWRW1800000046.245.2.3
임기 3년 차를 맞으면서 성과에 대한 조급함도, 세월호에 묻혀 2년 차에 일을 제대로 못했다는 아쉬움도 있을 것이다.

임기	임기/NNG
3년	3/SN+년/NNB
차를	차/NNB+를/JKO
맞으면서	맞/VV+으면서/EC
성과에	성과/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
조급함도,	조급하/VA+ㅁ/ETN+도/JX+,/SP
세월호에	세월호/NNP+에/JKB
묻혀	묻히/VV+어/EC
2년	2/SN+년/NNB
차에	차/NNB+에/JKB
일을	일/NNG+을/JKO
제대로	제대로/MAG
못했다는	못/MAG+하/XSV+았/EP+다는/ETM
아쉬움도	아쉬움/NNG+도/JX
있을	있/VA+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.245.2.4
박 대통령은 올해 큰 선거가 없는 만큼 하고 싶은 일을 소신껏 할 수 있다는 생각도 하는 것 같다.

박	박/NNP
대통령은	대통령/NNG+은/JX
올해	올해/NNG
큰	크/VA+ㄴ/ETM
선거가	선거/NNG+가/JKS
없는	없/VA+는/ETM
만큼	만큼/NNB
하고	하/VV+고/EC
싶은	싶/VX+은/ETM
일을	일/NNG+을/JKO
소신껏	소신껏/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
생각도	생각/NNG+도/JX
하는	하/VV+는/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000046.245.3.1
그는 지난주 신년 기자회견에서 "전국 단위 선거가 없는 해로 국가 혁신을 위해 국력을 결집할 수 있는 절호의 기회"라며 "이런 기회를 잘 살려 희망의 2015년을 만들겠다"고 말했다.

그는	그/NP+는/JX
지난주	지난주/NNG
신년	신년/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
"전국	"/SS+전국/NNG
단위	단위/NNG
선거가	선거/NNG+가/JKS
없는	없/VA+는/ETM
해로	해/NNG+로/JKB
국가	국가/NNG
혁신을	혁신/NNG+을/JKO
위해	위하/VV+아/EC
국력을	국력/NNG+을/JKO
결집할	결집/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
절호의	절호/NNG+의/JKG
기회"라며	기회/NNG+"/SS+이/VCP+라며/EC
"이런	"/SS+이런/MMD
기회를	기회/NNG+를/JKO
잘	잘/MAG
살려	살리/VV+어/EC
희망의	희망/NNG+의/JKG
2015년을	2015/SN+년/NNB+을/JKO
만들겠다"고	만들/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.245.3.2
그 뒤 연일 공공부문 구조개혁, 공무원연금 개혁, 비정규직 등 노동시장 개혁, 교육 개혁, 금융시장 규제 혁파 등에 대한 의지를 피력하고 있다.

그	그/MMD
뒤	뒤/NNG
연일	연일/MAG
공공부문	공공/NNG+부문/NNG
구조개혁,	구조/NNG+개혁/NNG+,/SP
공무원연금	공무원/NNG+연금/NNG
개혁,	개혁/NNG+,/SP
비정규직	비/XPN+정규직/NNG
등	등/NNB
노동시장	노동/NNG+시장/NNG
교육	교육/NNG
금융시장	금융/NNG+시장/NNG
규제	규제/NNG
혁파	혁파/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
의지를	의지/NNG+를/JKO
피력하고	피력/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.245.3.3
하나하나가 총선이나 대선 앞에서는 말도 꺼내기 어려운 것들이다.

하나하나가	하나하나/NNG+가/JKS
총선이나	총선/NNG+이나/JC
대선	대선/NNG
앞에서는	앞/NNG+에서/JKB+는/JX
말도	말/NNG+도/JX
꺼내기	꺼내/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
것들이다.	것/NNB+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000046.245.3.4
올해는 표(票) 걱정을 할 필요가 없으니 이런 일을 쉬이 추진할 수 있다고 대통령은 보는 걸까.

올해는	올해/NNG+는/JX
표(票)	표/NNG+(/SS+票/SH+)/SS
걱정을	걱정/NNG+을/JKO
할	하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없으니	없/VA+으니/EC
이런	이런/MMD
일을	일/NNG+을/JKO
쉬이	쉬이/MAG
추진할	추진/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
대통령은	대통령/NNG+은/JX
보는	보/VV+는/ETM
걸까.	거/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000046.245.4.1
이명박 정권 임기 초·중반에 선거가 없던 해는 2009년이다.

이명박	이명박/NNP
정권	정권/NNG
임기	임기/NNG
초·중반에	초·중반/NNG+에/JKB
선거가	선거/NNG+가/JKS
없던	없/VA+던/ETM
해는	해/NNG+는/JX
2009년이다.	2009/SN+년/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.245.4.2
연초부터 노무현 정권과 관련된 박연차씨 수사가 진행됐다.

연초부터	연초/NNG+부터/JX
노무현	노무현/NNP
정권과	정권/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
박연차씨	박연차/NNP+씨/NNB
수사가	수사/NNG+가/JKS
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.245.4.3
좌우·여야의 갈등이 터질 정도로 달아올랐지만 수사는 노 전 대통령에게로 이어졌고 결국 스스로 목숨을 끊었다.

좌우·여야의	좌우/NNG+·/SP+여야/NNG+의/JKG
갈등이	갈등/NNG+이/JKS
터질	터지/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
달아올랐지만	달아오르/VV+았/EP+지만/EC
수사는	수사/NNG+는/JX
노	노/NNP
전	전/MMD
대통령에게로	대통령/NNG+에게/JKB+로/JKB
이어졌고	이어지/VV+었/EP+고/EC
결국	결국/MAG
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊었다.	끊/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.245.4.4
서거 정국이 가라앉자 이번에는 이 대통령이 평소 꼭 하고 싶어 했던 세종시 수정 작업에 착수했다.

서거	서거/NNG
정국이	정국/NNG+이/JKS
가라앉자	가라앉/VV+자/EC
이번에는	이번/NNG+에/JKB+는/JX
이	이/NNP
대통령이	대통령/NNG+이/JKS
평소	평소/NNG
꼭	꼭/MAG
하고	하/VV+고/EC
싶어	싶/VX+어/EC
했던	하/VX+았/EP+던/ETM
세종시	세종시/NNP
수정	수정/NNG
작업에	작업/NNG+에/JKB
착수했다.	착수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.245.4.5
"인기가 아니라 역사를 보고 하는 일"이라는 역대 정권 상용구(常用句)도 내걸었다.

"인기가	"/SS+인기/NNG+가/JKC
아니라	아니/VCN+라/EC
역사를	역사/NNG+를/JKO
보고	보/VV+고/EC
하는	하/VV+는/ETM
일"이라는	일/NNG+"/SS+이/VCP+라는/ETM
역대	역대/NNG
정권	정권/NNG
상용구(常用句)도	상용구/NNG+(/SS+常用句/SH+)/SS+도/JX
내걸었다.	내걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.245.4.6
하지만 박근혜 당시 의원까지 가세한 반대파에게 결국 손을 들었다.

하지만	하지만/MAJ
박근혜	박근혜/NNP
당시	당시/NNG
의원까지	의원/NNG+까지/JX
가세한	가세/NNG+하/XSV+ㄴ/ETM
반대파에게	반대파/NNG+에게/JKB
결국	결국/MAG
손을	손/NNG+을/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.245.5.1
노무현 정권도 2005년 선거 없는 해를 앞두고 '나라를 위해 꼭 해보고 싶던 일'을 꺼냈다.

노무현	노무현/NNP
정권도	정권/NNG+도/JX
2005년	2005/SN+년/NNB
선거	선거/NNG
없는	없/VA+는/ETM
해를	해/NNG+를/JKO
앞두고	앞두/VV+고/EC
'나라를	'/SS+나라/NNG+를/JKO
위해	위하/VV+아/EC
꼭	꼭/MAG
해보고	하/VV+아/EC+보/VX+고/EC
싶던	싶/VX+던/ETM
일'을	일/NNG+'/SS+을/JKO
꺼냈다.	꺼내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.245.5.2
2004년 총선 대승 여세를 몰아 사학(私學)법, 국가보안법 폐지, 과거사법, 언론관계법 등 4대 입법을 밀어붙였다.

2004년	2004/SN+년/NNB
총선	총선/NNG
대승	대승/NNG
여세를	여세/NNG+를/JKO
몰아	몰/VV+아/EC
사학(私學)법,	사학/NNG+(/SS+私學/SH+)/SS+법/NNG+,/SP
국가보안법	국가/NNG+보안법/NNG
폐지,	폐지/NNG+,/SP
과거사법,	과거사/NNG+법/NNG+,/SP
언론관계법	언론/NNG+관계법/NNG
등	등/NNB
4대	4/SN+대/NNG
입법을	입법/NNG+을/JKO
밀어붙였다.	밀어붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.245.5.3
2005년 말까지 나라가 완전히 둘로 갈라져 목숨 걸듯 싸웠다.

2005년	2005/SN+년/NNB
말까지	말/NNB+까지/JX
나라가	나라/NNG+가/JKS
완전히	완전히/MAG
둘로	둘/NR+로/JKB
갈라져	갈라지/VV+어/EC
목숨	목숨/NNG
걸듯	걸/VV+듯/EC
싸웠다.	싸우/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.245.5.4
박근혜 당시 한나라당 대표는 엄동(嚴冬)에 장외투쟁에 나서기도 했다.

박근혜	박근혜/NNP
당시	당시/NNG
한나라당	한나라당/NNP
대표는	대표/NNG+는/JX
엄동(嚴冬)에	엄동/NNG+(/SS+嚴冬/SH+)/SS+에/JKB
장외투쟁에	장외/NNG+투쟁/NNG+에/JKB
나서기도	나서/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.245.5.5
8·31 부동산 대책, 행정도시특별법 논란, 자주파·동맹파의 한·미 동맹 논란 등도 모두 이 '선거 없는 해'에 벌어졌던 일들이다.

8·31	8/SN+·/SP+31/SN
부동산	부동산/NNG
대책,	대책/NNG+,/SP
행정도시특별법	행정/NNG+도시/NNG+특별법/NNG
논란,	논란/NNG+,/SP
자주파·동맹파의	자주파/NNG+·/SP+동맹파/NNG+의/JKG
한·미	한·미/NNP
동맹	동맹/NNG
논란	논란/NNG
등도	등/NNB+도/JX
모두	모두/MAG
이	이/MMD
'선거	'/SS+선거/NNG
없는	없/VA+는/ETM
해'에	해/NNG+'/SS+에/JKB
벌어졌던	벌어지/VV+었/EP+던/ETM
일들이다.	일/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000046.245.6.1
정권을 잡은 쪽은 '선거가 없다'는 의미를 '하고 싶은 일을 할 수 있다'는 쪽으로 이해하는 경향이 있다.

정권을	정권/NNG+을/JKO
잡은	잡/VV+은/ETM
쪽은	쪽/NNB+은/JX
'선거가	'/SS+선거/NNG+가/JKS
없다'는	없/VA+다/EF+'/SS+는/ETM
의미를	의미/NNG+를/JKO
'하고	'/SS+하/VV+고/EC
싶은	싶/VX+은/ETM
일을	일/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다'는	있/VA+다/EF+'/SS+는/ETM
쪽으로	쪽/NNB+으로/JKB
이해하는	이해/NNG+하/XSV+는/ETM
경향이	경향/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.245.6.2
그러나 반대쪽에서 보면 '막고 싶은 대로 막을 수 있다'는 뜻도 된다.

그러나	그러나/MAJ
반대쪽에서	반대쪽/NNG+에서/JKB
보면	보/VV+면/EC
'막고	'/SS+막/VV+고/EC
싶은	싶/VX+은/ETM
대로	대로/NNB
막을	막/VV+을/ETM
수	수/NNB
있다'는	있/VA+다/EF+'/SS+는/ETM
뜻도	뜻/NNG+도/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.245.6.3
그만큼 저항도 세고 독(毒)하다.

그만큼	그만큼/MAG
저항도	저항/NNG+도/JX
세고	세/VA+고/EC
독(毒)하다.	독/NNG+(/SS+毒/SH+)/SS+하/XSA+다/EF+./SF


# id : NWRW1800000046.245.6.4
더구나 노무현·이명박 정부 때는 집권 세력에게 국회 직권 상정이라는 무기라도 있었다.

더구나	더구나/MAG
노무현·이명박	노무현/NNP+·/SP+이명박/NNP
정부	정부/NNG
때는	때/NNG+는/JX
집권	집권/NNG
세력에게	세력/NNG+에게/JKB
국회	국회/NNG
직권	직권/NNG
상정이라는	상정/NNG+이/VCP+라는/ETM
무기라도	무기/NNG+이/VCP+라도/EC
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.245.6.5
지금은 국회선진화법 때문에 야당 동의 없이는 법 하나 통과시키기도 어렵다.

지금은	지금/NNG+은/JX
국회선진화법	국회/NNG+선진/NNG+화/XSN+법/NNG
때문에	때문/NNB+에/JKB
야당	야당/NNG
동의	동의/NNG
없이는	없이/MAG+는/JX
법	법/NNG
하나	하나/NR
통과시키기도	통과/NNG+시키/XSV+기/ETN+도/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000046.245.7.1
물론 하지 말라는 얘기는 아니다.

물론	물론/MAG
하지	하/VV+지/EC
말라는	말/VX+라는/ETM
얘기는	얘기/NNG+는/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000046.245.7.2
나부터도 박 대통령이 내건 대부분이 꼭 필요하다고 생각한다.

나부터도	나/NP+부터/JX+도/JX
박	박/NNP
대통령이	대통령/NNG+이/JKS
내건	내걸/VV+ㄴ/ETM
대부분이	대/XPN+부분/NNG+이/JKS
꼭	꼭/MAG
필요하다고	필요/NNG+하/XSA+다고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.245.7.3
대신 성공시키려면 '선거가 없다'에 대한 역(逆)발상을 해달라고 부탁하고 싶다.

대신	대신/NNG
성공시키려면	성공/NNG+시키/XSV+려면/EC
'선거가	'/SS+선거/NNG+가/JKS
없다'에	없/VA+다/EF+'/SS+에/JKB
대한	대하/VV+ㄴ/ETM
역(逆)발상을	역/NA+(/SS+逆/SH+)/SS+발상/NNG+을/JKO
해달라고	하/VV+아/EC+달/VX+라고/EC
부탁하고	부탁/NNG+하/XSV+고/EC
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000046.245.7.4
선거가 없다는 건 야당 입장에서도 지지층이나 표(票)보다 나라 장래를 먼저 생각할 수 있는 상황이 될 수 있다.

선거가	선거/NNG+가/JKS
없다는	없/VA+다는/ETM
건	거/NNB+ㄴ/JX
야당	야당/NNG
입장에서도	입장/NNG+에서/JKB+도/JX
지지층이나	지지/NNG+층/XSN+이나/JC
표(票)보다	표/NNG+(/SS+票/SH+)/SS+보다/JKB
나라	나라/NNG
장래를	장래/NNG+를/JKO
먼저	먼저/MAG
생각할	생각/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
상황이	상황/NNG+이/JKC
될	되/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.245.7.5
대통령이 꼭 해야 할 일이라고 생각한다면 반대하는 사람들을 끊임없이 만나야 한다.

대통령이	대통령/NNG+이/JKS
꼭	꼭/MAG
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
일이라고	일/NNG+이/VCP+라고/EC
생각한다면	생각/NNG+하/XSV+ㄴ다면/EC
반대하는	반대/NNG+하/XSV+는/ETM
사람들을	사람/NNG+들/XSN+을/JKO
끊임없이	끊임없이/MAG
만나야	만나/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.245.7.6
야당은 수시로 찾아가고 부르고 해서 설득해야 한다.

야당은	야당/NNG+은/JX
수시로	수시로/MAG
찾아가고	찾아가/VV+고/EC
부르고	부르/VV+고/EC
해서	하/VX+아서/EC
설득해야	설득/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.245.7.7
그저 던져만 놓고, 그러다 일이 안 되면 국무회의 같은 데 나와서 "야당과 반대 세력들이 나라를 망친다"는 말만 하는 건 지도자가 아니다.

그저	그저/MAG
던져만	던지/VV+어/EC+만/JX
놓고,	놓/VX+고/EC+,/SP
그러다	그러/VV+다/EC
일이	일/NNG+이/JKS
안	안/MAG
되면	되/VV+면/EC
국무회의	국무/NNG+회의/NNG
같은	같/VA+은/ETM
데	데/NNB
나와서	나오/VV+아서/EC
"야당과	"/SS+야당/NNG+과/JC
반대	반대/NNG
세력들이	세력/NNG+들/XSN+이/JKS
나라를	나라/NNG+를/JKO
망친다"는	망치/VV+ㄴ다/EF+"/SS+는/ETM
말만	말/NNG+만/JX
하는	하/VV+는/ETM
건	거/NNB+ㄴ/JX
지도자가	지도자/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000046.245.7.8
그리고 일도 될 리가 없다.

그리고	그리고/MAJ
일도	일/NNG+도/JX
될	되/VV+ㄹ/ETM
리가	리/NNB+가/JKS
없다.	없/VA+다/EF+./SF


