# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.183
metadata : {}


# id : NWRW1800000044.183.1.1
“우면산 산사태 대비 부족했다”

“우면산	“/SS+우면산/NNP
산사태	산사태/NNG
대비	대비/NNG
부족했다”	부족/NNG+하/XSA+았/EP+다/EF+”/SS


# id : NWRW1800000044.183.2.1
[한겨레] 서울시, 2차조사…‘일부 인재’ 인정

[한겨레]	[/SS+한겨레/NNP+]/SS
서울시,	서울시/NNP+,/SP
2차조사…‘일부	2/SN+차/NNB+조사/NNG+…/SE+‘/SS+일부/NNG
인재’	인재/NNG+’/SS
인정	인정/NNG


# id : NWRW1800000044.183.3.1
2010년 태풍 ‘곤파스’ 피해에도

2010년	2010/SN+년/NNB
태풍	태풍/NNG
‘곤파스’	‘/SS+곤파스/NNG+’/SS
피해에도	피해/NNG+에/JKB+도/JX


# id : NWRW1800000044.183.4.1
산사태 방지 대책 미흡 지적

산사태	산사태/NNG
방지	방지/NNG
대책	대책/NNG
미흡	미흡/NNG
지적	지적/NNG


# id : NWRW1800000044.183.5.1
“120년만의 강우도 아니었다” 결론

“120년만의	“/SS+120/SN+년/NNB+만/NNB+의/JKG
강우도	강우/NNG+도/JX
아니었다”	아니/VCN+었/EP+다/EF+”/SS
결론	결론/NNG


# id : NWRW1800000044.183.6.1
서울시가 우면산 산사태와 관련해 두번째 원인조사를 벌인 끝에 “대비 부족이 일부 영향을 미쳤다”며 ‘일부 인재’를 인정했다.

서울시가	서울시/NNP+가/JKS
우면산	우면산/NNP
산사태와	산사태/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
두번째	두/MMN+번/NNB+째/XSN
원인조사를	원인/NNG+조사/NNG+를/JKO
벌인	벌이/VV+ㄴ/ETM
끝에	끝/NNG+에/JKB
“대비	“/SS+대비/NNG
부족이	부족/NNG+이/JKS
일부	일부/NNG
영향을	영향/NNG+을/JKO
미쳤다”며	미치/VV+었/EP+다/EF+”/SS+며/EC
‘일부	‘/SS+일부/NNG
인재’를	인재/NNG+’/SS+를/JKO
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.183.6.2
이번 조사 결과가 유족들이 서울시와 서초구, 국방부 등을 상대로 낸 소송에 어떤 결과를 미칠지 주목된다.

이번	이번/NNG
조사	조사/NNG
결과가	결과/NNG+가/JKS
유족들이	유족/NNG+들/XSN+이/JKS
서울시와	서울시/NNP+와/JC
서초구,	서초구/NNP+,/SP
국방부	국방부/NNG
등을	등/NNB+을/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
소송에	소송/NNG+에/JKB
어떤	어떤/MMD
결과를	결과/NNG+를/JKO
미칠지	미치/VV+ㄹ지/EC
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.183.6.3
이 소송은 서울시의 2차 조사를 이유로 일시 중단된 상태다.

이	이/MMD
소송은	소송/NNG+은/JX
서울시의	서울시/NNP+의/JKG
2차	2/SN+차/NNB
조사를	조사/NNG+를/JKO
이유로	이유/NNG+로/JKB
일시	일시/MAG
중단된	중단/NNG+되/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.183.7.1
서울시 산하 서울연구원은 2012년 5월 이후 대한토목학회가 수행한 공학적 조사와 분석, 우면산 민관합동조사단과 전문가 등의 의견수렴 결과를 종합해 이와 같은 결론에 이르렀다고 13일 밝혔다.

서울시	서울시/NNP
산하	산하/NNG
서울연구원은	서울연구원/NNP+은/JX
2012년	2012/SN+년/NNB
5월	5/SN+월/NNB
이후	이후/NNG
대한토목학회가	대한토목학회/NNP+가/JKS
수행한	수행/NNG+하/XSV+ㄴ/ETM
공학적	공학/NNG+적/XSN
조사와	조사/NNG+와/JC
분석,	분석/NNG+,/SP
우면산	우면산/NNP
민관합동조사단과	민관/NNG+합동/NNG+조사단/NNG+과/JC
전문가	전문가/NNG
등의	등/NNB+의/JKG
의견수렴	의견/NNG+수렴/NNG
결과를	결과/NNG+를/JKO
종합해	종합/NNG+하/XSV+아/EC
이와	이/NP+와/JKB
같은	같/VA+은/ETM
결론에	결론/NNG+에/JKB
이르렀다고	이르/VV+었/EP+다고/EC
13일	13/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.183.7.2
이번 2차 조사(추가 및 보완 조사)는 2011년 7월 사태(16명 사망, 51명 부상) 직후부터 같은 해 11월까지 실시한 1차 원인조사에 대해 피해 주민 등이 이의를 제기해 진행한 것이다.

이번	이번/NNG
2차	2/SN+차/NNB
조사(추가	조사/NNG+(/SS+추가/NNG
및	및/MAG
보완	보완/NNG
조사)는	조사/NNG+)/SS+는/JX
2011년	2011/SN+년/NNB
7월	7/SN+월/NNB
사태(16명	사태/NNG+(/SS+16/SN+명/NNB
사망,	사망/NNG+,/SP
51명	51/SN+명/NNB
부상)	부상/NNG+)/SS
직후부터	직후/NNG+부터/JX
같은	같/VA+은/ETM
해	해/NNG
11월까지	11/SN+월/NNB+까지/JX
실시한	실시/NNG+하/XSV+ㄴ/ETM
1차	1/SN+차/NNB
원인조사에	원인/NNG+조사/NNG+에/JKB
대해	대하/VV+아/EC
피해	피해/NNG
주민	주민/NNG
등이	등/NNB+이/JKS
이의를	이의/NNG+를/JKO
제기해	제기/NNG+하/XSV+아/EC
진행한	진행/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.183.7.3
1차 조사가 사고가 난 4개 지역에 국한된 반면 이번 조사는 우면산 지역 전역을 대상으로 이뤄졌다.

1차	1/SN+차/NNB
조사가	조사/NNG+가/JKS
