# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.16
metadata : {}


# id : NWRW1800000040.16.1.1
가구산업에 드리운 불황 ‘유행 재활용’으로 뚫는다

가구산업에	가구/NNG+산업/NNG+에/JKB
드리운	드리우/VV+ㄴ/ETM
불황	불황/NNG
‘유행	‘/SS+유행/NNG
재활용’으로	재/XPN+활용/NNG+’/SS+으로/JKB
뚫는다	뚫/VV+는다/EF


# id : NWRW1800000040.16.2.1
현장 l ‘이 살로니’ 가구 박람회

현장	현장/NNG
l	l/SL
‘이	‘/SS+이/NNP
살로니’	살로니/NNP+’/SS
가구	가구/NNG
박람회	박람회/NNG


# id : NWRW1800000040.16.3.1
전시업체·참가자 모두 줄어

전시업체·참가자	전시/NNG+업체/NNG+·/SP+참가자/NNG
모두	모두/MAG
줄어	줄/VV+어/EF


# id : NWRW1800000040.16.4.1
경기침체 고스란히 드러내

경기침체	경기/NNG+침체/NNG
고스란히	고스란히/MAG
드러내	드러내/VV+어/EF


# id : NWRW1800000040.16.5.1
“혁신보다 변형 제품 많아져”

“혁신보다	“/SS+혁신/NNG+보다/JKB
변형	변형/NNG
제품	제품/NNG
많아져”	많아지/VV+어/EF+”/SS


# id : NWRW1800000040.16.6.1
세계 최대 가구 박람회 ‘이(i) 살로니 2013’이 9일(현지시각) 이탈리아 밀라노에서 개막했다.

세계	세계/NNG
최대	최대/NNG
가구	가구/NNG
박람회	박람회/NNG
‘이(i)	‘/SS+이/NNP+(/SS+i/SL+)/SS
살로니	살로니/NNP
2013’이	2013/SN+’/SS+이/JKS
9일(현지시각)	9/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
이탈리아	이탈리아/NNP
밀라노에서	밀라노/NNP+에서/JKB
개막했다.	개막/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.16.6.2
14일까지 진행되는 이번 박람회는 세계 경제위기 속에서 분투하고 있는 가구 산업의 현실을 고스란히 드러냈다.

14일까지	14/SN+일/NNB+까지/JX
진행되는	진행/NNG+되/XSV+는/ETM
이번	이번/NNG
박람회는	박람회/NNG+는/JX
세계	세계/NNG
경제위기	경제/NNG+위기/NNG
속에서	속/NNG+에서/JKB
분투하고	분투/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
가구	가구/NNG
산업의	산업/NNG+의/JKG
현실을	현실/NNG+을/JKO
고스란히	고스란히/MAG
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.16.7.1
이날 세계 가구업계 주요 핵심 관계자들이 이탈리아 밀라노 중심에서 북서쪽으로 20㎞가량 떨어진 로 지역의 20만㎡ 규모 전시관 ‘밀라노 페어그라운드’에 속속 모여들었다.

이날	이날/NNG
세계	세계/NNG
가구업계	가구업/NNG+계/XSN
주요	주요/NNG
핵심	핵심/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
이탈리아	이탈리아/NNP
밀라노	밀라노/NNP
중심에서	중심/NNG+에서/JKB
북서쪽으로	북서쪽/NNG+으로/JKB
20㎞가량	20/SN+㎞/SW+가량/XSN
떨어진	떨어지/VV+ㄴ/ETM
로	로/NNP
지역의	지역/NNG+의/JKG
20만㎡	20/SN+만/NR+㎡/SW
규모	규모/NNG
전시관	전시관/NNG
‘밀라노	‘/SS+밀라노/NNP
페어그라운드’에	페어그라운드/NNG+’/SS+에/JKB
속속	속속/MAG
모여들었다.	모여들/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.16.7.2
17년가량 이 박람회를 매년 찾아온 안성호 에이스침대 대표는 “(가구 선진국 가운데) 독일이나 북유럽은 디자인의 경향이 10년 단위로 천천히 바뀐다.

17년가량	17/SN+년/NNB+가량/XSN
이	이/MMD
박람회를	박람회/NNG+를/JKO
매년	매년/MAG
찾아온	찾아오/VV+ㄴ/ETM
안성호	안성호/NNP
에이스침대	에이스침대/NNP
대표는	대표/NNG+는/JX
“(가구	“/SS+(/SS+가구/NNG
선진국	선진국/NNG
가운데)	가운데/NNG+)/SS
독일이나	독일/NNP+이나/JC
북유럽은	북유럽/NNP+은/JX
디자인의	디자인/NNG+의/JKG
경향이	경향/NNG+이/JKS
10년	10/SN+년/NNB
단위로	단위/NNG+로/JKB
천천히	천천히/MAG
바뀐다.	바뀌/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.16.7.3
이탈리아는 가장 트렌드에 민감하기 때문에 세계가 밀라노 가구 박람회를 주목하는 것”이라고 말했다.

이탈리아는	이탈리아/NNP+는/JX
가장	가장/MAG
트렌드에	트렌드/NNG+에/JKB
