# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.105
metadata : {}


# id : NWRW1800000029.105.1.1
삼성 제친 현대차그룹, 순익 1위?

삼성	삼성/NNP
제친	제치/VV+ㄴ/ETM
현대차그룹,	현대차그룹/NNP+,/SP
순익	순익/NNG
1위?	1/SN+위/NNB+?/SF


# id : NWRW1800000029.105.1.2
쉿!

쉿!	쉿/IC+!/SF


# id : NWRW1800000029.105.2.1
《 올해 현대자동차그룹의 연간 순이익 규모가 삼성그룹을 추월할 것이 확실시된다.

《	《/SS
올해	올해/NNG
현대자동차그룹의	현대자동차그룹/NNP+의/JKG
연간	연간/NNG
순이익	순이익/NNG
규모가	규모/NNG+가/JKS
삼성그룹을	삼성그룹/NNP+을/JKO
추월할	추월/NNG+하/XSV+ㄹ/ETM
것이	것/NNB+이/JKS
확실시된다.	확실시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.105.2.2
재계 부동의 1위인 삼성그룹을 현대차그룹이 매출액 영업이익 순이익 등 어느 한 지표에서 앞선 것은 2000년 범현대가(家)에서 분리된 이후 처음이다.

재계	재계/NNG
부동의	부동/NNG+의/JKG
1위인	1/SN+위/NNB+이/VCP+ㄴ/ETM
삼성그룹을	삼성그룹/NNP+을/JKO
현대차그룹이	현대차그룹/NNP+이/JKS
매출액	매출액/NNG
영업이익	영업/NNG+이익/NNG
순이익	순이익/NNG
등	등/NNB
어느	어느/MMD
한	한/MMN
지표에서	지표/NNG+에서/JKB
앞선	앞서/VV+ㄴ/ETM
것은	것/NNB+은/JX
2000년	2000/SN+년/NNB
범현대가(家)에서	범/XPN+현대가/NNG+(/SS+家/SH+)/SS+에서/JKB
분리된	분리/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.105.2.3
하지만 내년에는 정보기술(IT) 업종 전망이 밝은 편이어서 삼성그룹과 현대차그룹의 순이익이 재역전될 것이라는 전망이 많다.》

하지만	하지만/MAJ
