# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.276
metadata : {}


# id : NWRW1800000032.276.1.1
‘벤츠 여검사’ 본격 수사

‘벤츠	‘/SS+벤츠/NNP
여검사’	여검사/NNG+’/SS
본격	본격/NNG
수사	수사/NNG


# id : NWRW1800000032.276.2.1
“법무법인 소유 외제차 타고, 명품가방 받고…”

“법무법인	“/SS+법무/NNG+법인/NNG
소유	소유/NNG
외제차	외제/NNG+차/NNG
타고,	타/VV+고/EC+,/SP
명품가방	명품/NNG+가방/NNG
받고…”	받/VV+고/EC+…/SE+”/SS


# id : NWRW1800000032.276.3.1
전직검사 고발 진정서 접수 부산지검 전담수사팀 꾸려

전직검사	전직/NNG+검사/NNG
고발	고발/NNG
진정서	진정서/NNG
접수	접수/NNG
부산지검	부산지검/NNP
전담수사팀	전담/NNG+수사/NNG+팀/NNG
꾸려	꾸리/VV+어/EF


# id : NWRW1800000032.276.4.1
전직 여성 검사가 검사로 재직하던 때 친분이 있는 변호사가 운영하는 법무법인의 외제 승용차를 무상으로 이용하고 이 변호사한테서 값비싼 ‘명품 가방’ 등을 받았다는 진정이 접수돼 검찰이 전담 수사팀을 꾸려 수사에 나섰다.

전직	전직/NNG
여성	여성/NNG
검사가	검사/NNG+가/JKS
검사로	검사/NNG+로/JKB
재직하던	재직/NNG+하/XSV+던/ETM
때	때/NNG
친분이	친분/NNG+이/JKS
있는	있/VA+는/ETM
변호사가	변호사/NNG+가/JKS
운영하는	운영/NNG+하/XSV+는/ETM
법무법인의	법무/NNG+법인/NNG+의/JKG
외제	외제/NNG
승용차를	승용차/NNG+를/JKO
무상으로	무상/NNG+으로/JKB
이용하고	이용/NNG+하/XSV+고/EC
이	이/MMD
변호사한테서	변호사/NNG+한테서/JKB
값비싼	값비싸/VA+ㄴ/ETM
‘명품	‘/SS+명품/NNG
가방’	가방/NNG+’/SS
등을	등/NNB+을/JKO
받았다는	받/VV+았/EP+다는/ETM
진정이	진정/NNG+이/JKS
접수돼	접수/NNG+되/XSV+어/EC
검찰이	검찰/NNG+이/JKS
전담	전담/NNG
수사팀을	수사/NNG+팀/NNG+을/JKO
꾸려	꾸리/VV+어/EC
수사에	수사/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.276.5.1
부산지방검찰청은 29일 검사 3명과 수사관 10여명으로 수사팀을 꾸려, 지난 18일 사표를 낸 여성 검사 ㄱ(36)씨가 부장판사 출신 변호사 ㄴ(49)씨에게서 벤츠 승용차와 500만원대의 샤넬 손가방을 제공받았다는 진정에 따라 검사가 직무와 관련해 위법을 저질렀는지를 수사하고 있다고 밝혔다.

부산지방검찰청은	부산지방검찰청/NNP+은/JX
29일	29/SN+일/NNB
검사	검사/NNG
3명과	3/SN+명/NNB+과/JC
수사관	수사관/NNG
10여명으로	10/SN+여/XSN+명/NNB+으로/JKB
수사팀을	수사/NNG+팀/NNG+을/JKO
꾸려,	꾸리/VV+어/EC+,/SP
지난	지나/VV+ㄴ/ETM
18일	18/SN+일/NNB
사표를	사표/NNG+를/JKO
낸	내/VV+ㄴ/ETM
여성	여성/NNG
ㄱ(36)씨가	ㄱ/NNG+(/SS+36/SN+)/SS+씨/NNB+가/JKS
부장판사	부장/NNG+판사/NNG
출신	출신/NNG
변호사	변호사/NNG
ㄴ(49)씨에게서	ㄴ/NNG+(/SS+49/SN+)/SS+씨/NNB+에게서/JKB
벤츠	벤츠/NNP
승용차와	승용차/NNG+와/JC
500만원대의	500/SN+만/NR+원/NNB+대/XSN+의/JKG
샤넬	샤넬/NNP
손가방을	손가방/NNG+을/JKO
제공받았다는	제공/NNG+받/XSV+았/EP+다는/ETM
진정에	진정/NNG+에/JKB
따라	따르/VV+아/EC
검사가	검사/NNG+가/JKS
직무와	직무/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
위법을	위법/NNG+을/JKO
저질렀는지를	저지르/VV+었/EP+는지/EF+를/JKO
수사하고	수사/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.276.6.1
검찰이 수사에 나선 것은 변호사 ㄴ씨와 한때 친했던 것으로 알려진 또다른 여성 ㄷ(39)씨가 지난 7월 대검찰청에 진정서를 낸 데 따른 것이다.

검찰이	검찰/NNG+이/JKS
수사에	수사/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것은	것/NNB+은/JX
변호사	변호사/NNG
ㄴ씨와	ㄴ/NNG+씨/NNB+와/JKB
한때	한때/MAG
친했던	친하/VA+았/EP+던/ETM
것으로	것/NNB+으로/JKB
알려진	알려지/VV+ㄴ/ETM
또다른	또/MAG+다른/MMD
여성	여성/NNG
ㄷ(39)씨가	ㄷ/NNG+(/SS+39/SN+)/SS+씨/NNB+가/JKS
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
대검찰청에	대/XPN+검찰청/NNG+에/JKB
진정서를	진정서/NNG+를/JKO
낸	내/VV+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.276.6.2
ㄷ씨는 진정서에서 “ㄴ씨가 사건 청탁 명목으로 ㄱ씨한테 벤츠 승용차와 명품 샤넬 가방 등을 제공했다. 또 ㄴ씨가 부장판사와 검사장 등을 상대로 로비를 벌인다는 명목으로 돈을 요구해 수표로 1000만원을 건넸다”고 주장했다.

ㄷ씨는	ㄷ/NNG+씨/NNB+는/JX
진정서에서	진정서/NNG+에서/JKB
“ㄴ씨가	“/SS+ㄴ/NNG+씨/NNB+가/JKS
사건	사건/NNG
청탁	청탁/NNG
명목으로	명목/NNG+으로/JKB
ㄱ씨한테	ㄱ/NNG+씨/NNB+한테/JKB
벤츠	벤츠/NNP
승용차와	승용차/NNG+와/JC
명품	명품/NNG
샤넬	샤넬/NNP
가방	가방/NNG
등을	등/NNB+을/JKO
제공했다.	제공/NNG+하/XSV+았/EP+다/EF+./SF
또	또/MAG
ㄴ씨가	ㄴ/NNG+씨/NNB+가/JKS
부장판사와	부장/NNG+판사/NNG+와/JC
검사장	검사장/NNG
상대로	상대/NNG+로/JKB
로비를	로비/NNG+를/JKO
벌인다는	벌이/VV+ㄴ다는/ETM
돈을	돈/NNG+을/JKO
요구해	요구/NNG+하/XSV+아/EC
수표로	수표/NNG+로/JKB
1000만원을	1000/SN+만/NR+원/NNB+을/JKO
건넸다”고	건네/VV+었/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.276.7.1
ㄷ씨는 지난해 9~12월 ㄱ씨와 ㄴ씨가 주고받은 휴대전화 문자메시지 내용도 검찰에 제출했다.

ㄷ씨는	ㄷ/NNG+씨/NNB+는/JX
지난해	지난해/NNG
9~12월	9/SN+~/SO+12/SN+월/NNB
ㄱ씨와	ㄱ/NNG+씨/NNB+와/JC
ㄴ씨가	ㄴ/NNG+씨/NNB+가/JKS
주고받은	주고받/VV+은/ETM
휴대전화	휴대/NNG+전화/NNG
문자메시지	문자/NNG+메시지/NNG
내용도	내용/NNG+도/JX
검찰에	검찰/NNG+에/JKB
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.276.7.2
중국 현지에 주상복합건물을 지으려던 ㄴ씨가 횡령 혐의로 고소한 사람이 처벌받도록 해달라고 ㄱ씨한테 부탁하자, ㄱ씨가 이 사건을 맡은 사법연수원 동기인 검사한테 부탁하고 이어 ㄴ씨한테 샤넬 가방 구입비 540만원을 요구했다는 것이다.

중국	중국/NNP
현지에	현지/NNG+에/JKB
주상복합건물을	주상/NNG+복합/NNG+건물/NNG+을/JKO
지으려던	짓/VV+으려던/ETM
ㄴ씨가	ㄴ/NNG+씨/NNB+가/JKS
횡령	횡령/NNG
혐의로	혐의/NNG+로/JKB
고소한	고소/NNG+하/XSV+ㄴ/ETM
사람이	사람/NNG+이/JKS
처벌받도록	처벌/NNG+받/XSV+도록/EC
해달라고	하/VX+아/EC+달/VX+라고/EC
ㄱ씨한테	ㄱ/NNG+씨/NNB+한테/JKB
부탁하자,	부탁/NNG+하/XSV+자/EC+,/SP
ㄱ씨가	ㄱ/NNG+씨/NNB+가/JKS
이	이/MMD
사건을	사건/NNG+을/JKO
맡은	맡/VV+은/ETM
사법연수원	사법/NNG+연수원/NNG
동기인	동기/NNG+이/VCP+ㄴ/ETM
검사한테	검사/NNG+한테/JKB
부탁하고	부탁/NNG+하/XSV+고/EC
이어	이어/MAG
ㄴ씨한테	ㄴ/NNG+씨/NNB+한테/JKB
샤넬	샤넬/NNP
가방	가방/NNG
구입비	구입비/NNG
540만원을	540/SN+만/NR+원/NNB+을/JKO
요구했다는	요구/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.276.8.1
대검으로부터 진정을 넘겨받은 부산지검은 이달 들어 ㄴ씨를 2~3차례 불러 조사했다.

대검으로부터	대검/NNG+으로부터/JKB
진정을	진정/NNG+을/JKO
넘겨받은	넘겨받/VV+은/ETM
부산지검은	부산지검/NNP+은/JX
이달	이달/NNG
들어	들/VV+어/EC
ㄴ씨를	ㄴ/NNG+씨/NNB+를/JKO
2~3차례	2/SN+~/SO+3/SN+차례/NNG
불러	부르/VV+어/EC
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.276.8.2
ㄴ씨는 검찰에서 “ㄱ씨에겐 법조계 선배로서 조언해주는 사이로서 벤츠를 제공한 사실이 없고, ㄷ씨로부터 받은 수표 1000만원은 수임료”라고 주장했다.

ㄴ씨는	ㄴ/NNG+씨/NNB+는/JX
검찰에서	검찰/NNG+에서/JKB
“ㄱ씨에겐	“/SS+ㄱ/NNG+씨/NNB+에게/JKB+ㄴ/JX
법조계	법조/NNG+계/XSN
선배로서	선배/NNG+로서/JKB
조언해주는	조언/NNG+하/XSV+아/EC+주/VX+는/ETM
사이로서	사이/NNG+로서/JKB
벤츠를	벤츠/NNP+를/JKO
제공한	제공/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
없고,	없/VA+고/EC+,/SP
ㄷ씨로부터	ㄷ/NNG+씨/NNB+로부터/JKB
받은	받/VV+은/ETM
수표	수표/NNG
1000만원은	1000/SN+만/NR+원/NNB+은/JX
수임료”라고	수임료/NNG+”/SS+라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.276.8.3
