# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.280
metadata : {}


# id : NWRW1800000046.280.1.1
[트렌드 돋보기] '禁書(금서)'를 읽지 않을 권리

[트렌드	[/SS+트렌드/NNG
돋보기]	돋보기/NNG+]/SS
'禁書(금서)'를	'/SS+禁書/SH+(/SS+금서/NNG+)/SS+'/SS+를/JKO
읽지	읽/VV+지/EC
않을	않/VX+을/ETM
권리	권리/NNG


# id : NWRW1800000046.280.2.1
'바람직한 독서 문화를 위한 시민연대'라는 곳에서 9월 첫 주를 '금서(禁書) 읽기 주간'으로 선포하고 전국 공공·학교 도서관 등에서 금서 읽기 캠페인을 벌이고 있다.

'바람직한	'/SS+바람직하/VA+ㄴ/ETM
독서	독서/NNG
문화를	문화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
시민연대'라는	시민/NNG+연대/NNG+'/SS+이/VCP+라는/ETM
곳에서	곳/NNG+에서/JKB
9월	9/SN+월/NNB
첫	첫/MMN
주를	주/NNG+를/JKO
'금서(禁書)	'/SS+금서/NNG+(/SS+禁書/SH+)/SS
읽기	읽/VV+기/ETN
주간'으로	주간/NNG+'/SS+으로/JKB
선포하고	선포/NNG+하/XSV+고/EC
전국	전국/NNG
공공·학교	공공/NNG+·/SP+학교/NNG
도서관	도서관/NNG
등에서	등/NNB+에서/JKB
금서	금서/NNG
캠페인을	캠페인/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.280.2.2
읽을 금서로 선정된 40여권의 책 목록을 보고 의아했다.

읽을	읽/VV+을/ETM
금서로	금서/NNG+로/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
40여권의	40/SN+여/XSN+권/NNB+의/JKG
책	책/NNG
목록을	목록/NNG+을/JKO
보고	보/VV+고/EC
의아했다.	의아/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000046.280.2.3
역사상 금서였던 책이 포함되긴 했지만 법으로 유통이 금지된 책은 단 한 권도 없기 때문이다.

역사상	역사/NNG+상/XSN
금서였던	금서/NNG+이/VCP+었/EP+던/ETM
책이	책/NNG+이/JKS
포함되긴	포함/NNG+되/XSV+기/ETN+ㄴ/JX
했지만	하/VX+았/EP+지만/EC
법으로	법/NNG+으로/JKB
유통이	유통/NNG+이/JKS
금지된	금지/NNG+되/XSV+ㄴ/ETM
책은	책/NNG+은/JX
단	단/MMA
한	한/MMN
권도	권/NNB+도/JX
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.280.2.4
그도 그럴 것이 유해 간행물 지정 업무를 맡은 간행물윤리위원회는 도색 잡지나 반(反)인륜적 범죄를 조장하는 서적만 단속한다.

그도	그/NP+도/JX
그럴	그렇/VA+ㄹ/ETM
것이	것/NNB+이/JKS
유해	유해/NNG
간행물	간행물/NNG
지정	지정/NNG
업무를	업무/NNG+를/JKO
맡은	맡/VV+은/ETM
간행물윤리위원회는	간행물/NNG+윤리/NNG+위원회/NNG+는/JX
도색	도색/NNG
잡지나	잡지/NNG+나/JC
반(反)인륜적	반/XPN+(/SS+反/SH+)/SS+인륜/NNG+적/XSN
범죄를	범죄/NNG+를/JKO
조장하는	조장/NNG+하/XSV+는/ETM
서적만	서적/NNG+만/JX
단속한다.	단속/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.280.2.5
간윤 관계자는 "사회과학 서적이나 이념·역사 서적은 사실상 심사하지 않는다"고 말했다.

간윤	간윤/NNG
관계자는	관계자/NNG+는/JX
"사회과학	"/SS+사회/NNG+과학/NNG
서적이나	서적/NNG+이나/JC
이념·역사	이념/NNG+·/SP+역사/NNG
서적은	서적/NNG+은/JX
사실상	사실/NNG+상/XSN
심사하지	심사/NNG+하/XSV+지/EC
않는다"고	않/VX+는다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.280.3.1
지난 5월 '청년지식인포럼 스토리K'라는 단체가 '정부 및 교육청 산하 전국 도서관 어린이·청소년 근현대사 추천 도서 모니터링' 결과를 발표하면서 비전향 장기수의 일대기를 다룬 '나는 공산주의자다' 등 12종을 좌편향 도서로 지목했다.

지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
'청년지식인포럼	'/SS+청년/NNG+지식인/NNG+포럼/NNG
스토리K'라는	스토리K/NNP+'/SS+이/VCP+라는/ETM
단체가	단체/NNG+가/JKS
'정부	'/SS+정부/NNG
및	및/MAG
교육청	교육청/NNG
산하	산하/NNG
전국	전국/NNG
도서관	도서관/NNG
어린이·청소년	어린이/NNG+·/SP+청소년/NNG
근현대사	근현대사/NNG
추천	추천/NNG
도서	도서/NNG
모니터링'	모니터링/NNG+'/SS
결과를	결과/NNG+를/JKO
발표하면서	발표/NNG+하/XSV+면서/EC
비전향	비/XPN+전향/NNG
장기수의	장기수/NNG+의/JKG
일대기를	일대기/NNG+를/JKO
다룬	다루/VV+ㄴ/ETM
'나는	'/SS+나/NP+는/JX
공산주의자다'	공산주의자/NNG+이/VCP+다/EF+'/SS
등	등/NNB
12종을	12/SN+종/NNG+을/JKO
좌편향	좌편향/NNG
도서로	도서/NNG+로/JKB
지목했다.	지목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.280.3.2
이에 문화체육관광부가 각 시·도 교육청에 추천 도서 선정 기준과 방법을 공개하라고 요구했고, 경기도교육청은 문제가 된 책의 추천을 철회하려 했다.

이에	이/NP+에/JKB
문화체육관광부가	문화/NNG+체육/NNG+관광부/NNG+가/JKS
각	각/MMD
시·도	시·도/NNG
교육청에	교육청/NNG+에/JKB
추천	추천/NNG
도서	도서/NNG
선정	선정/NNG
기준과	기준/NNG+과/JC
방법을	방법/NNG+을/JKO
공개하라고	공개/NNG+하/XSV+라고/EC
요구했고,	요구/NNG+하/XSV+았/EP+고/EC+,/SP
경기도교육청은	경기도교육청/NNP+은/JX
문제가	문제/NNG+가/JKC
된	되/VV+ㄴ/ETM
책의	책/NNG+의/JKG
추천을	추천/NNG+을/JKO
철회하려	철회/NNG+하/XSV+려/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.280.3.3
그러자 일부 도서관 사서들이 "도서관의 자율성과 독서의 자유를 침해하는 부당 검열"이라고 반발했다.

그러자	그러/VV+자/EC
일부	일부/NNG
도서관	도서관/NNG
사서들이	사서/NNG+들/XSN+이/JKS
"도서관의	"/SS+도서관/NNG+의/JKG
자율성과	자율/NNG+성/XSN+과/JC
독서의	독서/NNG+의/JKG
자유를	자유/NNG+를/JKO
침해하는	침해/NNG+하/XSV+는/ETM
부당	부당/NNG
검열"이라고	검열/NNG+"/SS+이라고/JKQ
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.280.3.4
이번 금서 읽기 행사는 이런 항의의 연장선상에 있다.

이번	이번/NNG
금서	금서/NNG
읽기	읽/VV+기/ETN
행사는	행사/NNG+는/JX
이런	이런/MMD
항의의	항의/NNG+의/JKG
연장선상에	연장선/NNG+상/XSN+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.280.4.1
이들은 지난 7월 국회에서 공청회를 열고 '국가권력은 독서의 자유, 도서관의 자유를 침해하지 말라'는 성명서도 발표했다.

이들은	이/NP+들/XSN+은/JX
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
국회에서	국회/NNG+에서/JKB
공청회를	공청회/NNG+를/JKO
열고	열/VV+고/EC
'국가권력은	'/SS+국가/NNG+권력/NNG+은/JX
독서의	독서/NNG+의/JKG
자유,	자유/NNG+,/SP
도서관의	도서관/NNG+의/JKG
자유를	자유/NNG+를/JKO
침해하지	침해/NNG+하/XSV+지/EC
말라'는	말/VX+라/EF+'/SS+는/ETM
성명서도	성명서/NNG+도/JX
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.280.4.2
하지만 엄밀히 말하자면 이들이 주장하는 것은 '사서 입맛대로 책을 추천할 자유'다.

하지만	하지만/MAJ
엄밀히	엄밀히/MAG
말하자면	말/NNG+하/XSV+자면/EC
이들이	이/NP+들/XSN+이/JKS
주장하는	주장/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
'사서	'/SS+사서/NNG
입맛대로	입맛/NNG+대로/JX
책을	책/NNG+을/JKO
추천할	추천/NNG+하/XSV+ㄹ/ETM
자유'다.	자유/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.280.4.3
