# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.348
metadata : {}


# id : NWRW1800000054.348.1.1
'특검 연장법' 國會처리 사실상 무산

'특검	'/SS+특검/NNG
연장법'	연장법/NNG+'/SS
國會처리	國會/SH+처리/NNG
사실상	사실/NNG+상/XSN
무산	무산/NNG


# id : NWRW1800000054.348.2.1
野4당 특검 연장 합의했지만… 정세균 의장·권성동 법사위장 "여야 합의 없인 통과 어렵다"

野4당	野/SH+4/SN+당/NNG
특검	특검/NNG
연장	연장/NNG
합의했지만…	합의/NNG+하/XSV+았/EP+지만/EC+…/SE
정세균	정세균/NNP
의장·권성동	의장/NNG+·/SP+권성동/NNP
법사위장	법사위장/NNG
"여야	"/SS+여야/NNG
합의	합의/NNG
없인	없이/MAG+ㄴ/JX
통과	통과/NNG
어렵다"	어렵/VA+다/EF+"/SS


# id : NWRW1800000054.348.3.1
'최순실 사건 특별검사'의 활동 기간을 연장하기 위한 법안의 국회 통과가 21일 사실상 무산됐다.

'최순실	'/SS+최순실/NNP
사건	사건/NNG
특별검사'의	특별/NNG+검사/NNG+'/SS+의/JKG
활동	활동/NNG
기간을	기간/NNG+을/JKO
연장하기	연장/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
법안의	법안/NNG+의/JKG
국회	국회/NNG
통과가	통과/NNG+가/JKS
21일	21/SN+일/NNB
사실상	사실/NNG+상/XSN
무산됐다.	무산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.348.3.2
이에 따라 특검 수사는 법정 시한인 오는 28일로 종료될 가능성이 커졌다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
특검	특검/NNG
수사는	수사/NNG+는/JX
법정	법정/NNG
시한인	시한/NNG+이/VCP+ㄴ/ETM
오는	오/VV+는/ETM
28일로	28/SN+일/NNB+로/JKB
종료될	종료/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.348.4.1
더불어민주당·국민의당·바른정당·정의당 등 야(野) 4당은 박영수 특검팀의 활동 기간 연장을 위한 법 개정을 추진했지만, 법안 통과의 열쇠를 쥐고 있는 권성동 국회 법사위원장과 정세균 국회의장은 이날 한목소리로 "여야 합의 없이는 새 특검법을 통과시키기 어렵다"고 밝혔다.

더불어민주당·국민의당·바른정당·정의당	더불어민주당/NNP+·/SP+국민의당/NNP+·/SP+바른정당/NNP+·/SP+정의당/NNP
등	등/NNB
야(野)	야/NNG+(/SS+野/SH+)/SS
4당은	4/SN+당/NNG+은/JX
박영수	박영수/NNP
특검팀의	특검/NNG+팀/NNG+의/JKG
활동	활동/NNG
기간	기간/NNG
연장을	연장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
법	법/NNG
개정을	개정/NNG+을/JKO
추진했지만,	추진/NNG+하/XSV+았/EP+지만/EC+,/SP
법안	법안/NNG
통과의	통과/NNG+의/JKG
열쇠를	열쇠/NNG+를/JKO
쥐고	쥐/VV+고/EC
있는	있/VX+는/ETM
권성동	권성동/NNP
국회	국회/NNG
법사위원장과	법사위원장/NNG+과/JC
정세균	정세균/NNP
국회의장은	국회/NNG+의장/NNG+은/JX
이날	이날/NNG
한목소리로	한목소리/NNG+로/JKB
"여야	"/SS+여야/NNG
합의	합의/NNG
없이는	없이/MAG+는/JX
새	새/MMA
특검법을	특검법/NNG+을/JKO
통과시키기	통과/NNG+시키/XSV+기/ETN
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.348.4.2
여당인 자유한국당은 당론(黨論)으로 특검 연장을 반대하고 있다.

여당인	여당/NNG+이/VCP+ㄴ/ETM
자유한국당은	자유한국당/NNP+은/JX
당론(黨論)으로	당론/NNG+(/SS+黨論/SH+)/SS+으로/JKB
특검	특검/NNG
연장을	연장/NNG+을/JKO
반대하고	반대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.348.4.3
기존 특검법에 따라 황교안 대통령 권한대행이 활동 기간을 연장해줄 수는 있지만 청와대와 총리실에선 "그럴 가능성은 거의 없다"고 하고 있다.

기존	기존/NNG
특검법에	특검법/NNG+에/JKB
따라	따르/VV+아/EC
황교안	황교안/NNP
대통령	대통령/NNG
권한대행이	권한/NNG+대행/NNG+이/JKS
활동	활동/NNG
기간을	기간/NNG+을/JKO
연장해줄	연장/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
수는	수/NNB+는/JX
있지만	있/VA+지만/EC
청와대와	청와대/NNP+와/JC
