# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.332
metadata : {}


# id : NWRW1800000044.332.1.1
감사원장 “카드사태 감사 적극 검토”

감사원장	감사원장/NNG
“카드사태	“/SS+카드/NNG+사태/NNG
감사	감사/NNG
적극	적극/NNG
검토”	검토/NNG+”/SS


# id : NWRW1800000044.332.2.1
[한겨레] “신용사회에 큰 해를 끼친 사건”

[한겨레]	[/SS+한겨레/NNP+]/SS
“신용사회에	“/SS+신용/NNG+사회/NNG+에/JKB
큰	크/VA+ㄴ/ETM
해를	해/NNG+를/JKO
끼친	끼치/VV+ㄴ/ETM
사건”	사건/NNG+”/SS


# id : NWRW1800000044.332.3.1
감사원이 카드사 개인정보 유출 사태에 대한 감사를 적극 검토하겠다고 밝혔다.

감사원이	감사원/NNG+이/JKS
카드사	카드사/NNG
개인정보	개인/NNG+정보/NNG
유출	유출/NNG
사태에	사태/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
감사를	감사/NNG+를/JKO
적극	적극/NNG
검토하겠다고	검토/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.332.4.1
황찬현 감사원장은 27일 신년 기자간담회에서 “언론을 통해 2월 초 시민단체가 카드 사태에 대해 공익 감사를 청구할 예정이라고 들었다.

황찬현	황찬현/NNP
감사원장은	감사원장/NNG+은/JX
27일	27/SN+일/NNB
신년	신년/NNG
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
“언론을	“/SS+언론/NNG+을/JKO
통해	통하/VV+아/EC
2월	2/SN+월/NNB
초	초/NNB
시민단체가	시민/NNG+단체/NNG+가/JKS
카드	카드/NNG
사태에	사태/NNG+에/JKB
대해	대하/VV+아/EC
공익	공익/NNG
감사를	감사/NNG+를/JKO
청구할	청구/NNG+하/XSV+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.332.4.2
감사 청구가 들어오면 면밀히 검토해 감사 개시 여부를 적극 검토하겠다”고 말했다.

감사	감사/NNG
청구가	청구/NNG+가/JKS
들어오면	들어오/VV+면/EC
면밀히	면밀히/MAG
검토해	검토/NNG+하/XSV+아/EC
개시	개시/NNG
여부를	여부/NNG+를/JKO
적극	적극/NNG
검토하겠다”고	검토/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.332.4.3
황 원장은 “카드 사태는 신용 사회에 큰 해를 끼친 사건으로, 감사원으로서는 현재 진행하는 수사와 정부 당국의 수습책을 적극적으로 모니터링하고 있다”고 밝혔다.

황	황/NNP
원장은	원장/NNG+은/JX
“카드	“/SS+카드/NNG
사태는	사태/NNG+는/JX
신용	신용/NNG
사회에	사회/NNG+에/JKB
큰	크/VA+ㄴ/ETM
해를	해/NNG+를/JKO
끼친	끼치/VV+ㄴ/ETM
사건으로,	사건/NNG+으로/JKB+,/SP
감사원으로서는	감사원/NNG+으로서/JKB+는/JX
현재	현재/MAG
진행하는	진행/NNG+하/XSV+는/ETM
수사와	수사/NNG+와/JC
정부	정부/NNG
당국의	당국/NNG+의/JKG
수습책을	수습책/NNG+을/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
모니터링하고	모니터링/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.332.4.4
감사원장이 감사 청구도 이뤄지기 전에 감사를 적극 검토하겠다고 밝힌 것은 이례적이다.

감사원장이	감사원장/NNG+이/JKS
감사	감사/NNG
청구도	청구/NNG+도/JX
이뤄지기	이뤄지/VV+기/ETN
전에	전/NNG+에/JKB
감사를	감사/NNG+를/JKO
적극	적극/NNG
검토하겠다고	검토/NNG+하/XSV+겠/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
것은	것/NNB+은/JX
이례적이다.	이례/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000044.332.4.5
그만큼 사안을 심각하게 보고 있다는 뜻이다.

그만큼	그만큼/MAG
사안을	사안/NNG+을/JKO
심각하게	심각하/VA+게/EC
보고	보/VV+고/EC
있다는	있/VX+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.332.5.1
