# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.252
metadata : {}


# id : NWRW1800000052.252.1.1
스폰서 파문이 들추는 ‘검사들의 리그’

스폰서	스폰서/NNG
파문이	파문/NNG+이/JKS
들추는	들추/VV+는/ETM
‘검사들의	‘/SS+검사/NNG+들/XSN+의/JKG
리그’	리그/NNG+’/SS


# id : NWRW1800000052.252.2.1
대검, 현직검사 10여명 무더기 조사 ‘초유 사태’

대검,	대검/NNG+,/SP
현직검사	현직/NNG+검사/NNG
10여명	10/SN+여/XSN+명/NNB
무더기	무더기/NNG
조사	조사/NNG
‘초유	‘/SS+초유/NNG
사태’	사태/NNG+’/SS


# id : NWRW1800000052.252.3.1
조사결과 따라 대규모 감찰 이어질 가능성

조사결과	조사/NNG+결과/NNG
따라	따르/VV+아/EC
대규모	대/XPN+규모/NNG
감찰	감찰/NNG
이어질	이어지/VV+ㄹ/ETM
가능성	가능/NNG+성/XSN


# id : NWRW1800000052.252.4.1
김형준 부장검사 남부지검 수사단장 때

김형준	김형준/NNP
부장검사	부장/NNG+검사/NNG
남부지검	남부지검/NNP
수사단장	수사단장/NNG
때	때/NNG


# id : NWRW1800000052.252.5.1
계좌빌려준 변호사 피의자 사건도 조사

계좌빌려준	계좌/NNG+빌려주/VV+ㄴ/ETM
변호사	변호사/NNG
피의자	피의자/NNG
사건도	사건/NNG+도/JX
조사	조사/NNG


# id : NWRW1800000052.252.6.1
검찰이 ‘스폰서 의혹’을 받고 있는 김형준(46) 부장검사의 수사 무마 청탁 의혹에 대해 본격조사에 나서면서 현직 검사들이 무더기 조사를 받는 초유의 사태가 벌어졌다.

검찰이	검찰/NNG+이/JKS
‘스폰서	‘/SS+스폰서/NNG
의혹’을	의혹/NNG+’/SS+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
김형준(46)	김형준/NNP+(/SS+46/SN+)/SS
부장검사의	부장/NNG+검사/NNG+의/JKG
수사	수사/NNG
무마	무마/NNG
청탁	청탁/NNG
의혹에	의혹/NNG+에/JKB
대해	대하/VV+아/EC
본격조사에	본격/NNG+조사/NNG+에/JKB
나서면서	나서/VV+면서/EC
현직	현직/NNG
검사들이	검사/NNG+들/XSN+이/JKS
무더기	무더기/NNG
조사를	조사/NNG+를/JKO
받는	받/VV+는/ETM
초유의	초유/NNG+의/JKG
사태가	사태/NNG+가/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.252.6.2
검찰은 징계를 전제로 한 감찰은 아니라고 선을 그었지만 조사 결과에 따라 현직 검사들에 대한 대규모 감찰로 이어질 가능성도 배제할 수 없다.

검찰은	검찰/NNG+은/JX
징계를	징계/NNG+를/JKO
전제로	전제/NNG+로/JKB
한	하/VV+ㄴ/ETM
감찰은	감찰/NNG+은/JX
아니라고	아니/VCN+라고/EC
선을	선/NNG+을/JKO
그었지만	긋/VV+었/EP+지만/EC
조사	조사/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
현직	현직/NNG
검사들에	검사/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
대규모	대/XPN+규모/NNG
감찰로	감찰/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
