# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.52
metadata : {}


# id : NWRW1800000056.52.1.1
LG 새 스마트폰 ‘V30’ 3가지 관전 포인트

LG	LG/SL
새	새/MMA
스마트폰	스마트폰/NNG
‘V30’	‘/SS+V/SL+30/SN+’/SS
3가지	3/SN+가지/NNB
관전	관전/NNG
포인트	포인트/NNG


# id : NWRW1800000056.52.2.1
[한겨레] ① 스마트폰은 LG전자 ‘백조’가 될 수 있을까

[한겨레]	[/SS+한겨레/NNP+]/SS
①	①/SW
스마트폰은	스마트폰/NNG+은/JX
LG전자	LG전자/NNP
‘백조’가	‘/SS+백조/NNG+’/SS+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있을까	있/VA+을까/EF


# id : NWRW1800000056.52.3.1
② 삼성-애플 과점시장을 바꿀 수 있을까

②	②/SW
삼성-애플	삼성/NNP+-/SO+애플/NNP
과점시장을	과점/NNG+시장/NNG+을/JKO
바꿀	바꾸/VV+ㄹ/ETM
수	수/NNB
있을까	있/VA+을까/EF


# id : NWRW1800000056.52.4.1
③ 스마트폰 가격을 떨어뜨리는 계기 될까

③	③/SW
스마트폰	스마트폰/NNG
가격을	가격/NNG+을/JKO
떨어뜨리는	떨어뜨리/VV+는/ETM
계기	계기/NNG
될까	되/VV+ㄹ까/EF


# id : NWRW1800000056.52.5.1
엘지(LG)전자가 올 하반기 새 프리미엄 스마트폰 ‘V30’의 공개 일정을 확정했다.

엘지(LG)전자가	엘지/NNP+(/SS+LG/SL+)/SS+전자/NNG+가/JKS
올	올/NNG
하반기	하반기/NNG
새	새/MMA
프리미엄	프리미엄/NNG
스마트폰	스마트폰/NNG
‘V30’의	‘/SS+V/SL+30/SN+’/SS+의/JKG
공개	공개/NNG
일정을	일정/NNG+을/JKO
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.52.5.2
V30의 성공 여부는 엘지전자와 국내 소비자, 스마트폰 제조 생태계 등 세 부문에서 중요한 변곡점이 될 전망이다.

V30의	V/SL+30/SN+의/JKG
성공	성공/NNG
여부는	여부/NNG+는/JX
엘지전자와	엘지전자/NNP+와/JC
국내	국내/NNG
소비자,	소비자/NNG+,/SP
스마트폰	스마트폰/NNG
제조	제조/NNG
생태계	생태/NNG+계/XSN
등	등/NNB
세	세/MMN
부문에서	부문/NNG+에서/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
변곡점이	변곡점/NNG+이/JKC
될	되/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.52.6.1
엘지전자는 8일 전세계 미디어에 31일(현지시각) 오전 9시 독일 베를린에서 V30 공개행사를 하겠다고 초청장을 보냈다.

엘지전자는	엘지전자/NNP+는/JX
8일	8/SN+일/NNB
전세계	전/MMN+세계/NNG
미디어에	미디어/NNG+에/JKB
31일(현지시각)	31/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
오전	오전/NNG
9시	9/SN+시/NNB
독일	독일/NNP
베를린에서	베를린/NNP+에서/JKB
V30	V/SL+30/SN
공개행사를	공개/NNG+행사/NNG+를/JKO
하겠다고	하/VV+겠/EP+다고/EC
초청장을	초청장/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.52.6.2
스마트폰 업체들은 보통 초청장을 통해 새 스마트폰의 성능을 살짝 공개하는데, 엘지전자는 이번 초청장에 스마트폰 화면 속 카메라 렌즈를 형상화한 여러 겹의 은색 원형 이미지를 넣었다.

스마트폰	스마트폰/NNG
업체들은	업체/NNG+들/XSN+은/JX
보통	보통/NNG
초청장을	초청장/NNG+을/JKO
통해	통하/VV+아/EC
새	새/MMA
스마트폰의	스마트폰/NNG+의/JKG
성능을	성능/NNG+을/JKO
살짝	살짝/MAG
공개하는데,	공개/NNG+하/XSV+는데/EC+,/SP
엘지전자는	엘지전자/NNP+는/JX
이번	이번/NNG
초청장에	초청장/NNG+에/JKB
화면	화면/NNG
속	속/NNG
카메라	카메라/NNG
렌즈를	렌즈/NNG+를/JKO
형상화한	형상/NNG+화/XSN+하/XSV+ㄴ/ETM
여러	여러/MMN
겹의	겹/NNG+의/JKG
은색	은색/NNG
원형	원형/NNG
이미지를	이미지/NNG+를/JKO
넣었다.	넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.52.6.3
고성능 카메라 촬영 기능이 핵심 기능 중 하나임을 내비친 셈이다.

고성능	고/XPN+성능/NNG
카메라	카메라/NNG
촬영	촬영/NNG
기능이	기능/NNG+이/JKS
핵심	핵심/NNG
기능	기능/NNG
중	중/NNB
하나임을	하나/NR+이/VCP+ㅁ/ETN+을/JKO
내비친	내비치/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.52.6.4
엘지 전략 스마트폰 디스플레이로는 처음으로 오엘이디(OLED·유기발광다이오드)를 채택했고, 엘지 로고를 뒷면으로 빼는 등 변화도 줬다.

엘지	엘지/NNP
전략	전략/NNG
스마트폰	스마트폰/NNG
디스플레이로는	디스플레이/NNG+로/JKB+는/JX
처음으로	처음/NNG+으로/JKB
오엘이디(OLED·유기발광다이오드)를	오엘이디/NNG+(/SS+OLED/SL+·/SP+유기/NNG+발광/NNG+다이오드/NNG+)/SS+를/JKO
채택했고,	채택/NNG+하/XSV+았/EP+고/EC+,/SP
로고를	로고/NNG+를/JKO
뒷면으로	뒷면/NNG+으로/JKB
빼는	빼/VV+는/ETM
등	등/NNB
변화도	변화/NNG+도/JX
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.52.7.1
엘지전자가 심혈을 기울인 V30의 선전 여부는 향후 엘지전자뿐만 아니라 스마트폰 시장에 큰 영향을 끼칠 전망이다.

엘지전자가	엘지전자/NNP+가/JKS
심혈을	심혈/NNG+을/JKO
기울인	기울이/VV+ㄴ/ETM
V30의	V/SL+30/SN+의/JKG
선전	선전/NNG
여부는	여부/NNG+는/JX
향후	향후/NNG
엘지전자뿐만	엘지전자/NNP+뿐/JX+만/JX
아니라	아니/VCN+라/EC
스마트폰	스마트폰/NNG
시장에	시장/NNG+에/JKB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
끼칠	끼치/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.52.7.2
먼저 엘지전자에 ‘미운 오리새끼’가 돼버린 스마트폰 사업의 지속가능성이 시험대에 오를 것으로 보인다.

먼저	먼저/MAG
엘지전자에	엘지전자/NNP+에/JKB
