# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.1
metadata : {}


# id : NWRW1800000024.1.1.1
‘농익은’ 서른여섯 “황소 몰고 뛰어라” ‘물오른’ 스물넷

‘농익은’	‘/SS+농익/VV+은/ETM+’/SS
서른여섯	서른여섯/NR
“황소	“/SS+황소/NNG
몰고	몰/VV+고/EC
뛰어라”	뛰/VV+어라/EF+”/SS
‘물오른’	‘/SS+물오르/VV+ㄴ/ETM+’/SS
스물넷	스물넷/NR


# id : NWRW1800000024.1.2.1
2009년 소띠 해가 밝았다.

2009년	2009/SN+년/NNB
소띠	소띠/NNG
해가	해/NNG+가/JKS
밝았다.	밝/VA+았/EP+다/EF+./SF


# id : NWRW1800000024.1.2.2
소는 ‘광우병’ 풍파에 시달렸지만 예로부터 우직하고 충직한 동물로 꼽혀 왔다.

소는	소/NNG+는/JX
‘광우병’	‘/SS+광우병/NNG+’/SS
풍파에	풍파/NNG+에/JKB
시달렸지만	시달리/VV+었/EP+지만/EC
예로부터	예/NNG+로부터/JKB
우직하고	우직하/VA+고/EC
충직한	충직/NNG+하/XSA+ㄴ/ETM
동물로	동물/NNG+로/JKB
꼽혀	꼽히/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.1.2.3
뚝심 또한 대단하다.

뚝심	뚝심/NNG
또한	또한/MAG
대단하다.	대단하/VA+다/EF+./SF


# id : NWRW1800000024.1.2.4
이런 소처럼 겉으로는 온유해 보이나, 안으로는 옹골찬 게 소띠의 특징.

이런	이런/MMD
소처럼	소/NNG+처럼/JKB
겉으로는	겉/NNG+으로/JKB+는/JX
온유해	온유/NNG+하/XSA+아/EC
보이나,	보이/VV+나/EC+,/SP
안으로는	안/NNG+으로/JKB+는/JX
옹골찬	옹골차/VA+ㄴ/ETM
게	거/NNB+이/JKS
소띠의	소띠/NNG+의/JKG
특징.	특징/NNG+./SF


# id : NWRW1800000024.1.2.5
외유내강형의 소띠 스포츠 선수들은 누가 있을까.

외유내강형의	외유내강/NNG+형/XSN+의/JKG
소띠	소띠/NNG
스포츠	스포츠/NNG
선수들은	선수/NNG+들/XSN+은/JX
누가	누구/NP+가/JKS
있을까.	있/VA+을까/EF+./SF


# id : NWRW1800000024.1.2.6
■ 서른여섯, 잔치는 지금부터=박찬호는 시즌 뒤 친정팀인 엘에이 다저스를 떠나 필라델피아 필리스에 새 둥지를 틀었다.

■	■/SW
서른여섯,	서른여섯/NR+,/SP
잔치는	잔치/NNG+는/JX
지금부터=박찬호는	지금/NNG+부터/JX+=/SW+박찬호/NNP+는/JX
시즌	시즌/NNG
뒤	뒤/NNG
친정팀인	친정/NNG+팀/NNG+이/VCP+ㄴ/ETM
엘에이	엘에이/NNP
다저스를	다저스/NNP+를/JKO
떠나	떠나/VV+아/EC
필라델피아	필라델피아/NNP
필리스에	필리스/NNP+에/JKB
새	새/MMA
둥지를	둥지/NNG+를/JKO
틀었다.	틀/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.1.2.7
이유는 “선발로 뛰고 싶어서”였다.

이유는	이유/NNG+는/JX
“선발로	“/SS+선발/NNG+로/JKB
뛰고	뛰/VV+고/EC
싶어서”였다.	싶/VX+어서/EC+”/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.1.2.8
새해에 만 나이로 서른여섯이지만, 도전정신만은 메이저리그에 진출했던 스물한 살(1994년) 때와 달라진 게 없다.

새해에	새해/NNG+에/JKB
만	만/MMA
나이로	나이/NNG+로/JKB
서른여섯이지만,	서른여섯/NR+이/VCP+지만/EC+,/SP
도전정신만은	도전/NNG+정신/NNG+만/JX+은/JX
메이저리그에	메이저리그/NNG+에/JKB
진출했던	진출/NNG+하/XSV+았/EP+던/ETM
스물한	스물한/MMN
살(1994년)	살/NNB+(/SS+1994/SN+년/NNB+)/SS
때와	때/NNG+와/JKB
달라진	달라지/VV+ㄴ/ETM
게	거/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.1.3.1
한때 ‘코트의 귀공자’로 이름났던 우지원(울산 모비스)은 2008~2009 프로농구에서 풀타임으로 뛰지는 않으나, 고비 때마다 투입돼 시원스런 3점슛을 림에 꽂는다.

한때	한때/MAG
‘코트의	‘/SS+코트/NNG+의/JKG
귀공자’로	귀공자/NNG+’/SS+로/JKB
이름났던	이름나/VV+았/EP+던/ETM
우지원(울산	우지원/NNP+(/SS+울산/NNP
모비스)은	모비스/NNP+)/SS+은/JX
2008~2009	2008/SN+~/SO+2009/SN
프로농구에서	프로/NNG+농구/NNG+에서/JKB
풀타임으로	풀타임/NNG+으로/JKB
뛰지는	뛰/VV+지/EC+는/JX
않으나,	않/VX+으나/EC+,/SP
고비	고비/NNG
때마다	때/NNG+마다/JX
투입돼	투입/NNG+되/XSV+어/EC
시원스런	시원스럽/VA+ㄴ/ETM
3점슛을	3/SN+점/NNB+슛/NNG+을/JKO
림에	림/NNG+에/JKB
꽂는다.	꽂/VV+는다/EF+./SF


# id : NWRW1800000024.1.3.2
이젠 ‘마당쇠’란 별명이 더 익숙해진 그는 슛감각을 잃지 않기 위해 벤치에 앉아서도 늘 공을 만지작거린다.

이젠	이제/NNG+ㄴ/JX
‘마당쇠’란	‘/SS+마당쇠/NNG+’/SS+이/VCP+란/ETM
별명이	별명/NNG+이/JKS
더	더/MAG
익숙해진	익숙하/VA+아/EC+지/VX+ㄴ/ETM
그는	그/NP+는/JX
슛감각을	슛/NNG+감각/NNG+을/JKO
잃지	잃/VV+지/EC
않기	않/VX+기/ETN
위해	위하/VV+아/EC
벤치에	벤치/NNG+에/JKB
앉아서도	앉/VV+아서/EC+도/JX
늘	늘/MAG
공을	공/NNG+을/JKO
만지작거린다.	만지작거리/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.1.3.3
이런 노력 때문인지, 그의 3점슛 성공률은 50%가 넘는다.

이런	이런/MMD
노력	노력/NNG
때문인지,	때문/NNB+이/VCP+ㄴ지/EC+,/SP
그의	그/NP+의/JKG
3점슛	3/SN+점/NNB+슛/NNG
성공률은	성공/NNG+률/XSN+은/JX
50%가	50/SN+%/SW+가/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000024.1.3.4
우지원과 동갑내기인 ‘피터팬’ 김병철(대구 오리온스) 또한 농구코트에서 관록을 뽐내고 있다.

우지원과	우지원/NNP+과/JKB
동갑내기인	동갑내기/NNG+이/VCP+ㄴ/ETM
‘피터팬’	‘/SS+피터팬/NNP+’/SS
김병철(대구	김병철/NNP+(/SS+대구/NNP
오리온스)	오리온스/NNP+)/SS
또한	또한/MAG
농구코트에서	농구/NNG+코트/NNG+에서/JKB
관록을	관록/NNG+을/JKO
뽐내고	뽐내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.1.4.1
이들 외에도 1년간의 대표팀 자격정지 끝에 최근 축구대표팀에 복귀한 골키퍼 이운재(수원 삼성)가 1973년생이고, 프로야구 박재홍(SK) 송지만(히어로즈)·김민재(한화)·박종호(LG) 등도 서른여섯이 됐다.

이들	이/NP+들/XSN
외에도	외/NNB+에/JKB+도/JX
1년간의	1/SN+년/NNB+간/XSN+의/JKG
대표팀	대표/NNG+팀/NNG
자격정지	자격/NNG+정지/NNG
끝에	끝/NNG+에/JKB
최근	최근/NNG
축구대표팀에	축구/NNG+대표/NNG+팀/NNG+에/JKB
복귀한	복귀/NNG+하/XSV+ㄴ/ETM
골키퍼	골키퍼/NNG
이운재(수원	이운재/NNP+(/SS+수원/NNP
삼성)가	삼성/NNP+)/SS+가/JKS
1973년생이고,	1973/SN+년/NNB+생/XSN+이/VCP+고/EC+,/SP
프로야구	프로/NNG+야구/NNG
박재홍(SK)	박재홍/NNP+(/SS+SK/SL+)/SS
송지만(히어로즈)·김민재(한화)·박종호(LG)	송지만/NNP+(/SS+히어로즈/NNP+)/SS+·/SP+김민재/NNP+(/SS+한화/NNP+)/SS+·/SP+박종호/NNP+(/SS+LG/SL+)/SS
등도	등/NNB+도/JX
서른여섯이	서른여섯/NR+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.1.4.2
코치에서 현역으로 복귀한 여자프로농구 조혜진(우리은행)도 이들과 어깨를 나란히 한다.

코치에서	코치/NNG+에서/JKB
현역으로	현역/NNG+으로/JKB
복귀한	복귀/NNG+하/XSV+ㄴ/ETM
여자프로농구	여자/NNG+프로/NNG+농구/NNG
조혜진(우리은행)도	조혜진/NNP+(/SS+우리은행/NNP+)/SS+도/JX
이들과	이/NP+들/XSN+과/JKB
어깨를	어깨/NNG+를/JKO
나란히	나란히/MAG
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.1.4.3
선수에게 서른여섯이란 나이는 스포츠 인생의 기로에 서는 해이다.

선수에게	선수/NNG+에게/JKB
서른여섯이란	서른여섯/NR+이/VCP+란/ETM
나이는	나이/NNG+는/JX
스포츠	스포츠/NNG
인생의	인생/NNG+의/JKG
기로에	기로/NNG+에/JKB
서는	서/VV+는/ETM
해이다.	해/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.1.4.4
마흔 살 넘게 현역으로 뛰는 선수들도 더러 있으나, 해마다 이들에겐 ‘은퇴’라는 그림자가 짙게 드리운다.

마흔	마흔/NR
살	살/NNB
넘게	넘/VV+게/EC
현역으로	현역/NNG+으로/JKB
뛰는	뛰/VV+는/ETM
선수들도	선수/NNG+들/XSN+도/JX
더러	더러/MAG
있으나,	있/VA+으나/EC+,/SP
해마다	해마다/MAG
이들에겐	이/NP+들/XSN+에게/JKB+ㄴ/JX
‘은퇴’라는	‘/SS+은퇴/NNG+’/SS+이/VCP+라는/ETM
그림자가	그림자/NNG+가/JKS
짙게	짙/VA+게/EC
드리운다.	드리우/VV+ㄴ다/EF+./SF


