# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.118
metadata : {}


# id : NWRW1800000048.118.1.1
막 나가는 ‘아베의 동지’…일본 극우의 맨얼굴

막	막/MAG
나가는	나가/VV+는/ETM
‘아베의	‘/SS+아베/NNP+의/JKG
동지’…일본	동지/NNG+’/SS+…/SE+일본/NNP
극우의	극우/NNG+의/JKG
맨얼굴	맨/XPN+얼굴/NNG


# id : NWRW1800000048.118.2.1
‘아베 사상적 동지’ 작가 햐쿠타

‘아베	‘/SS+아베/NNP
사상적	사상/NNG+적/XSN
동지’	동지/NNG+’/SS
작가	작가/NNG
햐쿠타	햐쿠타/NNP


# id : NWRW1800000048.118.3.1
“2개 신문 꼭 없애야” 발언 관련

“2개	“/SS+2/SN+개/NNB
신문	신문/NNG
꼭	꼭/MAG
없애야”	없애/VV+어야/EC+”/SS
발언	발언/NNG
관련	관련/NNG


# id : NWRW1800000048.118.4.1
“농담” 해명 취소…“지금은 진심”

“농담”	“/SS+농담/NNG+”/SS
해명	해명/NNG
취소…“지금은	취소/NNG+…/SE+“/SS+지금/NNG+은/JX
진심”	진심/NNG+”/SS


# id : NWRW1800000048.118.5.1
일본의 극우 작가인 햐쿠타 나오키(59)가 ‘오키나와의 2개 신문사는 꼭 쓰러뜨려야 한다’는 자신의 최근 발언에 대해 “당시는 농담이었지만, 이젠 진심이다”라고 말한 것으로 전해졌다.

일본의	일본/NNP+의/JKG
극우	극우/NNG
작가인	작가/NNG+이/VCP+ㄴ/ETM
햐쿠타	햐쿠타/NNP
나오키(59)가	나오키/NNP+(/SS+59/SN+)/SS+가/JKS
‘오키나와의	‘/SS+오키나와/NNP+의/JKG
2개	2/SN+개/NNB
신문사는	신문사/NNG+는/JX
꼭	꼭/MAG
쓰러뜨려야	쓰러뜨리/VV+어야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
자신의	자신/NNG+의/JKG
최근	최근/MAG
발언에	발언/NNG+에/JKB
대해	대하/VV+아/EC
“당시는	“/SS+당시/NNG+는/JX
농담이었지만,	농담/NNG+이/VCP+었/EP+지만/EC+,/SP
이젠	이제/NNG+ㄴ/JX
진심이다”라고	진심/NNG+이/VCP+다/EF+”/SS+라고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000048.118.5.2
또 언론 탄압 관련 발언으로 ‘엄중 주의’ 처벌을 받은 자민당 의원은 자신의 발언을 정당화하려는 듯한 글을 남겼다.

또	또/MAG
언론	언론/NNG
탄압	탄압/NNG
관련	관련/NNG
발언으로	발언/NNG+으로/JKB
‘엄중	‘/SS+엄중/NNG
주의’	주의/NNG+’/SS
처벌을	처벌/NNG+을/JKO
받은	받/VV+은/ETM
자민당	자민당/NNP
의원은	의원/NNG+은/JX
자신의	자신/NNG+의/JKG
발언을	발언/NNG+을/JKO
정당화하려는	정당화/NNG+하/XSV+려는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
글을	글/NNG+을/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.118.6.1
일본 <교도통신>은 28일 오사카부 이즈미오쓰시의 한 강연에 강사로 나선 햐쿠타가 문제가 된 자신의 25일 오키나와 관련 발언에 대해 “당시는 농담조였지만, 지금은 진심으로 쓰러뜨려야 한다고 생각한다”고 말했다고 전했다.

일본	일본/NNP
<교도통신>은	</SS+교도통신/NNP+>/SS+은/JX
28일	28/SN+일/NNB
오사카부	오사카부/NNP
이즈미오쓰시의	이즈미오쓰시/NNP+의/JKG
한	한/MMN
강연에	강연/NNG+에/JKB
강사로	강사/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
햐쿠타가	햐쿠타/NNP+가/JKS
문제가	문제/NNG+가/JKC
된	되/VV+ㄴ/ETM
자신의	자신/NNG+의/JKG
25일	25/SN+일/NNB
오키나와	오키나와/NNP
관련	관련/NNG
발언에	발언/NNG+에/JKB
대해	대하/VV+아/EC
“당시는	“/SS+당시/NNG+는/JX
농담조였지만,	농담조/NNG+이/VCP+었/EP+지만/EC+,/SP
지금은	지금/NNG+은/JX
진심으로	진심/NNG+으로/JKB
쓰러뜨려야	쓰러뜨리/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.118.6.2
그는 또 “당분간은 이 두 개 신문과 창을 맞대야 한다(싸워야 한다는 의미)”고 말한 것으로도 전해졌다.

그는	그/NP+는/JX
또	또/MAG
“당분간은	“/SS+당분간/NNG+은/JX
이	이/MMD
두	두/MMN
개	개/NNB
신문과	신문/NNG+과/JKB
창을	창/NNG+을/JKO
맞대야	맞대/VV+어야/EC
한다(싸워야	하/VX+ㄴ다/EF+(/SS+싸우/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
의미)”고	의미/NNG+)/SS+”/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것으로도	것/NNB+으로/JKB+도/JX
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000048.118.6.3
그가 입에 올린 오키나와의 2개 신문이란 후텐마 미군 기지의 헤노코 이전 문제 등을 두고 아베 정권을 비판하고 있는 <류큐신보>와 <오키나와 타임스>를 말한다.

그가	그/NP+가/JKS
입에	입/NNG+에/JKB
올린	올리/VV+ㄴ/ETM
오키나와의	오키나와/NNP+의/JKG
2개	2/SN+개/NNB
신문이란	신문/NNG+이란/JX
후텐마	후텐마/NNP
미군	미군/NNG
기지의	기지/NNG+의/JKG
헤노코	헤노코/NNP
이전	이전/NNG
문제	문제/NNG
등을	등/NNB+을/JKO
두고	두/VV+고/EC
아베	아베/NNP
정권을	정권/NNG+을/JKO
비판하고	비판/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
<류큐신보>와	</SS+류큐신보/NNP+>/SS+와/JC
<오키나와	</SS+오키나와/NNP
타임스>를	타임스/NNP+>/SS+를/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.118.6.4
1879년 일본에 병합된 오키나와는 오랜 차별을 겪어 온 탓에 정권에 비판적인 야당세가 매우 강하다.

1879년	1879/SN+년/NNB
일본에	일본/NNP+에/JKB
병합된	병합/NNG+되/XSV+ㄴ/ETM
오키나와는	오키나와/NNP+는/JX
오랜	오랜/MMA
차별을	차별/NNG+을/JKO
겪어	겪/VV+어/EC
온	오/VX+ㄴ/ETM
탓에	탓/NNG+에/JKB
정권에	정권/NNG+에/JKB
비판적인	비판/NNG+적/XSN+이/VCP+ㄴ/ETM
야당세가	야당/NNG+세/NNG+가/JKS
매우	매우/MAG
강하다.	강하/VA+다/EF+./SF


# id : NWRW1800000048.118.7.1
햐쿠타는 자신의 언론 탄압 주장 발언이 다시 문제가 되자 이날 밤 트위터에 “<요미우리신문> 기자가 ‘정말이냐’고 물어와, ‘당연히 농담이지’라고 답했다”고 해명했다.

햐쿠타는	햐쿠타/NNP+는/JX
자신의	자신/NNG+의/JKG
언론	언론/NNG
탄압	탄압/NNG
주장	주장/NNG
발언이	발언/NNG+이/JKS
다시	다시/MAG
문제가	문제/NNG+가/JKC
되자	되/VV+자/EC
이날	이날/NNG
밤	밤/NNG
트위터에	트위터/NNP+에/JKB
“<요미우리신문>	“/SS+</SS+요미우리신문/NNP+>/SS
기자가	기자/NNG+가/JKS
‘정말이냐’고	‘/SS+정말/NNG+이/VCP+냐/EF+’/SS+고/JKQ
물어와,	묻/VV+어/EC+오/VX+아/EC+,/SP
‘당연히	‘/SS+당연히/MAG
농담이지’라고	농담/NNG+이/VCP+지/EF+’/SS+라고/JKQ
답했다”고	답/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.118.7.2
그러면서도 자신에 대해 비판의 날을 감추지 않고 있는 <아사히신문> 등 진보 계열의 신문에 대해선 “일제히 햐쿠타 공격! 그야말로 집단적 자위권의 행사”라고 비야냥대는 것도 잊지 않았다.

그러면서도	그러/VV+면서/EC+도/JX
자신에	자신/NNG+에/JKB
대해	대하/VV+아/EC
비판의	비판/NNG+의/JKG
날을	날/NNG+을/JKO
감추지	감추/VV+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
<아사히신문>	</SS+아사히신문/NNP+>/SS
등	등/NNB
진보	진보/NNG
계열의	계열/NNG+의/JKG
신문에	신문/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“일제히	“/SS+일제히/MAG
햐쿠타	햐쿠타/NNP
공격!	공격/NNG+!/SF
그야말로	그야말로/MAG
집단적	집단/NNG+적/XSN
자위권의	자위/NNG+권/XSN+의/JKG
행사”라고	행사/NNG+”/SS+라고/JKQ
비야냥대는	비야냥대/VV+는/ETM
것도	것/NNB+도/JX
잊지	잊/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.118.7.3
자신의 부적절한 언론관을 반성하는 대신 언론에 책임을 전가하며 자신을 정당화한 셈이다.

자신의	자신/NNG+의/JKG
부적절한	부적절하/VA+ㄴ/ETM
언론관을	언론관/NNG+을/JKO
반성하는	반성/NNG+하/XSV+는/ETM
대신	대신/NNG
언론에	언론/NNG+에/JKB
책임을	책임/NNG+을/JKO
전가하며	전가/NNG+하/XSV+며/EC
자신을	자신/NNG+을/JKO
정당화한	정당화/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.118.8.1
햐쿠타의 이런 모습은 아베 총리를 둘러싸고 있는 일본 극우의 수준을 고스란히 드러낸 것이어서 관심을 끈다.

햐쿠타의	햐쿠타/NNP+의/JKG
이런	이런/MMD
모습은	모습/NNG+은/JX
아베	아베/NNP
총리를	총리/NNG+를/JKO
둘러싸고	둘러싸/VV+고/EC
있는	있/VX+는/ETM
일본	일본/NNP
극우의	극우/NNG+의/JKG
수준을	수준/NNG+을/JKO
고스란히	고스란히/MAG
드러낸	드러내/VV+ㄴ/ETM
것이어서	것/NNB+이/VCP+어서/EC
관심을	관심/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.118.8.2
햐쿠타는 자살공격대인 가미카제 특공대를 미화한 <영원의 제로>라는 소설로 500만부 가까운 판매고를 기록했으며, 아베 총리의 ‘사상적 동지’로 알려져 있다.

햐쿠타는	햐쿠타/NNP+는/JX
자살공격대인	자살/NNG+공격대/NNG+이/VCP+ㄴ/ETM
가미카제	가미카제/NNG
특공대를	특공대/NNG+를/JKO
미화한	미화/NNG+하/XSV+ㄴ/ETM
<영원의	</SS+영원/NNG+의/JKG
제로>라는	제로/NNG+>/SS+이/VCP+라는/ETM
소설로	소설/NNG+로/JKB
500만부	500/SN+만/NR+부/NNB
가까운	가깝/VA+ㄴ/ETM
판매고를	판매고/NNG+를/JKO
기록했으며,	기록/NNG+하/XSV+았/EP+으며/EC+,/SP
아베	아베/NNP
총리의	총리/NNG+의/JKG
‘사상적	‘/SS+사상/NNG+적/XSN
동지’로	동지/NNG+’/SS+로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.118.8.3
그는 “난징대학살은 없었다” “위안부는 거짓말” “일교조(한국의 전교조)는 일본의 암” 등의 터무니 없는 발언을 일삼다가, 아베 총리가 임명했던 <엔에이치케이>(NHK) 경영위원직에서 지난 2월 물러난 바 있다.

그는	그/NP+는/JX
“난징대학살은	“/SS+난징/NNP+대/XPN+학살/NNG+은/JX
없었다”	없/VA+었/EP+다/EF+”/SS
“위안부는	“/SS+위안부/NNG+는/JX
거짓말”	거짓말/NNG+”/SS
“일교조(한국의	“/SS+일교조/NNP+(/SS+한국/NNP+의/JKG
전교조)는	전교조/NNP+)/SS+는/JX
일본의	일본/NNP+의/JKG
암”	암/NNG+”/SS
