# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.361
metadata : {}


# id : NWRW1800000022.361.1.1
中 화장터, 유골 2800여개 바꿔치기 들통;"시간 절약하기 위해서" 앞에 화장한 유골 건네

中	中/SH
화장터,	화장터/NNG+,/SP
유골	유골/NNG
2800여개	2800/SN+여/XSN+개/NNB
바꿔치기	바꿔치기/NNG
들통;"시간	들통/NNG+;/SP+"/SS+시간/NNG
절약하기	절약/NNG+하/XSV+기/ETN
위해서"	위하/VV+아서/EC+"/SS
앞에	앞/NNG+에/JKB
화장한	화장/NNG+하/XSV+ㄴ/ETM
건네	건네/VV+어/EF


# id : NWRW1800000022.361.2.1
중국의 한 시립 화장장이 신속한 서비스를 이유로 수많은 유족에게 엉뚱한 사람의 유골을 건네 준 황당한 사건이 발생했다.

중국의	중국/NNP+의/JKG
한	한/MMN
시립	시립/NNG
화장장이	화장장/NNG+이/JKS
신속한	신속/NNG+하/XSA+ㄴ/ETM
서비스를	서비스/NNG+를/JKO
이유로	이유/NNG+로/JKB
수많은	수많/VA+은/ETM
유족에게	유족/NNG+에게/JKB
엉뚱한	엉뚱하/VA+ㄴ/ETM
사람의	사람/NNG+의/JKG
유골을	유골/NNG+을/JKO
건네	건네/VV+어/EC
준	주/VX+ㄴ/ETM
황당한	황당하/VA+ㄴ/ETM
사건이	사건/NNG+이/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.361.2.2
뒤바뀐 유골은 무려 2800여개.

뒤바뀐	뒤바뀌/VV+ㄴ/ETM
유골은	유골/NNG+은/JX
무려	무려/MAG
2800여개.	2800/SN+여/XSN+개/NNB+./SF


# id : NWRW1800000022.361.3.1
지난 11일 중국 랴오닝(遼寧)성 톄링(鐵嶺)시 시립 화장장.

지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
중국	중국/NNP
랴오닝(遼寧)성	랴오닝/NNP+(/SS+遼寧/SH+)/SS+성/NNG
톄링(鐵嶺)시	톄링/NNP+(/SS+鐵嶺/SH+)/SS+시/NNG
시립	시립/NNG
화장장.	화장장/NNG+./SF


# id : NWRW1800000022.361.3.2
82세로 숨진 리어산(李??山)씨의 유족들은 화장장의 젊은 직원이 건네주는 '차가운' 유골함에 의심을 품었다.

82세로	82/SN+세/NNB+로/JKB
숨진	숨지/VV+ㄴ/ETM
리어산(李??山)씨의	리어산/NNP+(/SS+李/SH+?/SF+?/SF+山/SH+)/SS+씨/NNB+의/JKG
유족들은	유족/NNG+들/XSN+은/JX
화장장의	화장장/NNG+의/JKG
젊은	젊/VA+은/ETM
직원이	직원/NNG+이/JKS
건네주는	건네주/VV+는/ETM
'차가운'	'/SS+차갑/VA+ㄴ/ETM+'/SS
유골함에	유골함/NNG+에/JKB
의심을	의심/NNG+을/JKO
품었다.	품/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.361.3.3
유골함에 아직 열기가 남아 있어야 할 시간이었기 때문이다.

유골함에	유골함/NNG+에/JKB
아직	아직/MAG
열기가	열기/NNG+가/JKS
남아	남/VV+아/EC
있어야	있/VX+어야/EC
할	하/VX+ㄹ/ETM
시간이었기	시간/NNG+이/VCP+었/EP+기/ETN
