# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.234
metadata : {}


# id : NWRW1800000036.234.1.1
송파구청 확장 이전 서울시 사실상 불허

송파구청	송파구청/NNP
확장	확장/NNG
이전	이전/NNG
서울시	서울시/NNP
사실상	사실/NNG+상/XSN
불허	불허/NNG


# id : NWRW1800000036.234.2.1
[한겨레] 서울시가 박원순 시장 취임 이후 자치구가 추진하는 구청사 확장 이전 계획에 제동을 걸었다.

[한겨레]	[/SS+한겨레/NNP+]/SS
서울시가	서울시/NNP+가/JKS
박원순	박원순/NNP
시장	시장/NNG
취임	취임/NNG
이후	이후/NNG
자치구가	자치구/NNG+가/JKS
추진하는	추진/NNG+하/XSV+는/ETM
구청사	구/NNG+청사/NNG
확장	확장/NNG
이전	이전/NNG
계획에	계획/NNG+에/JKB
제동을	제동/NNG+을/JKO
걸었다.	걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.234.3.1
송파구가 대상이다.

송파구가	송파구/NNP+가/JKS
대상이다.	대상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.234.3.2
송파구는 지난 2월부터 에스에이치(SH)공사가 개발중인 문정지구(송파구)내 공공용지를 매입해 구청을 새로 짓겠다는 계획을 시에 수차례 건의해왔으나, 시는 사실상 불허 방침을 정한 것으로 확인됐다.

송파구는	송파구/NNP+는/JX
지난	지나/VV+ㄴ/ETM
2월부터	2/SN+월/NNB+부터/JX
에스에이치(SH)공사가	에스에이치/NNP+(/SS+SH/SL+)/SS+공사/NNG+가/JKS
개발중인	개발/NNG+중/NNB+이/VCP+ㄴ/ETM
문정지구(송파구)내	문정/NNP+지구/NNG+(/SS+송파구/NNP+)/SS+내/NNB
공공용지를	공공용지/NNG+를/JKO
매입해	매입/NNG+하/XSV+아/EC
구청을	구청/NNG+을/JKO
새로	새로/MAG
짓겠다는	짓/VV+겠/EP+다는/ETM
계획을	계획/NNG+을/JKO
시에	시/NNG+에/JKB
수차례	수차례/NNG
건의해왔으나,	건의/NNG+하/XSV+아/EC+오/VX+았/EP+으나/EC+,/SP
시는	시/NNG+는/JX
사실상	사실/NNG+상/XSN
불허	불허/NNG
방침을	방침/NNG+을/JKO
정한	정하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.234.4.1
문승국 행정2부시장은 14일 “현재 10층 규모의 송파구청사가 위치상 주민 불편이 있거나 시설, 기능에 문제가 있어 이전한다는 것인지 그 합당성이 구민들에게 잘 설명되지 않는다”며 “또 호화 청사 문제가 전국적으로 얼마나 많은 논란이 되었느냐.

문승국	문승국/NNP
행정2부시장은	행정/NNG+2/SN+부시장/NNG+은/JX
14일	14/SN+일/NNB
“현재	“/SS+현재/MAG
10층	10/SN+층/NNG
규모의	규모/NNG+의/JKG
송파구청사가	송파구/NNP+청사/NNG+가/JKS
위치상	위치/NNG+상/XSN
주민	주민/NNG
불편이	불편/NNG+이/JKS
있거나	있/VA+거나/EC
시설,	시설/NNG+,/SP
기능에	기능/NNG+에/JKB
문제가	문제/NNG+가/JKS
있어	있/VA+어/EC
이전한다는	이전/NNG+하/XSV+ㄴ다는/ETM
것인지	것/NNB+이/VCP+ㄴ지/EC
그	그/MMD
합당성이	합당/NNG+성/XSN+이/JKS
구민들에게	구민/NNG+들/XSN+에게/JKB
잘	잘/MAG
설명되지	설명/NNG+되/XSV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“또	“/SS+또/MAG
호화	호화/NNG
청사	청사/NNG
전국적으로	전국/NNG+적/XSN+으로/JKB
얼마나	얼마나/MAG
많은	많/VA+은/ETM
논란이	논란/NNG+이/JKC
되었느냐.	되/VV+었/EP+느냐/EF+./SF


# id : NWRW1800000036.234.4.2
시기적으로도 적절하지 않다”고 말했다.

시기적으로도	시기/NNG+적/XSN+으로/JKB+도/JX
적절하지	적절하/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.234.5.1
박춘희 송파구청장 등은 지난 2월 박원순 서울시장, 3월 김상범 행정1부시장, 지난달 중순 문승국 행정2부시장을 만나 청사 이전 계획을 설명해왔다.

박춘희	박춘희/NNP
송파구청장	송파구청장/NNG
등은	등/NNB+은/JX
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
박원순	박원순/NNP
서울시장,	서울시장/NNG+,/SP
3월	3/SN+월/NNB
김상범	김상범/NNP
행정1부시장,	행정/NNG+1/SN+부시장/NNG+,/SP
지난달	지난달/NNG
중순	중순/NNG
문승국	문승국/NNP
행정2부시장을	행정/NNG+2/SN+부시장/NNG+을/JKO
만나	만나/VV+아/EC
청사	청사/NNG
이전	이전/NNG
계획을	계획/NNG+을/JKO
설명해왔다.	설명/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.234.5.2
지하철 8호선 문정역에서 가까워 접근성이 높은 문정지구내 상업용지 일부를 구청 부지로 매입·이용할 수 있는 공공용지로 변경해달라는 게 뼈대다.

지하철	지하철/NNG
8호선	8/SN+호선/NNB
문정역에서	문정역/NNP+에서/JKB
가까워	가깝/VA+어/EC
접근성이	접근/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
문정지구내	문정/NNP+지구/NNG+내/NNB
상업용지	상업용지/NNG
일부를	일부/NNG+를/JKO
구청	구청/NNG
부지로	부지/NNG+로/JKB
매입·이용할	매입/NNG+·/SP+이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
공공용지로	공공용지/NNG+로/JKB
변경해달라는	변경/NNG+하/XSV+아/EC+달/VX+라는/ETM
게	거/NNB+이/JKS
뼈대다.	뼈대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.234.5.3
송파구는 상업용지가 줄면서 서울시가 감수할 예상 손실 200억원가량도 내겠다는 의사를 밝혔다.

송파구는	송파구/NNP+는/JX
상업용지가	상업용지/NNG+가/JKS
줄면서	줄/VV+면서/EC
서울시가	서울시/NNP+가/JKS
감수할	감수/NNG+하/XSV+ㄹ/ETM
예상	예상/NNG
손실	손실/NNG
200억원가량도	200/SN+억/NR+원/NNB+가량/XSN+도/JX
내겠다는	내/VV+겠/EP+다는/ETM
