# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.274
metadata : {}


# id : NWRW1800000028.274.1.1
마이크로크레디트 조합 만든 동자동 사람들 /“쪽방촌의 종잣돈, 희망을 빌려드려요”

마이크로크레디트	마이크로크레디트/NNG
조합	조합/NNG
만든	만들/VV+ㄴ/ETM
동자동	동자동/NNP
사람들	사람/NNG+들/XSN
/“쪽방촌의	//SP+“/SS+쪽방촌/NNG+의/JKG
종잣돈,	종잣돈/NNG+,/SP
희망을	희망/NNG+을/JKO
빌려드려요”	빌리/VV+어/EC+드리/VX+어요/EF+”/SS


# id : NWRW1800000028.274.2.1
박병욱(46)씨는 서울역 인근 용산구 동자동 ‘쪽방촌’에서 10년째 살고 있다.

박병욱(46)씨는	박병욱/NNP+(/SS+46/SN+)/SS+씨/NNB+는/JX
서울역	서울역/NNP
인근	인근/NNG
용산구	용산구/NNP
동자동	동자동/NNP
‘쪽방촌’에서	‘/SS+쪽방촌/NNG+’/SS+에서/JKB
10년째	10/SN+년/NNB+째/XSN
살고	살/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.274.2.2
지난달 20일 그의 통장에는 여느 때처럼 41만5000원이 들어왔다.

지난달	지난달/NNG
20일	20/SN+일/NNB
그의	그/NP+의/JKG
통장에는	통장/NNG+에/JKB+는/JX
여느	여느/MMA
때처럼	때/NNG+처럼/JKB
41만5000원이	41/SN+만/NR+5000/SN+원/NNB+이/JKS
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.274.2.3
정부와 서울시가 매달 박씨와 같은 기초생활수급자에게 주는 돈이다.

정부와	정부/NNG+와/JC
서울시가	서울시/NNP+가/JKS
매달	매달/MAG
박씨와	박/NNP+씨/NNB+와/JKB
같은	같/VA+은/ETM
기초생활수급자에게	기초/NNG+생활/NNG+수급자/NNG+에게/JKB
주는	주/VV+는/ETM
돈이다.	돈/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.274.2.4
한 달 방세와 식비를 대기에도 빠듯하지만 박씨는 이번달에도 과감히 2만원을 떼어 ‘사랑방마을공제협동조합’(사랑방조합)에 냈다.

한	한/MMN
달	달/NNB
방세와	방세/NNG+와/JC
식비를	식비/NNG+를/JKO
대기에도	대/VV+기/ETN+에/JKB+도/JX
빠듯하지만	빠듯하/VA+지만/EC
박씨는	박/NNP+씨/NNB+는/JX
이번달에도	이번/NNG+달/NNG+에/JKB+도/JX
과감히	과감히/MAG
2만원을	2/SN+만/NR+원/NNB+을/JKO
떼어	떼/VV+어/EC
‘사랑방마을공제협동조합’(사랑방조합)에	‘/SS+사랑방마을공제협동조합/NNP+’/SS+(/SS+사랑방조합/NNP+)/SS+에/JKB
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.274.3.1
대다수가 기초생활수급자인 이 지역 주민들은 아무리 아파도, 당장 방세 낼 돈이 없어도 손 벌릴 곳이 없다.

대다수가	대/XPN+다수/NNG+가/JKS
기초생활수급자인	기초/NNG+생활/NNG+수급자/NNG+이/VCP+ㄴ/ETM
이	이/MMD
지역	지역/NNG
주민들은	주민/NNG+들/XSN+은/JX
아무리	아무리/MAG
아파도,	아프/VA+아도/EC+,/SP
당장	당장/NNG
방세	방세/NNG
낼	내/VV+ㄹ/ETM
돈이	돈/NNG+이/JKS
없어도	없/VA+어도/EC
손	손/NNG
벌릴	벌리/VV+ㄹ/ETM
곳이	곳/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000028.274.3.2
그래서 이들은 지난 3월부터 십시일반 돈을 모으기 시작했다.

그래서	그래서/MAJ
이들은	이/NP+들/XSN+은/JX
지난	지나/VV+ㄴ/ETM
3월부터	3/SN+월/NNB+부터/JX
십시일반	십시일반/NNG
돈을	돈/NNG+을/JKO
모으기	모으/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.274.3.3
“우리끼리 종잣돈을 만들어, 돈이 없어 힘들 때 서로 돕자”는 생각에서다.

“우리끼리	“/SS+우리/NP+끼리/XSN
종잣돈을	종잣돈/NNG+을/JKO
만들어,	만들/VV+어/EC+,/SP
돈이	돈/NNG+이/JKS
없어	없/VA+어/EC
힘들	힘들/VA+ㄹ/ETM
때	때/NNG
서로	서로/MAG
돕자”는	돕/VV+자/EF+”/SS+는/ETM
생각에서다.	생각/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000028.274.4.1
사랑방조합은 이렇게 해서 탄생한 ‘마이크로크레디트’(무담보 소액대출) 조합이다.

사랑방조합은	사랑방조합/NNP+은/JX
이렇게	이렇/VA+게/EC
해서	하/VV+아서/EC
탄생한	탄생/NNG+하/XSV+ㄴ/ETM
‘마이크로크레디트’(무담보	‘/SS+마이크로크레디트/NNG+’/SS+(/SS+무/XPN+담보/NNG
소액대출)	소액/NNG+대출/NNG+)/SS
조합이다.	조합/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.274.4.2
사랑방조합은 지난 3월1일, ‘주민협동조합(가칭) 추진위원회 구성을 위한 모임’을 열어 주민들이 열띤 토론을 벌이면서 첫걸음을 뗐다.

사랑방조합은	사랑방조합/NNP+은/JX
지난	지나/VV+ㄴ/ETM
3월1일,	3/SN+월/NNB+1/SN+일/NNB+,/SP
‘주민협동조합(가칭)	‘/SS+주민/NNG+협동조합/NNG+(/SS+가칭/NNG+)/SS
추진위원회	추진/NNG+위원회/NNG
구성을	구성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
모임’을	모임/NNG+’/SS+을/JKO
열어	열/VV+어/EC
주민들이	주민/NNG+들/XSN+이/JKS
열띤	열띠/VA+ㄴ/ETM
토론을	토론/NNG+을/JKO
벌이면서	벌이/VV+면서/EC
첫걸음을	첫걸음/NNG+을/JKO
뗐다.	떼/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.274.4.3
주민들은 자체적으로 만든 개인 통장을 나눠 가졌고, 한 달에 5천(1계좌)~5만원까지 넉 달째 돈을 모으고 있다.

주민들은	주민/NNG+들/XSN+은/JX
자체적으로	자체/NNG+적/XSN+으로/JKB
만든	만들/VV+ㄴ/ETM
개인	개인/NNG
통장을	통장/NNG+을/JKO
나눠	나누/VV+어/EC
