# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.278
metadata : {}


# id : NWRW1800000022.278.1.1
[충청] 전 세계 어린 환경 영웅들 대전 온다 'UNEP 툰자 환경회의' 오늘 개막;미래 주역 기후변화 토의 결의안 덴마크 총회 제출

[충청]	[/SS+충청/NNP+]/SS
전	전/MMN
세계	세계/NNG
어린	어리/VA+ㄴ/ETM
환경	환경/NNG
영웅들	영웅/NNG+들/XSN
대전	대전/NNP
온다	오/VV+ㄴ다/EF
'UNEP	'/SS+UNEP/SL
툰자	툰자/NNG
환경회의'	환경/NNG+회의/NNG+'/SS
오늘	오늘/NNG
개막;미래	개막/NNG+;/SW+미래/NNG
주역	주역/NNG
기후변화	기후/NNG+변화/NNG
토의	토의/NNG
결의안	결의안/NNG
덴마크	덴마크/NNP
총회	총회/NNG
제출	제출/NNG


# id : NWRW1800000022.278.2.1
'유넵(UNEP·유엔환경계획) 툰자(Tunza) 세계 어린이·청소년 환경회의'가 오늘 대전 대덕컨벤션센터에서 개막, 23일까지 열린다.

'유넵(UNEP·유엔환경계획)	'/SS+유넵/NNP+(/SS+UNEP/SL+·/SP+유엔환경계획/NNP+)/SS
툰자(Tunza)	툰자/NNG+(/SS+Tunza/SL+)/SS
세계	세계/NNG
어린이·청소년	어린이/NNG+·/SP+청소년/NNG
환경회의'가	환경/NNG+회의/NNG+'/SS+가/JKS
오늘	오늘/MAG
대전	대전/NNP
대덕컨벤션센터에서	대덕컨벤션센터/NNP+에서/JKB
개막,	개막/NNG+,/SP
23일까지	23/SN+일/NNB+까지/JX
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.278.2.2
'툰자'는 스와힐리어(탄자니아, 케냐지역 공통어)로 '배려와 애정으로 대한다'라는 뜻이다.

'툰자'는	'/SS+툰자/NNG+'/SS+는/JX
스와힐리어(탄자니아,	스와힐리어/NNP+(/SS+탄자니아/NNP+,/SP
케냐지역	케냐지역/NNP
공통어)로	공통어/NNG+)/SS+로/JKB
'배려와	'/SS+배려/NNG+와/JC
애정으로	애정/NNG+으로/JKB
대한다'라는	대하/VV+ㄴ다/EF+'/SS+이/VCP+라는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.278.2.3
이번 대회는 그동안 분리 개최됐던 어린이회의와 청소년회의를 통합하고 나서 처음 열리는 것으로, 아시아에서는 말레이시아 푸트라자야, 인도 방갈로에 이어 3번째이다.

이번	이번/NNG
대회는	대회/NNG+는/JX
그동안	그동안/NNG
분리	분리/NNG
개최됐던	개최/NNG+되/XSV+었/EP+던/ETM
어린이회의와	어린이/NNG+회의/NNG+와/JC
청소년회의를	청소년/NNG+회의/NNG+를/JKO
통합하고	통합/NNG+하/XSV+고/EC
나서	나/VX+아서/EC
처음	처음/NNG
열리는	열리/VV+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
아시아에서는	아시아/NNP+에서/JKB+는/JX
말레이시아	말레이시아/NNP
푸트라자야,	푸트라자야/NNP+,/SP
인도	인도/NNP
방갈로에	방갈로/NNP+에/JKB
이어	잇/VV+어/EC
3번째이다.	3/SN+번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000022.278.3.1
전 세계 100개국에서 어린이, 청소년, 환경 관련 관계자 등 1000여명이 참석한다.

전	전/MMN
세계	세계/NNG
100개국에서	100/SN+개국/NNB+에서/JKB
어린이,	어린이/NNG+,/SP
청소년,	청소년/NNG+,/SP
환경	환경/NNG
관련	관련/NNG
관계자	관계자/NNG
등	등/NNB
1000여명이	1000/SN+여/XSN+명/NNB+이/JKS
참석한다.	참석/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.278.3.2
아킴 스타이너 유넵 사무총장, 한승수 국무총리, 이만의 환경부장관 등도 참석할 예정이다.

아킴	아킴/NNP
스타이너	스타이너/NNP
유넵	유넵/NNP
사무총장,	사무총장/NNG+,/SP
한승수	한승수/NNP
국무총리,	국무총리/NNG+,/SP
이만의	이만의/NNP
환경부장관	환경부/NNG+장관/NNG
등도	등/NNB+도/JX
참석할	참석/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.278.4.1
7일간의 회의 기간 중 '기후변화와 우리의 과제'에 대한 강연 및 워크샵, 참가자들의 프리젠테이션, 툰자전략 소개 및 강연, 대륙별 환경회의 및 행동계획 수립 등 다양한 프로그램이 진행된다.

7일간의	7/SN+일/NNB+간/XSN+의/JKG
회의	회의/NNG
기간	기간/NNG
중	중/NNB
'기후변화와	'/SS+기후/NNG+변화/NNG+와/JC
우리의	우리/NP+의/JKG
과제'에	과제/NNG+'/SS+에/JKB
대한	대하/VV+ㄴ/ETM
강연	강연/NNG
및	및/MAG
워크샵,	워크샵/NNG+,/SP
참가자들의	참가자/NNG+들/XSN+의/JKG
프리젠테이션,	프리젠테이션/NNG+,/SP
툰자전략	툰자/NNG+전략/NNG
소개	소개/NNG
강연,	강연/NNG+,/SP
대륙별	대륙/NNG+별/XSN
환경회의	환경/NNG+회의/NNG
행동계획	행동/NNG+계획/NNG
수립	수립/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
프로그램이	프로그램/NNG+이/JKS
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.278.4.2
회의에서 채택된 결의안은 올 12월 덴마크 코펜하겐에서 열리는 기후변화 당사국 총회에 전 세계의 어린이와 청소년을 대표하는 의견으로 제출된다.

회의에서	회의/NNG+에서/JKB
채택된	채택/NNG+되/XSV+ㄴ/ETM
결의안은	결의안/NNG+은/JX
올	올/NNG
12월	12/SN+월/NNB
덴마크	덴마크/NNP
코펜하겐에서	코펜하겐/NNP+에서/JKB
열리는	열리/VV+는/ETM
기후변화	기후/NNG+변화/NNG
당사국	당사국/NNG
총회에	총회/NNG+에/JKB
전	전/MMN
세계의	세계/NNG+의/JKG
어린이와	어린이/NNG+와/JC
청소년을	청소년/NNG+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
의견으로	의견/NNG+으로/JKB
제출된다.	제출/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.278.5.1
대전시는 참석자들을 대상으로 계족산 황톳길 맨발걷기, 대덕특구 연구소 탐방, 학교 방문, 시티투어, 갑천 민물고기 생태탐사 등을 개최해 친환경적 과학도시임을 홍보할 계획이다.

대전시는	대전시/NNP+는/JX
참석자들을	참석자/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
계족산	계족산/NNP
황톳길	황톳길/NNP
맨발걷기,	맨/XPN+발/NNG+걷기/NNG+,/SP
대덕특구	대덕특구/NNP
연구소	연구소/NNG
탐방,	탐방/NNG+,/SP
학교	학교/NNG
방문,	방문/NNG+,/SP
시티투어,	시티투어/NNG+,/SP
갑천	갑천/NNP
민물고기	민물고기/NNG
생태탐사	생태/NNG+탐사/NNG
등을	등/NNB+을/JKO
개최해	개최/NNG+하/XSV+아/EC
친환경적	친/XPN+환경/NNG+적/XSN
과학도시임을	과학/NNG+도시/NNG+이/VCP+ㅁ/ETN+을/JKO
홍보할	홍보/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.278.6.1
UNEP 한국위원회 김재범 사무총장은 툰자회의 의미에 대해 "기후변화 문제는 현재보다 앞으로 30년 뒤 지구에서 살게 될 어린이, 청소년에게 더 영향을 끼칠 사안"이라며 "어린이, 청소년을 에코 리더십을 갖춘 인재로 성장시키고, 그들의 목소리를 반영하는 것은 매우 중요하다"고 설명했다.

UNEP	UNEP/SL
한국위원회	한국위원회/NNP
김재범	김재범/NNP
사무총장은	사무총장/NNG+은/JX
툰자회의	툰자/NNG+회의/NNG
의미에	의미/NNG+에/JKB
대해	대하/VV+아/EC
"기후변화	"/SS+기후/NNG+변화/NNG
문제는	문제/NNG+는/JX
현재보다	현재/NNG+보다/JKB
앞으로	앞/NNG+으로/JKB
30년	30/SN+년/NNB
뒤	뒤/NNG
지구에서	지구/NNG+에서/JKB
살게	살/VV+게/EC
될	되/VV+ㄹ/ETM
어린이,	어린이/NNG+,/SP
청소년에게	청소년/NNG+에게/JKB
더	더/MAG
영향을	영향/NNG+을/JKO
끼칠	끼치/VV+ㄹ/ETM
사안"이라며	사안/NNG+"/SS+이/VCP+라며/EC
"어린이,	"/SS+어린이/NNG+,/SP
청소년을	청소년/NNG+을/JKO
에코	에코/NNG
리더십을	리더십/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
인재로	인재/NNG+로/JKB
성장시키고,	성장/NNG+시키/XSV+고/EC+,/SP
그들의	그/NP+들/XSN+의/JKG
목소리를	목소리/NNG+를/JKO
반영하는	반영/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
매우	매우/MAG
중요하다"고	중요/NNG+하/XSA+다/EF+"/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.278.7.1
대전시 관계자는 "세계 각국의 어린이·청소년들이 방문하는 행사여서 한국은 물론 대전의 브랜드 가치를 높일 수 있는 큰 행사"라고 설명했다.

대전시	대전시/NNP
관계자는	관계자/NNG+는/JX
"세계	"/SS+세계/NNG
각국의	각국/NNG+의/JKG
어린이·청소년들이	어린이/NNG+·/SP+청소년/NNG+들/XSN+이/JKS
방문하는	방문/NNG+하/XSV+는/ETM
행사여서	행사/NNG+이/VCP+어서/EC
한국은	한국/NNP+은/JX
물론	물론/MAG
대전의	대전/NNP+의/JKG
브랜드	브랜드/NNG
