# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.57
metadata : {}


# id : NWRW1800000040.57.1.1
“론스타 떠났어도 싸움 아직 안끝났다”

“론스타	“/SS+론스타/NNP
떠났어도	떠나/VV+았/EP+어도/EC
싸움	싸움/NNG
아직	아직/MAG
안끝났다”	안/MAG+끝나/VV+았/EP+다/EF+”/SS


# id : NWRW1800000040.57.2.1
김기철 외환은행 노조위원장

김기철	김기철/NNP
외환은행	외환은행/NNP
노조위원장	노조/NNG+위원장/NNG


# id : NWRW1800000040.57.3.1
매각반대 투쟁 자료 모아 백서 발간

매각반대	매각/NNG+반대/NNG
투쟁	투쟁/NNG
자료	자료/NNG
모아	모으/VV+아/EC
백서	백서/NNG
발간	발간/NNG


# id : NWRW1800000040.57.4.1
“ISD 정부 패소땐 더 큰 후폭풍 불것”

“ISD	“/SS+ISD/SL
정부	정부/NNG
패소땐	패소/NNG+때/NNG+ㄴ/JX
더	더/MAG
큰	크/VA+ㄴ/ETM
후폭풍	후폭풍/NNG
불것”	불/VV+ㄹ/ETM+것/NNB+”/SS


# id : NWRW1800000040.57.5.1
“외환은행 인수와 먹튀 논란의 당사자는 떠났지만, 론스타 문제는 아직 끝나지 않았습니다.”

“외환은행	“/SS+외환은행/NNP
인수와	인수/NNG+와/JKB
먹튀	먹튀/NNG
논란의	논란/NNG+의/JKG
당사자는	당사자/NNG+는/JX
떠났지만,	떠나/VV+았/EP+지만/EC+,/SP
론스타	론스타/NNP
문제는	문제/NNG+는/JX
아직	아직/MAG
끝나지	끝나/VV+지/EC
않았습니다.”	않/VX+았/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000040.57.6.1
미국계 사모펀드 론스타의 외환은행 인수와 매각 과정의 불법성에 맞서 싸워온 외환은행 노동조합의 김기철(사진) 위원장은 12일 그동안의 자료와 기록을 모아 발간한 <론스타 투쟁백서>를 내보이며 이렇게 말했다.

미국계	미국/NNP+계/XSN
사모펀드	사모/NNG+펀드/NNG
론스타의	론스타/NNP+의/JKG
외환은행	외환은행/NNP
인수와	인수/NNG+와/JC
매각	매각/NNG
과정의	과정/NNG+의/JKG
불법성에	불법/NNG+성/XSN+에/JKB
맞서	맞서/VV+어/EC
싸워온	싸우/VV+어/EC+오/VX+ㄴ/ETM
노동조합의	노동조합/NNG+의/JKG
김기철(사진)	김기철/NNP+(/SS+사진/NNG+)/SS
위원장은	위원장/NNG+은/JX
12일	12/SN+일/NNB
