# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.241
metadata : {}


# id : NWRW1800000030.241.1.1
[태평로] 아이야! 1년을 버텨줘 고맙다

[태평로]	[/SS+태평로/NNP+]/SS
아이야!	아이/NNG+야/JKV+!/SF
1년을	1/SN+년/NNB+을/JKO
버텨줘	버티/VV+어/EC+주/VX+어/EC
고맙다	고맙/VA+다/EF


# id : NWRW1800000030.241.2.1
어제 큰아이 대학 입학식에 다녀왔다.

어제	어제/NNG
큰아이	큰아이/NNG
대학	대학/NNG
입학식에	입학식/NNG+에/JKB
다녀왔다.	다녀오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.241.2.2
작년 이맘때 입시에 실패해 고교 졸업식마저 불참하고 방에 틀어박혀 있던 모습이 내내 마음에 걸렸기 때문에 이번엔 가족이 총출동했다.

작년	작년/NNG
이맘때	이맘때/NNG
입시에	입시/NNG+에/JKB
실패해	실패/NNG+하/XSV+아/EC
고교	고교/NNG
졸업식마저	졸업식/NNG+마저/JX
불참하고	불참/NNG+하/XSV+고/EC
방에	방/NNG+에/JKB
틀어박혀	틀어박히/VV+어/EC
있던	있/VX+던/ETM
모습이	모습/NNG+이/JKS
내내	내내/MAG
마음에	마음/NNG+에/JKB
걸렸기	걸리/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
이번엔	이번/NNG+에/JKB+ㄴ/JX
가족이	가족/NNG+이/JKS
총출동했다.	총출동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.241.2.3
청(淸)요리 집 점심식사 자리에서 여덟 살 어린 둘째가 이렇게 말했다.

청(淸)요리	청/NNP+(/SS+淸/SH+)/SS+요리/NNG
집	집/NNG
점심식사	점심/NNG+식사/NNG
자리에서	자리/NNG+에서/JKB
여덟	여덟/NR
살	살/NNB
어린	어리/VA+ㄴ/ETM
둘째가	둘째/NR+가/JKS
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.241.3.1
"언니 시대는 끝났어.

"언니	"/SS+언니/NNG
시대는	시대/NNG+는/JX
끝났어.	끝나/VV+았/EP+어/EF+./SF


# id : NWRW1800000030.241.3.2
앞으로 7년간은 내가 '왕(王)'이야!" 둘째아이는 분위기만으로 '합격(合格)'이란 단어의 무게를 달아본 모양이었다.

앞으로	앞/NNG+으로/JKB
7년간은	7/SN+년/NNB+간/XSN+은/JX
내가	내/NP+가/JKS
'왕(王)'이야!"	'/SS+왕/NNG+(/SS+王/SH+)/SS+'/SS+이/VCP+야/EF+!/SF+"/SS
둘째아이는	둘째/NR+아이/NNG+는/JX
