# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.373
metadata : {}


# id : NWRW1800000024.373.1.1
터널많은 강원도 /피난시설은 ‘0’

터널많은	터널/NNG+많/VA+은/ETM
강원도	강원도/NNP
/피난시설은	//SP+피난/NNG+시설/NNG+은/JX
‘0’	‘/SS+0/SN+’/SS


# id : NWRW1800000024.373.2.1
국내 고속도로 터널 구간에 피난연결통로가 제대로 시공된 곳은 9곳에 불과하고, 터널 구간이 많은 강원도의 경우 단 한 곳도 없는 것으로 12일 드러났다.

국내	국내/NNG
고속도로	고속/NNG+도로/NNG
터널	터널/NNG
구간에	구간/NNG+에/JKB
피난연결통로가	피난/NNG+연결/NNG+통로/NNG+가/JKS
제대로	제대로/MAG
시공된	시공/NNG+되/XSV+ㄴ/ETM
곳은	곳/NNG+은/JX
9곳에	9/SN+곳/NNG+에/JKB
불과하고,	불과/MAG+하/XSA+고/EC+,/SP
구간이	구간/NNG+이/JKS
많은	많/VA+은/ETM
강원도의	강원도/NNP+의/JKG
경우	경우/NNG
단	단/MMA
한	한/MMN
곳도	곳/NNG+도/JX
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
12일	12/SN+일/NNB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.373.3.1
허천 의원(한나라당)이 한국도로공사한테서 제출받은 국정감사 자료를 보면 국토해양부의 도로터널 방재시설 설치지침에 따라 대인용과 차량용 대비시설인 피난연결통로를 제대로 갖춘 곳은 전국 153곳 터널 가운데 6%인 9곳에 그쳤으며, 차량용 피난연결통로가 시공된 곳은 59곳으로 나타났다.

허천	허천/NNP
의원(한나라당)이	의원/NNG+(/SS+한나라당/NNP+)/SS+이/JKS
한국도로공사한테서	한국도로공사/NNP+한테서/JKB
제출받은	제출/NNG+받/XSV+은/ETM
국정감사	국정/NNG+감사/NNG
자료를	자료/NNG+를/JKO
보면	보/VV+면/EC
국토해양부의	국토/NNG+해양부/NNG+의/JKG
도로터널	도로/NNG+터널/NNG
방재시설	방재/NNG+시설/NNG
설치지침에	설치/NNG+지침/NNG+에/JKB
따라	따르/VV+아/EC
대인용과	대인/NNG+용/XSN+과/JC
차량용	차량/NNG+용/XSN
대비시설인	대비/NNG+시설/NNG+이/VCP+ㄴ/ETM
피난연결통로를	피난/NNG+연결/NNG+통로/NNG+를/JKO
제대로	제대로/MAG
갖춘	갖추/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
전국	전국/NNG
153곳	153/SN+곳/NNG
터널	터널/NNG
가운데	가운데/NNG
6%인	6/SN+%/SW+이/VCP+ㄴ/ETM
9곳에	9/SN+곳/NNG+에/JKB
그쳤으며,	그치/VV+었/EP+으며/EC+,/SP
피난연결통로가	피난/NNG+연결/NNG+통로/NNG+가/JKS
시공된	시공/NNG+되/XSV+ㄴ/ETM
59곳으로	59/SN+곳/NNG+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.373.4.1
특히 최근 개통된 서울~춘천 고속도로의 경우 2004년 도로터널 방재시설 설치지침이 제정됐는데도 이런 지침을 제대로 지키지 않은 채 건설했으며, 중앙고속도로 춘천~홍천 구간 굴지터널 역시 피난연결통로를 설치하지 않은 것으로 나타났다.

특히	특히/MAG
최근	최근/MAG
개통된	개통/NNG+되/XSV+ㄴ/ETM
서울~춘천	서울/NNP+~/SO+춘천/NNP
고속도로의	고속/NNG+도로/NNG+의/JKG
경우	경우/NNG
2004년	2004/SN+년/NNB
도로터널	도로/NNG+터널/NNG
방재시설	방재/NNG+시설/NNG
설치지침이	설치/NNG+지침/NNG+이/JKS
제정됐는데도	제정/NNG+되/XSV+었/EP+는데/EC+도/JX
이런	이런/MMD
지침을	지침/NNG+을/JKO
제대로	제대로/MAG
지키지	지키/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
건설했으며,	건설/NNG+하/XSV+았/EP+으며/EC+,/SP
중앙고속도로	중앙고속도로/NNP
춘천~홍천	춘천/NNP+~/SO+홍천/NNP
구간	구간/NNG
굴지터널	굴지터널/NNP
역시	역시/MAG
피난연결통로를	피난/NNG+연결/NNG+통로/NNG+를/JKO
설치하지	설치/NNG+하/XSV+지/EC
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.373.4.2
이에 따라 터널 안 차량사고나 화재 또는 테러 등 긴급상황이 발생하면 대형 사고를 피할 수 없을 것으로 보인다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
터널	터널/NNG
안	안/NNG
차량사고나	차량/NNG+사고/NNG+나/JC
화재	화재/NNG
또는	또는/MAG
테러	테러/NNG
등	등/NNB
긴급상황이	긴급/NNG+상황/NNG+이/JKS
발생하면	발생/NNG+하/XSV+면/EC
대형	대형/NNG
사고를	사고/NNG+를/JKO
피할	피하/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


