# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.238
metadata : {}


# id : NWRW1800000037.238.1.1
NH농협은 ‘女정구의 삼성화재’

NH농협은	NH농협/NNP+은/JX
‘女정구의	‘/SS+女/SH+정구/NNG+의/JKG
삼성화재’	삼성화재/NNP+’/SS


# id : NWRW1800000037.238.2.1
동아일보기 단체전 10년간 9번 우승… 복식경기선 소속 선수끼리 결승전

동아일보기	동아일보/NNP+기/NNG
단체전	단체전/NNG
10년간	10/SN+년/NNB+간/XSN
9번	9/SN+번/NNB
우승…	우승/NNG+…/SE
복식경기선	복식/NNG+경기/NNG+서/JKB+ㄴ/JX
소속	소속/NNG
선수끼리	선수/NNG+끼리/XSN
결승전	결승전/NNG


# id : NWRW1800000037.238.3.1
NH농협은행은 여자 정구의 ‘삼성화재’다.

NH농협은행은	NH농협은행/NNP+은/JX
여자	여자/NNG
정구의	정구/NNG+의/JKG
‘삼성화재’다.	‘/SS+삼성화재/NNP+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000037.238.4.1
프로배구 남자부 삼성화재처럼 강한 전력을 갖춘 게 첫 번째 이유.

프로배구	프로/NNG+배구/NNG
남자부	남자부/NNG
삼성화재처럼	삼성화재/NNP+처럼/JKB
강한	강하/VA+ㄴ/ETM
전력을	전력/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
게	거/NNB+이/JKS
첫	첫/MMN
번째	번/NNB+째/XSN
이유.	이유/NNG+./SF


# id : NWRW1800000037.238.4.2
NH농협은행은 제91회인 올해를 포함해 동아일보기 전국정구대회 여자 일반부 단체전에서 최근 10년간 9번 우승했다.

NH농협은행은	NH농협은행/NNP+은/JX
제91회인	제/XPN+91/SN+회/NNB+이/VCP+ㄴ/ETM
올해를	올해/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
동아일보기	동아일보/NNP+기/NNG
전국정구대회	전국/NNG+정구/NNG+대회/NNG
여자	여자/NNG
일반부	일반부/NNG
단체전에서	단체전/NNG+에서/JKB
최근	최근/MAG
10년간	10/SN+년/NNB+간/XSN
9번	9/SN+번/NNB
우승했다.	우승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.238.4.3
