# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.6
metadata : {}


# id : NWRW1800000029.6.1.1
갤럭시S, 美서도 업그레이드 시작

갤럭시S,	갤럭시S/NNP+,/SP
美서도	美/SH+서/JKB+도/JX
업그레이드	업그레이드/NNG
시작	시작/NNG


# id : NWRW1800000029.6.2.1
삼성전자-美이통사, 집단소송 움직임에 전격 결정

삼성전자-美이통사,	삼성전자/NNP+-/SO+美/SH+이통사/NNG+,/SP
집단소송	집단/NNG+소송/NNG
움직임에	움직임/NNG+에/JKB
전격	전격/NNG
결정	결정/NNG


# id : NWRW1800000029.6.3.1
삼성전자와 미국의 이동통신업체인 T모바일이 21일부터 갤럭시S(미국명 바이브런트)의 안드로이드 2.2버전(프로요) 운영체제(OS) 업그레이드를 시작했다고 이날 밝혔다.

삼성전자와	삼성전자/NNP+와/JC
미국의	미국/NNP+의/JKG
이동통신업체인	이동/NNG+통신업체/NNG+이/VCP+ㄴ/ETM
T모바일이	T모바일/NNP+이/JKS
21일부터	21/SN+일/NNB+부터/JX
갤럭시S(미국명	갤럭시S/NNP+(/SS+미국/NNP+명/NNG
바이브런트)의	바이브런트/NNP+)/SS+의/JKG
안드로이드	안드로이드/NNG
2.2버전(프로요)	2/SN+./SP+2/SN+버전/NNG+(/SS+프로요/NNP+)/SS
운영체제(OS)	운영/NNG+체제/NNG+(/SS+OS/SL+)/SS
업그레이드를	업그레이드/NNG+를/JKO
시작했다고	시작/NNG+하/XSV+았/EP+다고/EC
이날	이날/NNG
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.6.3.2
지난해 11월부터 갤럭시S의 OS 업그레이드를 진행한 한국과 달리 미국에선 2개월 이상 지체되면서 현지 소비자들의 반발이 커진 데 따른 것이다.

지난해	지난해/NNG
11월부터	11/SN+월/NNB+부터/JX
갤럭시S의	갤럭시S/NNP+의/JKG
OS	OS/SL
업그레이드를	업그레이드/NNG+를/JKO
진행한	진행/NNG+하/XSV+ㄴ/ETM
한국과	한국/NNP+과/JKB
달리	달리/MAG
미국에선	미국/NNP+에서/JKB+ㄴ/JX
2개월	2/SN+개월/NNB
이상	이상/NNG
지체되면서	지체/NNG+되/XSV+면서/EC
현지	현지/NNG
소비자들의	소비자/NNG+들/XSN+의/JKG
반발이	반발/NNG+이/JKS
커진	커지/VV+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.6.3.3
