# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.284
metadata : {}


# id : NWRW1800000032.284.1.1
‘사찰 피해’ 김종익씨 횡령혐의 대부분 공소기각범죄 근거자료도 없이 기소 ‘검찰의 굴욕’

‘사찰	‘/SS+사찰/NNG
피해’	피해/NNG+’/SS
김종익씨	김종익/NNP+씨/NNB
횡령혐의	횡령/NNG+혐의/NNG
대부분	대/XPN+부분/NNG
공소기각범죄	공소/NNG+기각/NNG+범죄/NNG
근거자료도	근거/NNG+자료/NNG+도/JX
없이	없이/MAG
기소	기소/NNG
‘검찰의	‘/SS+검찰/NNG+의/JKG
굴욕’	굴욕/NNG+’/SS


# id : NWRW1800000032.284.2.1
법원 “방어권 침해 우려”

법원	법원/NNG
“방어권	“/SS+방어/NNG+권/XSN
침해	침해/NNG
우려”	우려/NNG+”/SS


# id : NWRW1800000032.284.3.1
2000만원 사용만 벌금형

2000만원	2000/SN+만/NR+원/NNB
사용만	사용/NNG+만/JX
벌금형	벌금형/NNG


# id : NWRW1800000032.284.4.1
‘무리한 기소’ 비판 불가피

‘무리한	‘/SS+무리/NNG+하/XSV+ㄴ/ETM
기소’	기소/NNG+’/SS
비판	비판/NNG
불가피	불가피/XR


# id : NWRW1800000032.284.5.1
‘민간인 불법사찰’ 피해자인 김종익(57·사진) 전 ㈜케이비(KB)한마음 대표의 횡령 혐의에 대해, 법원이 “범죄사실의 기재가 없다”는 이유로 대부분 ‘공소기각’ 판결했다.

‘민간인	‘/SS+민간인/NNG
불법사찰’	불법/NNG+사찰/NNG+’/SS
피해자인	피해자/NNG+이/VCP+ㄴ/ETM
김종익(57·사진)	김종익/NNP+(/SS+57/SN+·/SP+사진/NNG+)/SS
전	전/MMD
㈜케이비(KB)한마음	㈜/SW+케이비/NNP+(/SS+KB/SL+)/SS+한마음/NNP
대표의	대표/NNG+의/JKG
횡령	횡령/NNG
혐의에	혐의/NNG+에/JKB
대해,	대하/VV+아/EC+,/SP
법원이	법원/NNG+이/JKS
“범죄사실의	“/SS+범죄/NNG+사실/NNG+의/JKG
