# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.369
metadata : {}


# id : NWRW1800000032.369.1.1
통일장관 유임 왜?

통일장관	통일/NNG+장관/NNG
유임	유임/NNG
왜?	왜/MAG+?/SF


# id : NWRW1800000032.369.1.2
/현 대북정책 고수 의지…남북관계 변화기대 ‘물거품’

/현	//SP+현/MMD
대북정책	대북/NNG+정책/NNG
고수	고수/NNG
의지…남북관계	의지/NNG+…/SE+남북/NNP+관계/NNG
변화기대	변화/NNG+기대/NNG
‘물거품’	‘/SS+물거품/NNG+’/SS


# id : NWRW1800000032.369.2.1
북에 ‘잘못된 신호’ 줄까 우려

북에	북/NNP+에/JKB
‘잘못된	‘/SS+잘못/MAG+되/XSV+ㄴ/ETM
신호’	신호/NNG+’/SS
줄까	주/VV+ㄹ까/EF
우려	우려/NNG


# id : NWRW1800000032.369.3.1
“대북강경 효과” 인식도 깔려

“대북강경	“/SS+대북/NNG+강경/NNG
효과”	효과/NNG+”/SS
인식도	인식/NNG+도/JX
깔려	깔리/VV+어/EF


# id : NWRW1800000032.369.4.1
6일 개각에서 현인택 통일부 장관이 유임되면서 현 정부의 대북정책 기조에 변화가 있을 것이라는 기대 섞인 전망도 수그러들게 됐다.

6일	6/SN+일/NNB
개각에서	개각/NNG+에서/JKB
현인택	현인택/NNP
통일부	통일부/NNG
장관이	장관/NNG+이/JKS
유임되면서	유임/NNG+되/XSV+면서/EC
현	현/MMD
정부의	정부/NNG+의/JKG
대북정책	대북/NNG+정책/NNG
기조에	기조/NNG+에/JKB
변화가	변화/NNG+가/JKS
있을	있/VA+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
기대	기대/NNG
섞인	섞이/VV+ㄴ/ETM
전망도	전망/NNG+도/JX
수그러들게	수그러들/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.369.5.1
2009년 2월 임명된 현 장관은 2년 넘는 장기 복무 장관이라는 점에서 교체 대상으로 꼽혔으며, 이 대통령은 류우익 전 주중국대사를 새 통일부 장관으로 유력하게 검토해왔다.

2009년	2009/SN+년/NNB
2월	2/SN+월/NNB
임명된	임명/NNG+되/XSV+ㄴ/ETM
현	현/NNP
장관은	장관/NNG+은/JX
2년	2/SN+년/NNB
넘는	넘/VV+는/ETM
장기	장기/NNG
복무	복무/NNG
장관이라는	장관/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
교체	교체/NNG
대상으로	대상/NNG+으로/JKB
꼽혔으며,	꼽히/VV+었/EP+으며/EC+,/SP
이	이/NNP
대통령은	대통령/NNG+은/JX
류우익	류우익/NNP
전	전/MMD
주중국대사를	주중국/NNG+대사/NNG+를/JKO
새	새/MMA
통일부	통일부/NNG
장관으로	장관/NNG+으로/JKB
유력하게	유력/NNG+하/XSA+게/EC
검토해왔다.	검토/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.369.5.2
현 정부의 초대 대통령실장을 지낸 류 전 대사가 통일부 장관으로 입각할 경우 남북관계 전환의 신호탄이 될 것이라는 해석도 나왔다.

현	현/MMD
정부의	정부/NNG+의/JKG
초대	초대/NNG
대통령실장을	대통령실장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
류	류/NNP
전	전/MMD
대사가	대사/NNG+가/JKS
통일부	통일부/NNG
장관으로	장관/NNG+으로/JKB
입각할	입각/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
남북관계	남북/NNP+관계/NNG
전환의	전환/NNG+의/JKG
신호탄이	신호탄/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
해석도	해석/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.369.6.1
그러나 현 장관이 유임되면서 당분간 대북정책의 급격한 변화는 기대하기 어려워졌다.

그러나	그러나/MAJ
현	현/NNP
장관이	장관/NNG+이/JKS
유임되면서	유임/NNG+되/XSV+면서/EC
당분간	당분간/MAG
대북정책의	대북/NNG+정책/NNG+의/JKG
급격한	급격하/VA+ㄴ/ETM
변화는	변화/NNG+는/JX
기대하기	기대/NNG+하/XSV+기/ETN
어려워졌다.	어렵/VA+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.369.6.2
임태희 대통령실장은 “통일부 장관 교체를 검토했지만 일관성 있는 정책기조를 유지하는 데 있어서 자칫 오해의 소지가 있을 수 있다는 지적이 있어서 당분간 일관성과 정책기조 유지 차원에서 제외했다”고 말했다.

임태희	임태희/NNP
대통령실장은	대통령실장/NNG+은/JX
“통일부	“/SS+통일부/NNG
장관	장관/NNG
교체를	교체/NNG+를/JKO
검토했지만	검토/NNG+하/XSV+았/EP+지만/EC
일관성	일관/NNG+성/XSN
있는	있/VV+는/ETM
정책기조를	정책/NNG+기조/NNG+를/JKO
유지하는	유지/NNG+하/XSV+는/ETM
데	데/NNB
있어서	있/VA+어서/EC
자칫	자칫/MAG
오해의	오해/NNG+의/JKG
소지가	소지/NNG+가/JKS
있을	있/VA+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
지적이	지적/NNG+이/JKS
당분간	당분간/MAG
일관성과	일관/NNG+성/XSN+과/JC
정책기조	정책/NNG+기조/NNG
유지	유지/NNG
차원에서	차원/NNG+에서/JKB
제외했다”고	제외/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.369.6.3
현 장관 교체가 북한에 대북기조 변화라는 ‘잘못된 신호’를 줄 수 있다는 점을 우려했다는 것이다.

현	현/NNP
장관	장관/NNG
교체가	교체/NNG+가/JKS
북한에	북한/NNP+에/JKB
대북기조	대북/NNG+기조/NNG
변화라는	변화/NNG+이/VCP+라는/ETM
‘잘못된	‘/SS+잘못/MAG+되/XSV+ㄴ/ETM
신호’를	신호/NNG+’/SS+를/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
우려했다는	우려/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.369.7.1
청와대 핵심 관계자는 이날 “정책은 팀으로 가는 것이다.

청와대	청와대/NNP
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
이날	이날/NNG
“정책은	“/SS+정책/NNG+은/JX
팀으로	팀/NNG+으로/JKB
가는	가/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.369.7.2
사람 하나 바뀌었다고 정책이 바뀔 수는 없다”며 “(대북정책의) 변화가 이뤄진다면 축적돼온 정책의 결과로서 되는 것이지 사람이 바뀐다고 되는 것은 아니다”라고 말했다.

사람	사람/NNG
하나	하나/NR
바뀌었다고	바뀌/VV+었/EP+다고/EC
정책이	정책/NNG+이/JKS
바뀔	바뀌/VV+ㄹ/ETM
수는	수/NNB+는/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“(대북정책의)	“/SS+(/SS+대북/NNG+정책/NNG+의/JKG+)/SS
변화가	변화/NNG+가/JKS
이뤄진다면	이뤄지/VV+ㄴ다면/EC
축적돼온	축적/NNG+되/XSV+어/EC+오/VX+ㄴ/ETM
정책의	정책/NNG+의/JKG
결과로서	결과/NNG+로서/JKB
되는	되/VV+는/ETM
것이지	것/NNB+이/VCP+지/EC
사람이	사람/NNG+이/JKS
바뀐다고	바뀌/VV+ㄴ다고/EC
것은	것/NNB+은/JX
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.369.7.3
설사 정책의 변화가 있더라도 현 외교안보 라인을 통해 이뤄질 것이라는 이야기다.

설사	설사/MAG
정책의	정책/NNG+의/JKG
변화가	변화/NNG+가/JKS
있더라도	있/VV+더라도/EC
현	현/MMD
외교안보	외교/NNG+안보/NNG
라인을	라인/NNG+을/JKO
통해	통하/VV+아/EC
이뤄질	이뤄지/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.369.7.4
그만큼 정책 변화에 신중한 것으로 해석할 수도 있다.

그만큼	그만큼/MAG
정책	정책/NNG
변화에	변화/NNG+에/JKB
신중한	신중/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
해석할	해석/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.369.8.1
이런 이 대통령의 판단에는 천안함·연평도 사건의 사과 요구 등 대북 강경기조가 효력을 발휘하고 있다는 인식이 깔려 있는 것으로 보인다.

이런	이런/MMD
이	이/NNP
대통령의	대통령/NNG+의/JKG
판단에는	판단/NNG+에/JKB+는/JX
천안함·연평도	천안함/NNP+·/SP+연평도/NNP
사건의	사건/NNG+의/JKG
사과	사과/NNG
요구	요구/NNG
등	등/NNB
대북	대북/NNG
강경기조가	강경/NNG+기조/NNG+가/JKS
효력을	효력/NNG+을/JKO
발휘하고	발휘/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
인식이	인식/NNG+이/JKS
깔려	깔리/VV+어/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.369.8.2
정부 당국자는 “정부 내에 최근 북한이 남쪽과의 비핵화 회담을 수용하는 등 남북대화 재개를 위해 ‘유화적인’ 자세를 보이는 것은 정부의 ‘원칙 있는’ 태도 때문이라는 인식이 많다”고 전했다.

정부	정부/NNG
당국자는	당국자/NNG+는/JX
“정부	“/SS+정부/NNG
