# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.203
metadata : {}


# id : NWRW1800000038.203.1.1
CJ·전두환… "중앙지검, 서초동 온 뒤 가장 바빠"

CJ·전두환…	CJ/SL+·/SP+전두환/NNP+…/SE
"중앙지검,	"/SS+중앙지검/NNP+,/SP
서초동	서초동/NNP
온	오/VV+ㄴ/ETM
뒤	뒤/NNG
가장	가장/MAG
바빠"	바쁘/VA+아/EC+"/SS


# id : NWRW1800000038.203.2.1
대형 사건만 10여개 수사중 "온 나라 들썩이는 사건 도맡아"

대형	대형/NNG
사건만	사건/NNG+만/JX
10여개	10/SN+여/XSN+개/NNB
수사중	수사/NNG+중/NNB
"온	"/SS+온/MMN
나라	나라/NNG
들썩이는	들썩이/VV+는/ETM
사건	사건/NNG
도맡아"	도맡/VV+아/EC+"/SS


# id : NWRW1800000038.203.3.1
"요즘 대한민국을 들었다 놨다 하는 건 검찰 같아요.

"요즘	"/SS+요즘/NNG
대한민국을	대한민국/NNP+을/JKO
들었다	들/VV+었/EP+다/EC
놨다	놓/VV+았/EP+다/EC
하는	하/VX+는/ETM
건	거/NNB+ㄴ/JX
검찰	검찰/NNG
같아요.	같/VA+아요/EF+./SF


# id : NWRW1800000038.203.3.2
주요 뉴스들이 검찰 사건으로 도배되고 있잖아요."(한 40대 기업인) '전두환 미납 추징금 환수 사건' 'CJ그룹 비자금과 정관계 로비 사건' '원세훈 전 국정원장의 정치·선거 개입 의혹과 개인 비리 사건'….

주요	주요/NNG
뉴스들이	뉴스/NNG+들/XSN+이/JKS
검찰	검찰/NNG
사건으로	사건/NNG+으로/JKB
도배되고	도배/NNG+되/XSV+고/EC
있잖아요."(한	있/VX+잖아/EF+요/JX+./SF+"/SS+(/SS+한/MMN
40대	40/SN+대/NNB
기업인)	기업인/NNG+)/SS
'전두환	'/SS+전두환/NNP
미납	미납/NNG
추징금	추징금/NNG
환수	환수/NNG
사건'	사건/NNG+'/SS
'CJ그룹	'/SS+CJ그룹/NNP
비자금과	비자금/NNG+과/JKB
정관계	정관계/NNG
로비	로비/NNG
'원세훈	'/SS+원세훈/NNP
전	전/MMD
국정원장의	국정원장/NNG+의/JKG
정치·선거	정치/NNG+·/SP+선거/NNG
개입	개입/NNG
의혹과	의혹/NNG+과/JC
개인	개인/NNG
비리	비리/NNG
사건'….	사건/NNG+'/SS+…/SE+./SF


# id : NWRW1800000038.203.4.1
