# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.345
metadata : {}


# id : NWRW1800000028.345.1.1
국제유가 ‘오르고, 또 오르고’

국제유가	국제/NNG+유가/NNG
‘오르고,	‘/SS+오르/VV+고/EC+,/SP
또	또/MAG
오르고’	오르/VV+고/EC+’/SS


# id : NWRW1800000028.345.2.1
국내에 주로 수입되는 두바이유 국제가격이 5개월 만에 배럴당 80달러를 넘어섰다.

국내에	국내/NNG+에/JKB
주로	주로/MAG
수입되는	수입/NNG+되/XSV+는/ETM
두바이유	두바이유/NNG
국제가격이	국제/NNG+가격/NNG+이/JKS
5개월	5/SN+개월/NNB
만에	만/NNB+에/JKB
배럴당	배럴/NNG+당/XSN
80달러를	80/SN+달러/NNB+를/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.345.3.1
5일 한국석유공사 자료를 보면, 두바이유(현물 기준)는 4일(현지시각) 배럴당 80.09달러에 거래돼 전 거래일보다 가격이 0.39달러 올랐다.

5일	5/SN+일/NNB
한국석유공사	한국석유공사/NNP
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
두바이유(현물	두바이유/NNG+(/SS+현물/NNG
기준)는	기준/NNG+)/SS+는/JX
4일(현지시각)	4/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
배럴당	배럴/NNG+당/XSN
80.09달러에	80/SN+./SP+09/SN+달러/NNB+에/JKB
거래돼	거래/NNG+되/XSV+어/EC
전	전/MMD
거래일보다	거래일/NNG+보다/JKB
가격이	가격/NNG+이/JKS
0.39달러	0/SN+./SP+39/SN+달러/NNB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.345.3.2
두바이유 국제가격이 배럴당 80달러를 넘어선 것은 지난 5월 이후 처음이다.

두바이유	두바이유/NNG
국제가격이	국제/NNG+가격/NNG+이/JKS
배럴당	배럴/NNG+당/XSN
80달러를	80/SN+달러/NNB+를/JKO
넘어선	넘어서/VV+ㄴ/ETM
것은	것/NNB+은/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
이후	이후/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.345.4.1
국제유가는 지난주부터 가파른 상승세를 타고 있다.

국제유가는	국제/NNG+유가/NNG+는/JX
지난주부터	지난주/NNG+부터/JX
가파른	가파르/VA+ㄴ/ETM
상승세를	상승세/NNG+를/JKO
타고	타/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.345.4.2
지난달 28일 배럴당 74.67달러였던 두바이유 가격은 29일 75.79달러, 30일 77.24달러로 오른 데 이어, 이달 들어서는 오름폭을 키우고 있다.

지난달	지난달/NNG
28일	28/SN+일/NNB
배럴당	배럴/NNG+당/XSN
74.67달러였던	74/SN+./SP+67/SN+달러/NNB+이/VCP+었/EP+던/ETM
두바이유	두바이유/NNG
가격은	가격/NNG+은/JX
29일	29/SN+일/NNB
75.79달러,	75/SN+./SP+79/SN+달러/NNB+,/SP
30일	30/SN+일/NNB
77.24달러로	77/SN+./SP+24/SN+달러/NNB+로/JKB
오른	오르/VV+ㄴ/ETM
데	데/NNB
이어,	잇/VV+어/EC+,/SP
이달	이달/NNG
들어서는	들/VV+어서/EC+는/JX
오름폭을	오름폭/NNG+을/JKO
키우고	키우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.345.4.3
최근 일주일 만에 값이 7%가량이나 뛴 셈이다.

최근	최근/MAG
일주일	일주일/NNG
만에	만/NNB+에/JKB
값이	값/NNG+이/JKS
7%가량이나	7/SN+%/SW+가량/XSN+이나/JX
뛴	뛰/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.345.4.4
미국 서부텍사스중질유 가격도 강세를 보여, 지난달 28일 76.18달러이던 11월 인도분 가격이 이달 1일엔 81.58달러로 치솟았다.

미국	미국/NNP
서부텍사스중질유	서부텍사스/NNP+중질유/NNG
가격도	가격/NNG+도/JX
강세를	강세/NNG+를/JKO
보여,	보이/VV+어/EC+,/SP
지난달	지난달/NNG
28일	28/SN+일/NNB
76.18달러이던	76/SN+./SP+18/SN+달러/NNB+이/VCP+던/ETM
11월	11/SN+월/NNB
인도분	인도/NNG+분/XSN
가격이	가격/NNG+이/JKS
이달	이달/NNG
1일엔	1/SN+일/NNB+에/JKB+ㄴ/JX
81.58달러로	81/SN+./SP+58/SN+달러/NNB+로/JKB
치솟았다.	치솟/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.345.5.1
이처럼 국제유가가 오름세를 타는 것은 미국 등 주요국의 경기지표가 다소 개선되는 조짐을 보이는데다 달러화 약세의 영향도 동시에 받은 결과로 업계에서는 분석하고 있다.

이처럼	이/NP+처럼/JKB
국제유가가	국제/NNG+유가/NNG+가/JKS
오름세를	오름세/NNG+를/JKO
타는	타/VV+는/ETM
것은	것/NNB+은/JX
미국	미국/NNP
등	등/NNB
주요국의	주요국/NNG+의/JKG
경기지표가	경기/NNG+지표/NNG+가/JKS
다소	다소/MAG
개선되는	개선/NNG+되/XSV+는/ETM
조짐을	조짐/NNG+을/JKO
보이는데다	보이/VV+는/ETM+데/NNB+다/JX
달러화	달러화/NNG
약세의	약세/NNG+의/JKG
영향도	영향/NNG+도/JX
동시에	동시/NNG+에/JKB
받은	받/VV+은/ETM
결과로	결과/NNG+로/JKB
업계에서는	업계/NNG+에서/JKB+는/JX
분석하고	분석/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.345.5.2
실제로 세계 석유시장 자체만 놓고 보면, 수요에도 큰 변화가 없으며 선진국들이 보유한 재고량도 지난 5년 평균치를 많게는 10% 이상 웃돌고 있다.

실제로	실제로/MAG
세계	세계/NNG
석유시장	석유/NNG+시장/NNG
자체만	자체/NNG+만/JX
놓고	놓/VV+고/EC
보면,	보/VX+면/EC+,/SP
수요에도	수요/NNG+에/JKB+도/JX
큰	크/VA+ㄴ/ETM
변화가	변화/NNG+가/JKS
없으며	없/VA+으며/EC
선진국들이	선진국/NNG+들/XSN+이/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
재고량도	재고량/NNG+도/JX
지난	지나/VV+ㄴ/ETM
5년	5/SN+년/NNB
평균치를	평균/NNG+치/XSN+를/JKO
많게는	많/VA+게/EC+는/JX
10%	10/SN+%/SW
이상	이상/NNG
웃돌고	웃돌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.345.5.3
석유 수급 여건의 변화에 따른 가격인상 요인은 찾기 어렵다는 얘기다.

석유	석유/NNG
수급	수급/NNG
여건의	여건/NNG+의/JKG
변화에	변화/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
가격인상	가격/NNG+인상/NNG
요인은	요인/NNG+은/JX
찾기	찾/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.345.6.1
이달석 에너지경제연구원 석유전략실장은 “국제 기름값은 세계 경기 움직임에 절대적인 영향을 받는 만큼 앞으로 기름값은 세계 경기 회복세에 따라 완만한 상승세를 보일 가능성이 커 보인다”며 “국내 석유 값도 원화 강세에 따라 일부 인상요인이 상쇄되겠지만 크게는 이 추세를 따라갈 것”이라고 말했다.

이달석	이달석/NNP
에너지경제연구원	에너지/NNG+경제/NNG+연구원/NNG
석유전략실장은	석유/NNG+전략실장/NNG+은/JX
“국제	“/SS+국제/NNG
기름값은	기름값/NNG+은/JX
세계	세계/NNG
경기	경기/NNG
움직임에	움직임/NNG+에/JKB
절대적인	절대/NNG+적/XSN+이/VCP+ㄴ/ETM
영향을	영향/NNG+을/JKO
받는	받/VV+는/ETM
만큼	만큼/NNB
앞으로	앞/NNG+으로/JKB
회복세에	회복세/NNG+에/JKB
따라	따르/VV+아/EC
완만한	완만하/VA+ㄴ/ETM
상승세를	상승세/NNG+를/JKO
보일	보이/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
커	크/VA+어/EC
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
“국내	“/SS+국내/NNG
석유	석유/NNG
값도	값/NNG+도/JX
원화	원화/NNG
강세에	강세/NNG+에/JKB
일부	일부/NNG
인상요인이	인상/NNG+요인/NNG+이/JKS
상쇄되겠지만	상쇄/NNG+되/XSV+겠/EP+지만/EC
크게는	크/VA+게/EC+는/JX
이	이/MMD
추세를	추세/NNG+를/JKO
따라갈	따라가/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


