# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.26
metadata : {}


# id : NWRW1800000029.26.1.1
삼성그룹 핵심계열사들 세무조사중

삼성그룹	삼성그룹/NNP
핵심계열사들	핵심/NNG+계열사/NNG+들/XSN
세무조사중	세무/NNG+조사/NNG+중/NNB


# id : NWRW1800000029.26.2.1
회사측 “정기 검사일 뿐… 특별한 의미 없다”

회사측	회사/NNG+측/NNB
“정기	“/SS+정기/NNG
검사일	검사/NNG+이/VCP+ㄹ/ETM
뿐…	뿐/NNB+…/SE
특별한	특별/NNG+하/XSA+ㄴ/ETM
의미	의미/NNG
없다”	없/VA+다/EF+”/SS


# id : NWRW1800000029.26.3.1
국세청이 삼성그룹의 핵심 계열사들을 세무조사하고 있는 것으로 확인됐다.

국세청이	국세청/NNG+이/JKS
삼성그룹의	삼성그룹/NNP+의/JKG
핵심	핵심/NNG
계열사들을	계열사/NNG+들/XSN+을/JKO
세무조사하고	세무/NNG+조사/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.26.3.2
5일 삼성그룹에 따르면 국세청은 올해 2월부터 삼성에버랜드, 삼성물산, 호텔신라, 삼성중공업 등 계열사를 대상으로 세무조사를 벌이고 있다.

5일	5/SN+일/NNB
삼성그룹에	삼성그룹/NNP+에/JKB
따르면	따르/VV+면/EC
국세청은	국세청/NNG+은/JX
올해	올해/NNG
2월부터	2/SN+월/NNB+부터/JX
삼성에버랜드,	삼성에버랜드/NNP+,/SP
삼성물산,	삼성물산/NNP+,/SP
호텔신라,	호텔신라/NNP+,/SP
삼성중공업	삼성중공업/NNP
등	등/NNB
계열사를	계열사/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
세무조사를	세무/NNG+조사/NNG+를/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.26.4.1
이인용 삼성 커뮤니케이션 팀장(부사장)은 동아일보와의 통화에서 “계열사마다 통상 3∼5년 주기로 정기 세무조사를 받는다”며 “삼성은 계열사가 68곳이나 되기 때문에 몇몇 회사가 같은 시기에 조사받는 건 특별한 의미가 없다”고 말했다.

이인용	이인용/NNP
삼성	삼성/NNP
커뮤니케이션	커뮤니케이션/NNG
팀장(부사장)은	팀장/NNG+(/SS+부사장/NNG+)/SS+은/JX
동아일보와의	동아일보/NNP+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“계열사마다	“/SS+계열사/NNG+마다/JX
통상	통상/MAG
3∼5년	3/SN+∼/SO+5/SN+년/NNB
주기로	주기/NNG+로/JKB
정기	정기/NNG
세무조사를	세무/NNG+조사/NNG+를/JKO
받는다”며	받/VV+는다/EF+”/SS+며/EC
“삼성은	“/SS+삼성/NNP+은/JX
계열사가	계열사/NNG+가/JKS
68곳이나	68/SN+곳/NNG+이나/JX
되기	되/VV+기/ETN
때문에	때문/NNB+에/JKB
몇몇	몇몇/NR
회사가	회사/NNG+가/JKS
같은	같/VA+은/ETM
시기에	시기/NNG+에/JKB
조사받는	조사/NNG+받/XSV+는/ETM
건	거/NNB+ㄴ/JX
특별한	특별/NNG+하/XSA+ㄴ/ETM
의미가	의미/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.26.5.1
삼성에버랜드 측도 “피감기관이라 조사 내용을 외부에 밝힐 수는 없지만 정기 세무조사 성격 이외의 특이한 점은 없었다”고 강조했다.

삼성에버랜드	삼성에버랜드/NNP
측도	측/NNB+도/JX
“피감기관이라	“/SS+피감/NNG+기관/NNG+이/VCP+라/EC
조사	조사/NNG
내용을	내용/NNG+을/JKO
외부에	외부/NNG+에/JKB
밝힐	밝히/VV+ㄹ/ETM
수는	수/NNB+는/JX
없지만	없/VA+지만/EC
정기	정기/NNG
세무조사	세무/NNG+조사/NNG
성격	성격/NNG
이외의	이외/NNG+의/JKG
특이한	특이/NNG+하/XSA+ㄴ/ETM
점은	점/NNG+은/JX
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.26.6.1
삼성전자는 올해엔 아직까지 세무조사를 받지 않았다고 밝혔다.

삼성전자는	삼성전자/NNP+는/JX
올해엔	올해/NNG+에/JKB+ㄴ/JX
아직까지	아직/MAG+까지/JX
세무조사를	세무/NNG+조사/NNG+를/JKO
받지	받/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.26.6.2
삼성전자가 최근 국세청 조사를 받은 것은 2007년으로, 이 회사는 2002년과 2004년에 금탑산업훈장 등을 받아 세무조사가 유예돼 1996년 이후 11년 만에 조사를 받았다.

삼성전자가	삼성전자/NNP+가/JKS
최근	최근/MAG
국세청	국세청/NNG
조사를	조사/NNG+를/JKO
받은	받/VV+은/ETM
것은	것/NNB+은/JX
2007년으로,	2007/SN+년/NNB+으로/JKB+,/SP
이	이/MMD
회사는	회사/NNG+는/JX
2002년과	2002/SN+년/NNB+과/JC
2004년에	2004/SN+년/NNB+에/JKB
금탑산업훈장	금탑/NNG+산업/NNG+훈장/NNG
등을	등/NNB+을/JKO
받아	받/VV+아/EC
세무조사가	세무/NNG+조사/NNG+가/JKS
유예돼	유예/NNG+되/XSV+어/EC
1996년	1996/SN+년/NNB
이후	이후/NNG
11년	11/SN+년/NNB
만에	만/NNB+에/JKB
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.26.6.3
당시 삼성전자는 2002∼2007년 재무 현황과 영업실적 등을 조사받았다.

당시	당시/NNG
삼성전자는	삼성전자/NNP+는/JX
2002∼2007년	2002/SN+∼/SO+2007/SN+년/NNB
재무	재무/NNG
현황과	현황/NNG+과/JC
영업실적	영업/NNG+실적/NNG
등을	등/NNB+을/JKO
조사받았다.	조사/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.26.7.1
재계 일각에서는 국세청의 삼성 계열사 세무조사에 대해 지난달 초 이건희 삼성전자 회장이 현 정부의 경제정책 점수를 묻는 기자들의 질문에 “낙제점을 주면 안 되겠고…”라고 말해 청와대의 ‘심기’를 건드린 일과 무관치 않을 것이라는 해석을 내놓는다.

재계	재계/NNG
일각에서는	일각/NNG+에서/JKB+는/JX
국세청의	국세청/NNG+의/JKG
삼성	삼성/NNP
계열사	계열사/NNG
세무조사에	세무/NNG+조사/NNG+에/JKB
대해	대하/VV+아/EC
지난달	지난달/NNG
초	초/NNB
이건희	이건희/NNP
삼성전자	삼성전자/NNP
회장이	회장/NNG+이/JKS
현	현/MMD
정부의	정부/NNG+의/JKG
경제정책	경제/NNG+정책/NNG
