# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.72
metadata : {}


# id : NWRW1800000033.72.1.1
佛 ‘유대인 테러’ 용의자는 알카에다 요원

佛	佛/SH
‘유대인	‘/SS+유대인/NNP
테러’	테러/NNG+’/SS
용의자는	용의자/NNG+는/JX
알카에다	알카에다/NNP
요원	요원/NNG


# id : NWRW1800000033.72.2.1
알제리계… 탈레반 가담했다 체포, 2008년 탈옥은신처 포위 경찰과 총격전 대치… 3명 부상

알제리계…	알제리/NNP+계/XSN+…/SE
탈레반	탈레반/NNP
가담했다	가담/NNG+하/XSV+았/EP+다/EF
체포,	체포/NNG+,/SP
2008년	2008/SN+년/NNB
탈옥은신처	탈옥/NNG+은신처/NNG
포위	포위/NNG
경찰과	경찰/NNG+과/JKB
총격전	총격전/NNG
대치…	대치/NNG+…/SE
3명	3/SN+명/NNB
부상	부상/NNG


# id : NWRW1800000033.72.3.1
프랑스 테러진압 경찰은 21일 툴루즈에서 최근 7명이 살해된 총기 난사 범죄 3건의 유력 용의자인 알제리계 프랑스인 모아메드 메라(24)의 은신처를 포위하고 생포 작전을 벌이고 있다.

프랑스	프랑스/NNP
테러진압	테러/NNG+진압/NNG
경찰은	경찰/NNG+은/JX
21일	21/SN+일/NNB
툴루즈에서	툴루즈/NNP+에서/JKB
최근	최근/NNG
7명이	7/SN+명/NNB+이/JKS
살해된	살해/NNG+되/XSV+ㄴ/ETM
총기	총기/NNG
난사	난사/NNG
범죄	범죄/NNG
3건의	3/SN+건/NNB+의/JKG
유력	유력/NNG
용의자인	용의자/NNG+이/VCP+ㄴ/ETM
알제리계	알제리/NNP+계/XSN
프랑스인	프랑스인/NNG
모아메드	모아메드/NNP
메라(24)의	메라/NNP+(/SS+24/SN+)/SS+의/JKG
은신처를	은신처/NNG+를/JKO
포위하고	포위/NNG+하/XSV+고/EC
생포	생포/NNG
작전을	작전/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.72.3.2
프랑스 뉴스전문채널 BFM-TV는 메라가 경찰과 대치 12시간 만인 오후 3시경 체포됐다고 전했으나 내무부는 이를 부인했다.

프랑스	프랑스/NNP
뉴스전문채널	뉴스/NNG+전문/NNG+채널/NNG
BFM-TV는	BFM/SL+-/SO+TV/SL+는/JX
메라가	메라/NNP+가/JKS
경찰과	경찰/NNG+과/JKB
대치	대치/NNG
12시간	12/SN+시간/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
오후	오후/NNG
3시경	3/SN+시/NNB+경/XSN
체포됐다고	체포/NNG+되/XSV+었/EP+다고/EC
전했으나	전하/VV+았/EP+으나/EC
내무부는	내무부/NNG+는/JX
이를	이/NP+를/JKO
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.72.4.1
툴루즈에서 태어난 메라는 자신이 알카에다 소속이며 해외 주둔 프랑스군이 이슬람 국가와 팔레스타인 어린이들에게 저지른 범죄행위에 대한 복수를 한 것이라고 주장한 것으로 알려졌다.

툴루즈에서	툴루즈/NNP+에서/JKB
태어난	태어나/VV+ㄴ/ETM
메라는	메라/NNP+는/JX
자신이	자신/NNG+이/JKS
알카에다	알카에다/NNP
소속이며	소속/NNG+이/VCP+며/EC
해외	해외/NNG
주둔	주둔/NNG
프랑스군이	프랑스군/NNG+이/JKS
이슬람	이슬람/NNG
국가와	국가/NNG+와/JC
팔레스타인	팔레스타인/NNP
어린이들에게	어린이/NNG+들/XSN+에게/JKB
저지른	저지르/VV+ㄴ/ETM
범죄행위에	범죄/NNG+행위/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
복수를	복수/NNG+를/JKO
한	하/VV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
주장한	주장/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.72.5.1
경찰은 오전 3시경 메라가 수주 전부터 거주해온 것으로 알려진 툴루즈 시내 5층짜리 아파트를 에워싼 뒤 체포를 시도했다.

경찰은	경찰/NNG+은/JX
오전	오전/NNG
3시경	3/SN+시/NNB+경/XSN
메라가	메라/NNP+가/JKS
수주	수주/NNG
전부터	전/NNG+부터/JX
거주해온	거주/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려진	알려지/VV+ㄴ/ETM
툴루즈	툴루즈/NNP
시내	시내/NNG
5층짜리	5/SN+층/NNG+짜리/XSN
아파트를	아파트/NNG+를/JKO
에워싼	에워싸/VV+ㄴ/ETM
뒤	뒤/NNG
체포를	체포/NNG+를/JKO
시도했다.	시도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.72.5.2
그러나 메라가 1층에서 총을 발사하며 저항해 총격전이 벌어졌고 경찰 3명이 무릎과 어깨 등에 가벼운 부상을 입었다.

그러나	그러나/MAJ
메라가	메라/NNP+가/JKS
1층에서	1/SN+층/NNG+에서/JKB
총을	총/NNG+을/JKO
발사하며	발사/NNG+하/XSV+며/EC
저항해	저항/NNG+하/XSV+아/EC
총격전이	총격전/NNG+이/JKS
벌어졌고	벌어지/VV+었/EP+고/EC
경찰	경찰/NNG
3명이	3/SN+명/NNB+이/JKS
무릎과	무릎/NNG+과/JC
어깨	어깨/NNG
등에	등/NNB+에/JKB
가벼운	가볍/VA+ㄴ/ETM
부상을	부상/NNG+을/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.72.5.3
아파트 주민들은 오전 늦게 모두 건물을 빠져나왔다.

아파트	아파트/NNG
주민들은	주민/NNG+들/XSN+은/JX
오전	오전/NNG
늦게	늦/VA+게/EC
모두	모두/MAG
건물을	건물/NNG+을/JKO
빠져나왔다.	빠져나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.72.5.4
니콜라 사르코지 대통령은 이날 오후 대치 현장에 나와 작전 상황을 직접 점검했다.

니콜라	니콜라/NNP
사르코지	사르코지/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
대치	대치/NNG
