# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.321
metadata : {}


# id : NWRW1800000041.321.1.1
3분간 70여명 구한 승객 2명의 한마디 외침… “탈출하자”

3분간	3/SN+분/NNB+간/XSN
70여명	70/SN+여/XSN+명/NNB
구한	구하/VV+ㄴ/ETM
승객	승객/NNG
2명의	2/SN+명/NNB+의/JKG
한마디	한마디/NNG
외침…	외침/NNG+…/SE
“탈출하자”	“/SS+탈출/NNG+하/XSV+자/EF+”/SS


# id : NWRW1800000041.321.2.1
[세월호 참사] 바닷물 급속히 유입되는 상황서… 출입문 쪽으로 잠수해 빠져나와

[세월호	[/SS+세월호/NNP
참사]	참사/NNG+]/SS
바닷물	바닷물/NNG
급속히	급속히/MAG
유입되는	유입/NNG+되/XSV+는/ETM
상황서…	상황/NNG+서/JKB+…/SE
출입문	출입문/NNG
쪽으로	쪽/NNB+으로/JKB
잠수해	잠수/NNG+하/XSV+아/EC
빠져나와	빠져나오/VV+아/EF


# id : NWRW1800000041.321.3.1
세월호 침몰 당시 일부 승객의 ‘탈출하자’는 외침이 다른 승객에게 전파되면서 70여 명이 목숨을 건질 수 있었던 사실이 생존자들의 증언을 통해 밝혀졌다.

세월호	세월호/NNP
침몰	침몰/NNG
당시	당시/NNG
일부	일부/NNG
승객의	승객/NNG+의/JKG
‘탈출하자’는	‘/SS+탈출/NNG+하/XSV+자/EF+’/SS+는/ETM
외침이	외침/NNG+이/JKS
다른	다른/MMD
승객에게	승객/NNG+에게/JKB
전파되면서	전파/NNG+되/XSV+면서/EC
70여	70/SN+여/XSN
명이	명/NNB+이/JKS
목숨을	목숨/NNG+을/JKO
건질	건지/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
사실이	사실/NNG+이/JKS
생존자들의	생존자/NNG+들/XSN+의/JKG
증언을	증언/NNG+을/JKO
통해	통하/VV+아/EC
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.321.4.1
지난달 16일 오전 10시 15분 세월호 선체가 110도 이상 기울어 바닥과 천장, 왼쪽과 오른쪽이 바뀌며 승객들은 방향감각을 잃고 혼란스러웠다.

지난달	지난달/NNG
16일	16/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
15분	15/SN+분/NNB
세월호	세월호/NNP
선체가	선체/NNG+가/JKS
110도	110/SN+도/NNB
이상	이상/NNG
기울어	기울/VV+어/EC
바닥과	바닥/NNG+과/JC
천장,	천장/NNG+,/SP
왼쪽과	왼쪽/NNG+과/JC
오른쪽이	오른쪽/NNG+이/JKS
바뀌며	바뀌/VV+며/EC
승객들은	승객/NNG+들/XSN+은/JX
방향감각을	방향/NNG+감각/NNG+을/JKO
잃고	잃/VV+고/EC
혼란스러웠다.	혼란/NNG+스럽/XSA+었/EP+다/EF+./SF


# id : NWRW1800000041.321.4.2
3층 바닥과 천장이 바뀐 선체에 바닷물이 순식간에 유입되자 안내데스크에 있던 한승석 씨(37·화물기사·제주) 등 승객 2명(나머지 1명은 미확인)이 먼저 ‘탈출하자’고 크게 외쳤다.

3층	3/SN+층/NNG
바닥과	바닥/NNG+과/JC
천장이	천장/NNG+이/JKS
바뀐	바뀌/VV+ㄴ/ETM
선체에	선체/NNG+에/JKB
바닷물이	바닷물/NNG+이/JKS
순식간에	순식/NNG+간/XSN+에/JKB
유입되자	유입/NNG+되/XSV+자/EC
안내데스크에	안내/NNG+데스크/NNG+에/JKB
있던	있/VV+던/ETM
한승석	한승석/NNP
씨(37·화물기사·제주)	씨/NNB+(/SS+37/SN+·/SP+화물/NNG+기사/NNG+·/SP+제주/NNP+)/SS
등	등/NNB
승객	승객/NNG
2명(나머지	2/SN+명/NNB+(/SS+나머지/NNG
1명은	1/SN+명/NNB+은/JX
미확인)이	미/XPN+확인/NNG+)/SS+이/JKS
먼저	먼저/MAG
‘탈출하자’고	‘/SS+탈출/NNG+하/XSV+자/EF+’/SS+고/JKQ
크게	크/VA+게/EC
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.321.4.3
5일 본보와의 인터뷰에서 한 씨는 “주변을 살펴보니 왼쪽(원래 오른쪽) 높이 3m, 폭 2m 크기 출입문이 열려 있어 탈출하자고 외쳤다”고 말했다.

5일	5/SN+일/NNB
본보와의	본보/NNG+와/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
한	한/NNP
씨는	씨/NNB+는/JX
“주변을	“/SS+주변/NNG+을/JKO
살펴보니	살펴보/VV+니/EC
왼쪽(원래	왼쪽/NNG+(/SS+원래/MAG
오른쪽)	오른쪽/NNG+)/SS
높이	높이/NNG
3m,	3/SN+m/SW+,/SP
폭	폭/NNG
2m	2/SN+m/SW
크기	크기/NNG
출입문이	출입문/NNG+이/JKS
열려	열리/VV+어/EC
있어	있/VX+어/EC
탈출하자고	탈출/NNG+하/XSV+자고/EC
외쳤다”고	외치/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.321.5.1
승객들은 탈출 시작 직후 다리가 물에 젖으며 출입문을 벗어났다.

승객들은	승객/NNG+들/XSN+은/JX
탈출	탈출/NNG
시작	시작/NNG
직후	직후/NNG
다리가	다리/NNG+가/JKS
물에	물/NNG+에/JKB
젖으며	젖/VV+으며/EC
출입문을	출입문/NNG+을/JKO
벗어났다.	벗어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.321.5.2
하지만 물이 급속히 유입되면서 출입문을 삼키는 상황이 됐다.

하지만	하지만/MAJ
물이	물/NNG+이/JKS
급속히	급속히/MAG
유입되면서	유입/NNG+되/XSV+면서/EC
출입문을	출입문/NNG+을/JKO
삼키는	삼키/VV+는/ETM
상황이	상황/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.321.5.3
자영업자 강병기 씨(41·경기 시흥시)는 탈출을 외치며 학생 10여 명에게 잠수하도록 밀었다.

자영업자	자영업자/NNG
강병기	강병기/NNP
씨(41·경기	씨/NNB+(/SS+41/SN+·/SP+경기/NNP
시흥시)는	시흥시/NNP+)/SS+는/JX
탈출을	탈출/NNG+을/JKO
외치며	외치/VV+며/EC
학생	학생/NNG
10여	10/SN+여/XSN
명에게	명/NNB+에게/JKB
잠수하도록	잠수/NNG+하/XSV+도록/EC
밀었다.	밀/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.321.5.4
박모 군(16·단원고 2)은 “3층 복도에 물이 쏟아져 들어온 순간 아저씨들 말에 따라 잠수를 했고 5초 정도 지나자 빛이 보였다”고 말했다.

박모	박/NNP+모/NP
군(16·단원고	군/NNB+(/SS+16/SN+·/SP+단원고/NNP
2)은	2/SN+)/SS+은/JX
“3층	“/SS+3/SN+층/NNG
복도에	복도/NNG+에/JKB
물이	물/NNG+이/JKS
쏟아져	쏟아지/VV+어/EC
들어온	들어오/VV+ㄴ/ETM
순간	순간/NNG
아저씨들	아저씨/NNG+들/XSN
말에	말/NNG+에/JKB
따라	따르/VV+아/EC
잠수를	잠수/NNG+를/JKO
했고	하/VV+았/EP+고/EC
5초	5/SN+초/NNB
정도	정도/NNG
지나자	지나/VV+자/EC
빛이	빛/NNG+이/JKS
보였다”고	보이/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.321.6.1
3층과 4층은 홀 형태의 트인 공간이어서 ‘탈출하자’는 한마디 외침은 4층에도 전달됐다.

3층과	3/SN+층/NNG+과/JC
4층은	4/SN+층/NNG+은/JX
홀	홀/NNG
형태의	형태/NNG+의/JKG
트인	트이/VV+ㄴ/ETM
공간이어서	공간/NNG+이/VCP+어서/EC
‘탈출하자’는	‘/SS+탈출/NNG+하/XSV+자/EF+’/SS+는/ETM
한마디	한마디/NNG
외침은	외침/NNG+은/JX
4층에도	4/SN+층/NNG+에/JKB+도/JX
전달됐다.	전달/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.321.6.2
4층 승객 30여 명도 열린 출입문으로 잠수해 탈출했고 선체 밖으로 분출되던 바닷물이 도움이 됐다.

4층	4/SN+층/NNG
승객	승객/NNG
30여	30/SN+여/XSN
명도	명/NNB+도/JX
열린	열리/VV+ㄴ/ETM
출입문으로	출입문/NNG+으로/JKB
잠수해	잠수/NNG+하/XSV+아/EC
탈출했고	탈출/NNG+하/XSV+았/EP+고/EC
선체	선체/NNG
밖으로	밖/NNG+으로/JKB
분출되던	분출/NNG+되/XSV+던/ETM
바닷물이	바닷물/NNG+이/JKS
도움이	도움/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.321.6.3
강 씨는 “출입문이 거의 물에 잠겨 더 이상 구조를 하지 못하고 선실을 벗어났다.

강	강/NNP
씨는	씨/NNB+는/JX
“출입문이	“/SS+출입문/NNG+이/JKS
거의	거의/MAG
물에	물/NNG+에/JKB
잠겨	잠기/VV+어/EC
더	더/MAG
이상	이상/NNG
구조를	구조/NNG+를/JKO
하지	하/VV+지/EC
못하고	못하/VX+고/EC
선실을	선실/NNG+을/JKO
벗어났다.	벗어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.321.6.4
남은 학생들을 구조하지 못해 아직도 괴롭다”고 힘들어했다.

남은	남/VV+은/ETM
학생들을	학생/NNG+들/XSN+을/JKO
구조하지	구조/NNG+하/XSV+지/EC
못해	못하/VX+아/EC
아직도	아직/MAG+도/JX
괴롭다”고	괴롭/VA+다/EF+”/SS+고/JKQ
힘들어했다.	힘들/VA+어/EC+하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.321.7.1
3, 4층에서 잠수로 선체를 벗어나던 승객들을 붙잡아 주는 손이 있었다.

3,	3/SN+,/SP
4층에서	4/SN+층/NNG+에서/JKB
잠수로	잠수/NNG+로/JKB
선체를	선체/NNG+를/JKO
벗어나던	벗어나/VV+던/ETM
승객들을	승객/NNG+들/XSN+을/JKO
붙잡아	붙잡/VV+아/EC
주는	주/VX+는/ETM
손이	손/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.321.7.2
헬기 첫 구조 당시 3층 선실의 단원고 학생들을 소방호스로 꺼내 올린 김동수 씨(50·화물기사·제주)와 김성묵 씨(37·회사원·인천)다.

헬기	헬기/NNG
첫	첫/MMN
구조	구조/NNG
당시	당시/NNG
3층	3/SN+층/NNG
선실의	선실/NNG+의/JKG
단원고	단원고/NNP
학생들을	학생/NNG+들/XSN+을/JKO
소방호스로	소방/NNG+호스/NNG+로/JKB
꺼내	꺼내/VV+어/EC
올린	올리/VV+ㄴ/ETM
김동수	김동수/NNP
씨(50·화물기사·제주)와	씨/NNB+(/SS+50/SN+·/SP+화물/NNG+기사/NNG+·/SP+제주/NNP+)/SS+와/JC
김성묵	김성묵/NNP
씨(37·회사원·인천)다.	씨/NNB+(/SS+37/SN+·/SP+회사원/NNG+·/SP+인천/NNP+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000041.321.7.3
김 씨 등은 40여 분 동안 난간에 머물다 마지막으로 잠수로 탈출하는 단원고 학생들의 손을 잡아줬다.

김	김/NNP
씨	씨/NNB
등은	등/NNB+은/JX
40여	40/SN+여/XSN
분	분/NNB
동안	동안/NNG
난간에	난간/NNG+에/JKB
머물다	머물/VV+다/EC
마지막으로	마지막/NNG+으로/JKB
잠수로	잠수/NNG+로/JKB
탈출하는	탈출/NNG+하/XSV+는/ETM
단원고	단원고/NNP
학생들의	학생/NNG+들/XSN+의/JKG
손을	손/NNG+을/JKO
잡아줬다.	잡/VV+아/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.321.8.1
한 씨 등이 외친 ‘탈출하자’ 한마디에 이어진 3분여간의 잠수 탈출로 승객 70여 명(단원고 학생은 50여 명 추정)이 마지막으로 구조됐다.

한	한/NNP
씨	씨/NNB
등이	등/NNB+이/JKS
외친	외치/VV+ㄴ/ETM
‘탈출하자’	‘/SS+탈출/NNG+하/XSV+자/EF+’/SS
한마디에	한마디/NNG+에/JKB
이어진	이어지/VV+ㄴ/ETM
3분여간의	3/SN+분/NNB+여/XSN+간/XSN+의/JKG
잠수	잠수/NNG
탈출로	탈출/NNG+로/JKB
승객	승객/NNG
70여	70/SN+여/XSN
명(단원고	명/NNB+(/SS+단원고/NNP
학생은	학생/NNG+은/JX
50여	50/SN+여/XSN
명	명/NNB
추정)이	추정/NNG+)/SS+이/JKS
마지막으로	마지막/NNG+으로/JKB
구조됐다.	구조/NNG+되/XSV+었/EP+다/EF+./SF


