# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.411
metadata : {}


# id : NWRW1800000040.411.1.1
북핵 ‘위협-사용임박-사용’ 3단계로 나눠 핵우산·MD 등 군사능력 총동원 사전억제

북핵	북핵/NNG
‘위협-사용임박-사용’	‘/SS+위협/NNG+-/SO+사용/NNG+임박/NNG+-/SO+사용/NNG+’/SS
3단계로	3/SN+단계/NNG+로/JKB
나눠	나누/VV+어/EC
핵우산·MD	핵우산/NNG+·/SP+MD/SL
등	등/NNB
군사능력	군사/NNG+능력/NNG
총동원	총동원/NNG
사전억제	사전/NNG+억제/NNG


# id : NWRW1800000040.411.2.1
[‘전작권 전환’ 재연기 사실상 합의]

[‘전작권	[/SS+‘/SS+전작권/NNG
전환’	전환/NNG+’/SS
재연기	재/XPN+연기/NNG
사실상	사실/NNG+상/XSN
합의]	합의/NNG+]/SS


# id : NWRW1800000040.411.3.1
‘맞춤형 억제전략’ 1년 앞당겨 발표

‘맞춤형	‘/SS+맞춤/NNG+형/XSN
억제전략’	억제/NNG+전략/NNG+’/SS
1년	1/SN+년/NNB
앞당겨	앞당기/VV+어/EC
발표	발표/NNG


# id : NWRW1800000040.411.4.1
2일 한·미 국방장관은 북한 핵과 대량살상무기(WMD) 위협에 대비한 ‘맞춤형 억제전략’을 공동성명의 여섯째 항목으로 발표했다.

2일	2/SN+일/NNB
한·미	한·미/NNP
국방장관은	국방/NNG+장관/NNG+은/JX
북한	북한/NNP
핵과	핵/NNG+과/JC
대량살상무기(WMD)	대량/NNG+살상/NNG+무기/NNG+(/SS+WMD/SL+)/SS
위협에	위협/NNG+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
‘맞춤형	‘/SS+맞춤/NNG+형/XSN
억제전략’을	억제/NNG+전략/NNG+’/SS+을/JKO
공동성명의	공동/NNG+성명/NNG+의/JKG
여섯째	여섯째/NR
항목으로	항목/NNG+으로/JKB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.411.4.2
북한의 핵과 미사일 공격 가능성에 대해 미국의 핵우산과 재래식 무기, 미사일방어 등 모든 군사능력을 동원해 사전에 억제하겠다는 내용이다.

북한의	북한/NNP+의/JKG
핵과	핵/NNG+과/JC
미사일	미사일/NNG
공격	공격/NNG
가능성에	가능/NNG+성/XSN+에/JKB
대해	대하/VV+아/EC
미국의	미국/NNP+의/JKG
핵우산과	핵우산/NNG+과/JC
재래식	재래식/NNG
무기,	무기/NNG+,/SP
미사일방어	미사일/NNG+방어/NNG
등	등/NNB
모든	모든/MMN
군사능력을	군사/NNG+능력/NNG+을/JKO
동원해	동원/NNG+하/XSV+아/EC
사전에	사전/NNG+에/JKB
억제하겠다는	억제/NNG+하/XSV+겠/EP+다는/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.411.5.1
애초 한·미 군 당국은 지난해 열린 한-미 안보협의회의(SCM)에서 2014년까지 ‘맞춤형 억제 전략’을 마련하기로 합의했지만, 이번에 이를 1년 앞당겨 발표했다.

애초	애초/NNG
한·미	한·미/NNP
군	군/NNG
당국은	당국/NNG+은/JX
지난해	지난해/NNG
열린	열리/VV+ㄴ/ETM
한-미	한-미/NNP
안보협의회의(SCM)에서	안보/NNG+협의/NNG+회의/NNG+(/SS+SCM/SL+)/SS+에서/JKB
2014년까지	2014/SN+년/NNB+까지/JX
‘맞춤형	‘/SS+맞춤/NNG+형/XSN
억제	억제/NNG
전략’을	전략/NNG+’/SS+을/JKO
마련하기로	마련/NNG+하/XSV+기/ETN+로/JKB
합의했지만,	합의/NNG+하/XSV+았/EP+지만/EC+,/SP
이번에	이번/NNG+에/JKB
이를	이/NP+를/JKO
1년	1/SN+년/NNB
앞당겨	앞당기/VV+어/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.411.5.2
김관진 국방장관은 “(지난 2월) 3차 핵실험 이후 현실화된 북한의 핵위협을 효과적으로 억제하기 위해서”라고 설명했다.

김관진	김관진/NNP
국방장관은	국방/NNG+장관/NNG+은/JX
“(지난	“/SS+(/SS+지나/VV+ㄴ/ETM
2월)	2/SN+월/NNB+)/SS
3차	3/SN+차/NNB
핵실험	핵/NNG+실험/NNG
이후	이후/NNG
현실화된	현실/NNG+화/XSN+되/XSV+ㄴ/ETM
북한의	북한/NNP+의/JKG
핵위협을	핵/NNG+위협/NNG+을/JKO
효과적으로	효과/NNG+적/XSN+으로/JKB
억제하기	억제/NNG+하/XSV+기/ETN
위해서”라고	위하/VV+아서/EC+”/SS+라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.411.6.1
‘맞춤형 억제 전략’은 북한의 핵무기 상황을 △위협 △사용 임박 △사용 등 세 단계로 나눠, 한·미 양국의 대응 방안을 정립한 것이다.

‘맞춤형	‘/SS+맞춤/NNG+형/XSN
억제	억제/NNG
전략’은	전략/NNG+’/SS+은/JX
북한의	북한/NNP+의/JKG
핵무기	핵무기/NNG
상황을	상황/NNG+을/JKO
△위협	△/SW+위협/NNG
△사용	△/SW+사용/NNG
임박	임박/NNG
등	등/NNB
세	세/MMN
단계로	단계/NNG+로/JKB
나눠,	나누/VV+어/EC+,/SP
한·미	한·미/NNP
양국의	양국/NNG+의/JKG
