# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.95
metadata : {}


# id : NWRW1800000024.95.1.1
엘지·전자랜드 /지옥서 따낸 마지막 6강티켓

엘지·전자랜드	엘지/NNP+·/SP+전자랜드/NNP
/지옥서	//SP+지옥/NNG+서/JKB
따낸	따내/VV+ㄴ/ETM
마지막	마지막/NNG
6강티켓	6/SN+강/NNB+티켓/NNG


# id : NWRW1800000024.95.2.1
막판까지 안갯속이었던 6강 티켓 두 장은 엘지(LG)와 전자랜드로 돌아갔다.

막판까지	막판/NNG+까지/JX
안갯속이었던	안갯속/NNG+이/VCP+었/EP+던/ETM
6강	6/SN+강/NNB
티켓	티켓/NNG
두	두/MMN
장은	장/NNB+은/JX
엘지(LG)와	엘지/NNP+(/SS+LG/SL+)/SS+와/JC
전자랜드로	전자랜드/NNP+로/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.95.2.2
두 팀과 승률이 같은 케이티앤지(KT&G·29승25패)는 골득실에서 뒤져 아쉬움을 삼켜야 했다.

두	두/MMN
팀과	팀/NNG+과/JC
승률이	승률/NNG+이/JKS
같은	같/VA+은/ETM
케이티앤지(KT&G·29승25패)는	케이티앤지/NNP+(/SS+KT/SL+&/SW+G/SL+·/SP+29/SN+승/NNB+25/SN+패/NNB+)/SS+는/JX
골득실에서	골/NNG+득실/NNG+에서/JKB
뒤져	뒤지/VV+어/EC
아쉬움을	아쉬움/NNG+을/JKO
삼켜야	삼키/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.95.2.3
97년 프로농구 출범 이후 가장 치열했던 6강 혈전에 감독과 선수는 천당과 지옥을 오갔지만, 팬들은 흥미진진한 경기를 만끽했다.

97년	97/SN+년/NNB
프로농구	프로/NNG+농구/NNG
출범	출범/NNG
이후	이후/NNG
가장	가장/MAG
치열했던	치열/NNG+하/XSA+았/EP+던/ETM
6강	6/SN+강/NNB
혈전에	혈전/NNG+에/JKB
감독과	감독/NNG+과/JC
선수는	선수/NNG+는/JX
천당과	천당/NNG+과/JC
지옥을	지옥/NNG+을/JKO
오갔지만,	오가/VV+았/EP+지만/EC+,/SP
팬들은	팬/NNG+들/XSN+은/JX
흥미진진한	흥미진진하/VA+ㄴ/ETM
경기를	경기/NNG+를/JKO
만끽했다.	만끽/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.95.3.1
창원 엘지는 22일 부산사직체육관에서 열린 2008~2009 동부프로미 프로농구 정규리그 마지막 원정경기에서 부산 케이티에프(KTF)를 68-66, 2점 차 역전승을 거두고 5위를 확정했다.

창원	창원/NNP
엘지는	엘지/NNP+는/JX
22일	22/SN+일/NNB
부산사직체육관에서	부산사직체육관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
2008~2009	2008/SN+~/SO+2009/SN
동부프로미	동부프로미/NNP
프로농구	프로/NNG+농구/NNG
정규리그	정규/NNG+리그/NNG
마지막	마지막/NNG
원정경기에서	원정/NNG+경기/NNG+에서/JKB
부산	부산/NNP
