# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.88
metadata : {}


# id : NWRW1800000049.88.1.1
[2016대한민국 경영대상]신가치투자로 유명한 ‘돈 벌어주는 방송’, 세계로TV

[2016대한민국	[/SS+2016/SN+대한민국/NNP
경영대상]신가치투자로	경영/NNG+대상/NNG+]/SS+신/XPN+가치/NNG+투자/NNG+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
‘돈	‘/SS+돈/NNG
벌어주는	벌/VV+어/EC+주/VX+는/ETM
방송’,	방송/NNG+’/SS+,/SP
세계로TV	세계로TV/NNP


# id : NWRW1800000049.88.2.1
고객가치경영대상 세계로TV

고객가치경영대상	고객/NNG+가치/NNG+경영/NNG+대상/NNG
세계로TV	세계로TV/NNP


# id : NWRW1800000049.88.3.1
한국의 워런버핏으로 알려진 김원기 대표가 이끄는 세계로TV는 ‘대한민국 경영대상’ 고객가치경영대상/기업부문에 2년 연속 이름을 올렸다.

한국의	한국/NNP+의/JKG
워런버핏으로	워런버핏/NNP+으로/JKB
알려진	알려지/VV+ㄴ/ETM
김원기	김원기/NNP
대표가	대표/NNG+가/JKS
이끄는	이끌/VV+는/ETM
세계로TV는	세계로TV/NNP+는/JX
‘대한민국	‘/SS+대한민국/NNP
경영대상’	경영/NNG+대상/NNG+’/SS
고객가치경영대상/기업부문에	고객/NNG+가치/NNG+경영/NNG+대상/NNG+//SP+기업/NNG+부문/NNG+에/JKB
2년	2/SN+년/NNB
연속	연속/NNG
이름을	이름/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.88.3.2
회원들의 입소문으로 폭발적인 성장세를 이루며 자발적인 참여 속에 수익률 계좌 및 일지 공개, 신가치투자의 위력을 증명하고 있다.

회원들의	회원/NNG+들/XSN+의/JKG
입소문으로	입소문/NNG+으로/JKB
폭발적인	폭발/NNG+적/XSN+이/VCP+ㄴ/ETM
성장세를	성장세/NNG+를/JKO
이루며	이루/VV+며/EC
자발적인	자발/NNG+적/XSN+이/VCP+ㄴ/ETM
참여	참여/NNG
속에	속/NNG+에/JKB
수익률	수익/NNG+률/XSN
계좌	계좌/NNG
및	및/MAG
일지	일지/NNG
공개,	공개/NNG+,/SP
신가치투자의	신/XPN+가치/NNG+투자/NNG+의/JKG
위력을	위력/NNG+을/JKO
증명하고	증명/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.88.4.1
김원기 대표의 신가치투자는 기본적 분석, 기술적 분석, 매집, 엘리어트 파동, 그린빌, 배당, 재료, 꿈 등의 요소들은 취합하여 선정된 종목은 안정적이며 배당과 함께 급등시세를 얻을 수 있는 일석이조의 효과를 볼 수 있다.

김원기	김원기/NNP
대표의	대표/NNG+의/JKG
신가치투자는	신/XPN+가치/NNG+투자/NNG+는/JX
기본적	기본/NNG+적/XSN
분석,	분석/NNG+,/SP
기술적	기술/NNG+적/XSN
매집,	매집/NNG+,/SP
엘리어트	엘리어트/NNP
파동,	파동/NNG+,/SP
그린빌,	그린빌/NNP+,/SP
배당,	배당/NNG+,/SP
재료,	재료/NNG+,/SP
꿈	꿈/NNG
등의	등/NNB+의/JKG
요소들은	요소/NNG+들/XSN+은/JX
취합하여	취합/NNG+하/XSV+아/EC
선정된	선정/NNG+되/XSV+ㄴ/ETM
종목은	종목/NNG+은/JX
안정적이며	안정/NNG+적/XSN+이/VCP+며/EC
배당과	배당/NNG+과/JKB
함께	함께/MAG
급등시세를	급등/NNG+시세/NNG+를/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
일석이조의	일석이조/NNG+의/JKG
효과를	효과/NNG+를/JKO
볼	보/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.88.5.1
세계로TV의 경영철학은 부의 창출과 나눔이다.

세계로TV의	세계로TV/NNP+의/JKG
경영철학은	경영/NNG+철학/NNG+은/JX
부의	부/NNG+의/JKG
창출과	창출/NNG+과/JKB
나눔이다.	나누/VV+ㅁ/ETN+이/VCP+다/EF+./SF


# id : NWRW1800000049.88.5.2
투자자들을 부자로 만들고 그 부를 이웃을 위해 기부도 하며 나아가 대한민국이 세계 금융강국이 되는 것이 ‘부의 창출’과 ‘나눔경영’이라고 말하고 있다.

투자자들을	투자자/NNG+들/XSN+을/JKO
부자로	부자/NNG+로/JKB
만들고	만들/VV+고/EC
그	그/MMD
부를	부/NNG+를/JKO
이웃을	이웃/NNG+을/JKO
위해	위하/VV+아/EC
기부도	기부/NNG+도/JX
하며	하/VV+며/EC
나아가	나아가/VV+아/EC
대한민국이	대한민국/NNP+이/JKS
세계	세계/NNG
금융강국이	금융/NNG+강국/NNG+이/JKC
되는	되/VV+는/ETM
것이	것/NNB+이/JKS
‘부의	‘/SS+부/NNG+의/JKG
창출’과	창출/NNG+’/SS+과/JC
‘나눔경영’이라고	‘/SS+나누/VV+ㅁ/ETN+경영/NNG+’/SS+이라고/JKQ
말하고	말/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.88.6.1
유료 회원들의 릴레이 기부가 큰 반향을 일으키며 세계로TV 회원들과 함께 기부문화 전파에 앞장서고 있다.

유료	유료/NNG
회원들의	회원/NNG+들/XSN+의/JKG
릴레이	릴레이/NNG
기부가	기부/NNG+가/JKS
큰	크/VA+ㄴ/ETM
반향을	반향/NNG+을/JKO
일으키며	일으키/VV+며/EC
세계로TV	세계로TV/NNP
회원들과	회원/NNG+들/XSN+과/JKB
함께	함께/MAG
기부문화	기부/NNG+문화/NNG
전파에	전파/NNG+에/JKB
앞장서고	앞장서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.88.7.1
나눔장학회를 운영하며 기부문화 실천 모델로 제시하고 있다.

나눔장학회를	나눔장학회/NNP+를/JKO
운영하며	운영/NNG+하/XSV+며/EC
기부문화	기부/NNG+문화/NNG
실천	실천/NNG
모델로	모델/NNG+로/JKB
제시하고	제시/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.88.7.2
수익금의 일부를 기부하는 회원이 점차 많아지면서 국내는 물론이고 국외까지 기부활동을 이어가고 있다.

수익금의	수익금/NNG+의/JKG
일부를	일부/NNG+를/JKO
기부하는	기부/NNG+하/XSV+는/ETM
회원이	회원/NNG+이/JKS
점차	점차/MAG
많아지면서	많아지/VV+면서/EC
국내는	국내/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
국외까지	국외/NNG+까지/JX
기부활동을	기부/NNG+활동/NNG+을/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.88.7.3
최근에는 사랑의 열매에 사랑의 휠체어 전달 및 필리핀교민 위문공연에 2000만 원을 기탁하기도 했다.

최근에는	최근/NNG+에/JKB+는/JX
사랑의	사랑/NNG+의/JKG
열매에	열매/NNG+에/JKB
휠체어	휠체어/NNG
전달	전달/NNG
및	및/MAG
필리핀교민	필리핀/NNP+교민/NNG
위문공연에	위문/NNG+공연/NNG+에/JKB
2000만	2000/SN+만/NR
원을	원/NNB+을/JKO
기탁하기도	기탁/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.88.8.1
김 대표는 2016 제10회 국가지속가능경영대상 사회공헌부문 보건복지부장관상을 수상했으며, 2016 한국의 가장 사랑받는 브랜드 대상에서 인터넷 증권방송 부문 대상을 2년 연속 수상하며 국내 최고의 주식방송이라는 명성을 다시 한 번 확인시킨 바 있다.

김	김/NNP
대표는	대표/NNG+는/JX
2016	2016/SN
제10회	제/XPN+10/SN+회/NNB
국가지속가능경영대상	국가/NNG+지속/NNG+가능/NNG+경영/NNG+대상/NNG
사회공헌부문	사회/NNG+공헌/NNG+부문/NNG
보건복지부장관상을	보건/NNG+복지부/NNG+장관상/NNG+을/JKO
수상했으며,	수상/NNG+하/XSV+았/EP+으며/EC+,/SP
한국의	한국/NNP+의/JKG
가장	가장/MAG
사랑받는	사랑/NNG+받/XSV+는/ETM
브랜드	브랜드/NNG
대상에서	대상/NNG+에서/JKB
인터넷	인터넷/NNG
증권방송	증권/NNG+방송/NNG
부문	부문/NNG
대상을	대상/NNG+을/JKO
2년	2/SN+년/NNB
연속	연속/NNG
수상하며	수상/NNG+하/XSV+며/EC
국내	국내/NNG
최고의	최고/NNG+의/JKG
주식방송이라는	주식/NNG+방송/NNG+이/VCP+라는/ETM
명성을	명성/NNG+을/JKO
다시	다시/MAG
한	한/MMN
번	번/NNB
확인시킨	확인/NNG+시키/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.88.9.1
‘돈 벌어주는 방송’으로 유명한 세계로TV는 신가치투자로 특화된 인터넷 증권방송이다.

‘돈	‘/SS+돈/NNG
벌어주는	벌/VV+어/EC+주/VX+는/ETM
방송’으로	방송/NNG+’/SS+으로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
세계로TV는	세계로TV/NNP+는/JX
신가치투자로	신/XPN+가치/NNG+투자/NNG+로/JKB
특화된	특화/NNG+되/XSV+ㄴ/ETM
인터넷	인터넷/NNG
증권방송이다.	증권/NNG+방송/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.88.10.1
주식에 관련한 정보나 강연회 안내 등을 무료로 제공하는 세계로TV는 홈페이지 무료회원 가입 등 고객이 손쉽게 다가갈 수 있는 질 높은 서비스를 실현하고 있다.

주식에	주식/NNG+에/JKB
