# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.54
metadata : {}


# id : NWRW1800000037.54.1.1
[따뜻한 성장]신한금융, 임직원 기부금으로 저소득층 아동 자립 돕는다

[따뜻한	[/SS+따뜻하/VA+ㄴ/ETM
성장]신한금융,	성장/NNG+]/SS+신한금융/NNP+,/SP
임직원	임직원/NNG
기부금으로	기부금/NNG+으로/JKB
저소득층	저/XPN+소득/NNG+층/XSN
아동	아동/NNG
자립	자립/NNG
돕는다	돕/VV+는다/EF


# id : NWRW1800000037.54.2.1
“따뜻한 금융은 시대를 관통하는 시대정신이 될 것이다.”

“따뜻한	“/SS+따뜻하/VA+ㄴ/ETM
금융은	금융/NNG+은/JX
시대를	시대/NNG+를/JKO
관통하는	관통/NNG+하/XSV+는/ETM
시대정신이	시대정신/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이다.”	것/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000037.54.3.1
한동우 신한금융그룹 회장은 2011년 9월 그룹 경영회의에서 세상을 이롭게 하는 ‘따뜻한 금융’을 선언했다.

한동우	한동우/NNP
신한금융그룹	신한금융그룹/NNP
회장은	회장/NNG+은/JX
2011년	2011/SN+년/NNB
9월	9/SN+월/NNB
그룹	그룹/NNG
경영회의에서	경영/NNG+회의/NNG+에서/JKB
세상을	세상/NNG+을/JKO
이롭게	이/NNG+롭/XSA+게/EC
하는	하/VX+는/ETM
‘따뜻한	‘/SS+따뜻하/VA+ㄴ/ETM
금융’을	금융/NNG+’/SS+을/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.54.3.2
따뜻한 금융이란 금융회사 본연의 업(業)을 통해 고객이 어려울 때 도움이 되고 고객들과 끈끈한 유대감을 만들어 간다는 의미다.

따뜻한	따뜻하/VA+ㄴ/ETM
금융이란	금융/NNG+이란/JX
금융회사	금융/NNG+회사/NNG
본연의	본연/NNG+의/JKG
업(業)을	업/NNG+(/SS+業/SH+)/SS+을/JKO
통해	통하/VV+아/EC
고객이	고객/NNG+이/JKS
어려울	어렵/VA+ㄹ/ETM
때	때/NNG
도움이	도움/NNG+이/JKC
되고	되/VV+고/EC
고객들과	고객/NNG+들/XSN+과/JKB
끈끈한	끈끈하/VA+ㄴ/ETM
유대감을	유대감/NNG+을/JKO
만들어	만들/VV+어/EC
간다는	가/VX+ㄴ다는/ETM
의미다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.54.3.3
이는 벌어들인 수익의 일부를 사회에 환원하는 기존의 사회공헌 활동에서 한발 더 나아간 것이다.

이는	이/NP+는/JX
벌어들인	벌어들이/VV+ㄴ/ETM
수익의	수익/NNG+의/JKG
일부를	일부/NNG+를/JKO
사회에	사회/NNG+에/JKB
환원하는	환원/NNG+하/XSV+는/ETM
기존의	기존/NNG+의/JKG
사회공헌	사회/NNG+공헌/NNG
활동에서	활동/NNG+에서/JKB
한발	한발/MAG
더	더/MAG
나아간	나아가/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.54.4.1
신한금융그룹은 올해를 그동안 지속적으로 추진해온 ‘따뜻한 금융’ 정착의 해로 보고 다양한 활동을 벌이고 있다.

신한금융그룹은	신한금융그룹/NNP+은/JX
올해를	올해/NNG+를/JKO
그동안	그동안/NNG
지속적으로	지속/NNG+적/XSN+으로/JKB
추진해온	추진/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
‘따뜻한	‘/SS+따뜻하/VA+ㄴ/ETM
금융’	금융/NNG+’/SS
정착의	정착/NNG+의/JKG
해로	해/NNG+로/JKB
보고	보/VV+고/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
활동을	활동/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.54.4.2
특히 고객과 사회와 동반 성장하는 데 주력하고 있다.

특히	특히/MAG
고객과	고객/NNG+과/JC
사회와	사회/NNG+와/JKB
동반	동반/NNG
성장하는	성장/NNG+하/XSV+는/ETM
데	데/NNB
주력하고	주력/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.54.5.1
중소기업 일자리 창출에 기여하기 위해 564억 원의 재원을 마련해 하고 있는 ‘중소기업 일자리 창출 프로젝트(JOB S.O.S Ⅱ)’는 대표적인 상생 활동이다.

중소기업	중소기업/NNG
일자리	일자리/NNG
창출에	창출/NNG+에/JKB
기여하기	기여/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
564억	564/SN+억/NR
원의	원/NNB+의/JKG
재원을	재원/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
하고	하/VV+고/EC
있는	있/VX+는/ETM
‘중소기업	‘/SS+중소기업/NNG
창출	창출/NNG
프로젝트(JOB	프로젝트/NNG+(/SS+JOB/SL
S.O.S	S/SL+./SP+O/SL+./SP+S/SL
Ⅱ)’는	Ⅱ/SL+)/SS+’/SS+는/JX
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
상생	상생/NNG
활동이다.	활동/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.54.6.1
이를 통해 중소기업 취업자에게 희망적금을 넣어주고, 채용 중소기업에는 채용장려금을 지원한다.

이를	이/NP+를/JKO
통해	통하/VV+아/EC
중소기업	중소기업/NNG
취업자에게	취업자/NNG+에게/JKB
희망적금을	희망/NNG+적금/NNG+을/JKO
넣어주고,	넣/VV+어/EC+주/VX+고/EC+,/SP
채용	채용/NNG
중소기업에는	중소기업/NNG+에/JKB+는/JX
채용장려금을	채용/NNG+장려금/NNG+을/JKO
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.54.6.2
이는 중소기업 취업을 기피하게 만드는 구직자와 중소기업 간의 연봉 차이를 줄여주는 데 도움을 준다.

이는	이/NP+는/JX
중소기업	중소기업/NNG
취업을	취업/NNG+을/JKO
기피하게	기피/NNG+하/XSV+게/EC
만드는	만들/VV+는/ETM
구직자와	구직자/NNG+와/JC
간의	간/NNB+의/JKG
연봉	연봉/NNG
차이를	차이/NNG+를/JKO
줄여주는	줄이/VV+어/EC+주/VX+는/ETM
데	데/NNB
도움을	도움/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.54.6.3
이러한 방식은 국내에서 처음 실시되는 것으로 금융업의 특성을 살린 프로그램으로 주목 받고 있다.

이러한	이러하/VA+ㄴ/ETM
방식은	방식/NNG+은/JX
국내에서	국내/NNG+에서/JKB
처음	처음/NNG
실시되는	실시/NNG+되/XSV+는/ETM
것으로	것/NNB+으로/JKB
금융업의	금융업/NNG+의/JKG
