# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.3
metadata : {}


# id : NWRW1800000044.3.1.1
존슨앤드존슨 ‘콘택트렌즈, 이 가격 아래로 팔지마라’ 강요

존슨앤드존슨	존슨앤드존슨/NNP
‘콘택트렌즈,	‘/SS+콘택트렌즈/NNG+,/SP
이	이/MMD
가격	가격/NNG
아래로	아래/NNG+로/JKB
팔지마라’	팔/VV+지/EC+말/VX+아라/EF+’/SS
강요	강요/NNG


# id : NWRW1800000044.3.2.1
[한겨레] 공정위, 19억 과징금 부과

[한겨레]	[/SS+한겨레/NNP+]/SS
공정위,	공정위/NNG+,/SP
19억	19/SN+억/NR
과징금	과징금/NNG
부과	부과/NNG


# id : NWRW1800000044.3.3.1
국내 콘택트렌즈 1위 업체인 존슨앤드존슨이 안경원의 판매가격 인하경쟁을 제한해 소비자에게 피해를 주다가 공정거래위원회에 적발됐다.

국내	국내/NNG
콘택트렌즈	콘택트렌즈/NNG
1위	1/SN+위/NNB
업체인	업체/NNG+이/VCP+ㄴ/ETM
존슨앤드존슨이	존슨앤드존슨/NNP+이/JKS
안경원의	안경원/NNG+의/JKG
판매가격	판매/NNG+가격/NNG
인하경쟁을	인하/NNG+경쟁/NNG+을/JKO
제한해	제한/NNG+하/XSV+아/EC
소비자에게	소비자/NNG+에게/JKB
피해를	피해/NNG+를/JKO
주다가	주/VV+다가/EC
공정거래위원회에	공정/NNG+거래/NNG+위원회/NNG+에/JKB
적발됐다.	적발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.3.4.1
공정위는 한국존슨앤드존슨이 2007년 1월부터 2010년 4월까지 3년3개월 동안 전국의 안경원 4434곳에 공급하는 아큐브 콘택트렌즈의 최저 판매가격을 미리 정해준 뒤 이 가격 이하로는 팔지 못하도록 강제해, 공정거래법상 재판매가격 유지 및 거래 상대방 제한행위 금지 위반으로 과징금 19억을 부과했다고 9일 발표했다.

공정위는	공정위/NNG+는/JX
한국존슨앤드존슨이	한국존슨앤드존슨/NNP+이/JKS
2007년	2007/SN+년/NNB
1월부터	1/SN+월/NNB+부터/JX
2010년	2010/SN+년/NNB
4월까지	4/SN+월/NNB+까지/JX
3년3개월	3/SN+년/NNB+3/SN+개월/NNB
동안	동안/NNG
전국의	전국/NNG+의/JKG
안경원	안경원/NNG
4434곳에	4434/SN+곳/NNG+에/JKB
공급하는	공급/NNG+하/XSV+는/ETM
아큐브	아큐브/NNP
콘택트렌즈의	콘택트렌즈/NNG+의/JKG
최저	최저/NNG
판매가격을	판매/NNG+가격/NNG+을/JKO
미리	미리/MAG
정해준	정하/VV+아/EC+주/VX+ㄴ/ETM
뒤	뒤/NNG
이	이/MMD
가격	가격/NNG
이하로는	이하/NNG+로/JKB+는/JX
팔지	팔/VV+지/EC
못하도록	못하/VX+도록/EC
강제해,	강제/NNG+하/XSV+아/EC+,/SP
공정거래법상	공정/NNG+거래법/NNG+상/XSN
재판매가격	재/XPN+판매/NNG+가격/NNG
유지	유지/NNG
및	및/MAG
거래	거래/NNG
상대방	상대방/NNG
제한행위	제한/NNG+행위/NNG
금지	금지/NNG
위반으로	위반/NNG+으로/JKB
과징금	과징금/NNG
19억을	19/SN+억/NR+을/JKO
부과했다고	부과/NNG+하/XSV+았/EP+다고/EC
9일	9/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.3.5.1
존슨앤드존슨은 미국계 기업으로, 한국에 콘택트렌즈와 화장품을 수입해 판매하고 있다.

존슨앤드존슨은	존슨앤드존슨/NNP+은/JX
미국계	미국/NNP+계/XSN
기업으로,	기업/NNG+으로/JKB+,/SP
한국에	한국/NNP+에/JKB
콘택트렌즈와	콘택트렌즈/NNG+와/JC
화장품을	화장품/NNG+을/JKO
수입해	수입/NNG+하/XSV+아/EC
판매하고	판매/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.3.5.2
국내 콘택트렌즈 시장은 연간 4000억~5000억원 정도인데, 존슨앤드존슨이 점유율 45%로 1위를 차지하고 있다.

국내	국내/NNG
콘택트렌즈	콘택트렌즈/NNG
시장은	시장/NNG+은/JX
연간	연간/NNG
4000억~5000억원	4000/SN+억/NR+~/SO+5000/SN+억/NR+원/NNB
